TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2014-06-09,44.364,43.751,45.001,44.448,1983,4380200
2014-06-10,44.44,44.117,45.596,45.499,3704,11586400
2014-06-11,45.007,44.7,45.749,45.3,5536,4757700
2014-06-16,45.913,44.514,46.37,45.999,12334,17932600
2014-06-17,46.3,45.7,46.467,46.1,3274,5544500
2014-06-18,45.823,45.823,46.677,46.6,5313,6390200
2014-06-19,46.683,46.113,47.049,46.599,2214,2484400
2014-06-20,46.743,45.26,46.763,46,3742,4541800
2014-06-23,46.091,45.03,46.982,45.5,4333,5511100
2014-06-24,45.582,45.261,46.45,46.45,3525,8348800
2014-06-25,46.308,44.849,47.332,45.1,5344,6537800
2014-06-26,45.497,44.137,45.497,45.2,2734,2746400
2014-06-27,45.2,44.623,46.2,46.2,2869,4036800
2014-06-30,46.199,45.518,46.338,45.6,2337,6177400
2014-07-01,45.517,44.541,45.517,45.143,2078,2769400
2014-07-02,45.674,45.121,45.9,45.9,5039,5860100
2014-07-03,45.611,45.611,46.448,46.4,2257,3985100
2014-07-04,46.395,46.16,46.897,46.6,2408,2954300
2014-07-07,46.697,46.301,48.196,48,4328,8342600
2014-07-08,48.296,47.55,48.729,47.79,6221,10126900
2014-07-09,47.769,46.311,47.948,47.5,3090,5683400
2014-07-10,47.309,45.003,47.935,46.44,4818,7049700
2014-07-11,46.399,46,47.1,47.1,2049,2969200
2014-07-14,47.1,46.666,47.474,46.998,2405,3577000
2014-07-15,46.926,45.201,47.4,45.8,6762,22954500
2014-07-16,43.996,42.255,44,42.6,6205,15876800
2014-07-17,42.55,40,42.55,40.851,6372,10939300
2014-07-18,39.5,38.95,40.65,39.841,5020,13384400
2014-07-21,39.62,38.45,39.65,38.6,3366,6906100
2014-07-22,39.503,38.63,39.8,39.6,5226,15877200
2014-07-23,39.603,39.091,40.737,39.4,5139,10064400
2014-07-24,39.392,36.979,39.462,37.3,7306,15204100
2014-07-25,37.5,36.03,37.5,37.35,5999,16142300
2014-07-28,36.713,35.993,36.989,36.5,4420,10681300
2014-07-29,35.827,35.827,37.297,37.2,4142,7023800
2014-07-30,36.43,36.43,38.496,38.484,3655,6362500
2014-07-31,37.955,37.745,39.429,39.4,6082,7477600
2014-08-01,38.975,37.708,39.429,38.4,5032,6678500
2014-08-04,38.343,37.06,39.001,38,4201,5073200
2014-08-05,38.464,37.001,38.464,38.1,3746,3832000
2014-08-06,37.899,37.008,38.486,37.342,6002,5914700
2014-08-07,37.148,36,38.753,38.611,5682,7073100
2014-08-08,38.485,37.227,39.696,39.615,4352,3734100
2014-08-11,39.83,39.498,41.23,40.9,4473,4004500
2014-08-12,40.895,40.23,41.999,41.5,8056,5297000
2014-08-13,41.5,40.801,42.293,41.9,6603,6460400
2014-08-14,42.579,40.931,42.647,42.51,7388,6718900
2014-08-15,42.601,41.83,43.53,43.3,3992,3709100
2014-08-18,43.551,43.155,44.449,43.82,3174,3910400
2014-08-19,43.996,43.76,44.63,43.92,4093,3525700
2014-08-20,44.015,42.73,44.089,42.9,2272,2062200
2014-08-21,42.98,42.851,43.79,42.901,3085,3408200
2014-08-22,42.736,40.83,43.457,41.561,4083,3482900
2014-08-25,40.819,40.819,42.889,42.83,1739,964900
2014-08-26,42.919,41.111,43.225,41.5,3589,2949300
2014-08-27,41.5,39.575,42.339,39.9,4141,4935300
2014-08-28,40.03,38,40.1,38.9,6480,8829200
2014-08-29,38.699,37.012,39.05,37.719,6073,6184700
2014-09-01,37.883,36.23,37.998,36.7,8858,8788000
2014-09-02,36.75,36.061,37.5,37.5,1951,2590500
2014-09-03,37.55,35.685,37.975,36,12454,16618500
2014-09-04,36.078,34.83,36.199,35,8571,11876300
2014-09-05,35,34.376,35.551,34.734,7444,7616800
2014-09-08,34.734,34.688,35.401,35.3,3436,4360200
2014-09-09,35.3,35.04,35.757,35.04,4614,8524200
2014-09-10,35.27,34.43,35.406,35,4380,8950100
2014-09-11,34.571,34.571,35.388,34.95,4601,4589400
2014-09-12,35.185,34.795,35.45,35,4403,4008500
2014-09-15,35,34.611,35.814,35.8,8206,11816200
2014-09-16,35.88,35.601,36.6,36.47,6320,8508700
2014-09-17,32,22.611,32,23.005,57018,114611200
2014-09-18,23,21.701,23.975,21.85,17820,38128000
2014-09-19,22,20.29,26.2,22.95,36624,82347200
2014-09-22,22.51,22,23,22.161,8197,10350900
2014-09-23,22.336,22,23.25,23,10123,23478500
2014-09-24,23,22.31,24.05,23.1,15966,36414700
2014-09-25,23.2,20.75,23.98,21.5,19243,34461900
2014-09-26,19.5,16.221,20,17,19331,38859300
2014-09-29,16.55,11.768,17.3,12.68,42693,79680200
2014-09-30,13.115,12.231,13.769,13.13,24356,45349800
2014-10-01,13.11,12.85,14.47,13.66,21304,49508700
2014-10-02,13.5,13.34,14.36,14.1,12219,31578300
2014-10-03,14.25,13.95,15.29,15.2,9120,18251500
2014-10-06,15.3,15.25,16.45,16.05,14385,27617500
2014-10-07,16.2,15.72,16.73,16.1,12554,23323300
2014-10-08,15.99,15,15.99,15.3,6186,11084600
2014-10-09,15.4,13.72,15.8,14.6,16121,30298500
2014-10-10,14.01,13.02,14.3,13.3,15848,32184700
2014-10-13,13.46,12.62,13.92,13.65,7264,10281000
2014-10-14,13.52,13.35,15.17,15,8535,12556300
2014-10-15,15.09,13.74,15.26,13.85,7072,12481000
