TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-10-31,56.7,55.61,57.43,57.4,3780,2779400
2013-11-01,57.13,56.64,57.75,57.38,1226,2286300
2013-11-05,57.5,56.8,57.5,56.85,463,729000
2013-11-06,56.93,56.5,57.46,57.4,1329,1320900
2013-11-07,57.31,56.92,58.47,58.45,1667,2112000
2013-11-08,57.58,56.9,58.11,57.1,1268,1361500
2013-11-11,57.22,56.68,57.83,57.47,2341,1259600
2013-11-12,57.49,57.29,57.91,57.88,777,887500
2013-11-13,57.5,57.32,58.85,57.83,3090,2883100
2013-11-14,58.25,57.74,60.16,59.51,1695,1796800
2013-11-15,60.01,59.51,60.47,59.88,1154,1285200
2013-11-18,59.94,59.47,60.35,59.81,888,996700
2013-11-19,59.8,58.26,60.18,58.68,1389,1317300
2013-11-20,58.1,57.46,58.55,57.6,1422,1302300
2013-11-21,57.97,56.38,57.97,57.78,1250,1284700
2013-11-22,57.79,57.79,58.63,58.29,979,1151600
2013-11-25,58.47,58.15,59.19,58.26,861,839200
2013-11-26,58.16,57.26,58.36,57.57,1040,2121700
2013-11-27,58.17,56.7,58.17,57.19,1402,2265700
2013-11-28,57.32,57.32,58.5,58.44,897,1295600
2013-11-29,58.27,58.19,60.5,60.42,1425,2363400
2013-12-02,60.24,60.05,64.74,62.69,3210,4906000
2013-12-03,62.75,60.61,63.92,63.12,4822,3190100
2013-12-04,62.9,62.48,67.49,67.46,7381,10394800
2013-12-05,68.9,66.21,69,66.72,4118,3849500
2013-12-06,66.75,66.4,68.8,68.8,4542,6598100
2013-12-09,69.01,68.52,72.55,72.48,5154,6947300
2013-12-10,72.45,71.2,74.4,74.1,5682,4618400
2013-12-11,73.13,72.82,74.34,73.09,3774,3249000
2013-12-12,72.6,71.3,74,73.65,5502,3573200
2013-12-13,73.69,73.21,77.01,76.75,5002,7171800
2013-12-16,76.6,76.6,80.39,79.66,7689,7016200
2013-12-17,80,77.8,80.25,79.24,4318,4191300
2013-12-18,79,76.6,79.7,77.17,15377,5061900
2013-12-19,77.8,74.74,78.91,78,7473,5901800
2013-12-20,78.05,76.1,80.3,79.23,7409,6211000
2013-12-23,79.15,78.55,82.2,81.56,5372,4570900
2013-12-24,81.63,81.63,85.05,85,5176,6281600
2013-12-25,84.64,84.59,88.49,85.05,5936,6262600
2013-12-26,85.22,83.55,86.38,84.54,5032,4731100
2013-12-27,82.43,82.43,86.25,82.5,5950,3836100
2013-12-30,82.03,82.03,84.94,83.7,4828,5262600
2014-01-06,83.96,82.6,84.83,83.24,4491,2490000
2014-01-08,83.7,82.81,83.85,83.41,4904,2345100
2014-01-09,84.3,82.83,84.82,82.9,3746,2751400
2014-01-10,83,82.1,83.9,82.83,4566,3849100
2014-01-13,83.25,82.09,99.3,87.87,7264,7404300
2014-01-14,87,83.72,88.99,84.96,11627,7910200
2014-01-15,85.3,83.61,86.09,83.9,6966,5388900
2014-01-16,83.5,83.4,85.43,84.8,5590,4117300
2014-01-17,84.8,84,85.19,84.25,5298,3629900
2014-01-20,84.25,83.92,85.8,85.46,3680,3448100
2014-01-21,86.2,80.11,86.2,81.35,9785,7934600
2014-01-22,80.57,76.02,82.45,78.78,10465,9903800
2014-01-23,78.26,78.26,81.73,79.79,5403,4992100
2014-01-24,79.55,77.81,80.43,78.7,4871,4305900
2014-01-27,77.7,77.7,82.39,81.9,6503,5141500
2014-01-28,81.95,80.08,83.1,81.75,4894,3446600
2014-01-29,82.08,79.22,82.79,81.38,5020,3340700
2014-01-30,81,80.43,82.32,81.44,6484,2806800
2014-01-31,84.86,81,84.86,83,4646,2906200
2014-02-03,83.53,79.67,83.98,80,8257,4761000
2014-02-04,78.75,75.22,79.12,76.65,8398,6241600
2014-02-05,76.93,75,78.01,76.12,12883,6699700
2014-02-06,75.73,75.73,78.9,78.9,5784,4932600
2014-02-07,79.55,79.22,80.5,79.5,4503,4324400
2014-02-10,80,77.78,80.39,79.51,3004,2914700
2014-02-11,79.16,79.16,80.77,80.7,2260,1913300
2014-02-12,81.01,80.65,83.49,82.02,5294,5062700
2014-02-13,81.19,79.88,82.36,80.6,4412,3901700
2014-02-14,80.45,79.33,81.48,80.28,3114,2766200
2014-02-17,80.59,80.49,80.96,80.75,1092,618300
2014-02-18,80.74,79.76,81.45,80,2413,2795900
2014-02-19,82.14,77.94,82.14,78.1,2366,1965100
2014-02-20,77.4,77.03,78.1,77.8,3929,2274900
2014-02-21,78.04,77.46,78.75,77.88,1703,1468300
2014-02-24,77.31,76.3,77.56,76.9,2500,1934400
2014-02-25,77.22,76.5,77.51,77.39,1404,1124800
2014-02-26,77.51,77,78.45,77.6,2482,2172700
2014-02-27,77.95,72.63,78.22,72.71,7917,5895700
2014-02-28,73.4,69.62,73.4,70.61,6258,5484400
2014-03-03,65.68,58.5,68.44,59,11427,11263800
2014-03-04,59.5,59.5,63.37,60.6,11401,9257400
2014-03-05,61.5,61,63.14,62.18,7441,6152100
2014-03-06,62.74,60.67,66.27,62.4,11347,10299200
2014-03-07,62.7,60.81,63.81,61.08,5834,4844000
2014-03-11,60.83,57.85,63.1,59.38,9758,9663100
2014-03-12,58.32,57.04,59.96,58.55,10589,6743300
2014-03-13,58.53,52.17,59.84,52.8,10786,11087900
2014-03-14,51.84,46.33,51.84,47.29,16346,17220200
2014-03-17,47.95,44.7,49.87,46.62,19029,21583400
2014-03-18,47.75,46.65,49.36,48.6,16163,28154600
2014-03-19,49,48.75,54.67,53.89,25820,36318300
2014-03-20,53.05,52.77,57.7,56.45,15986,26956600
2014-03-21,55.15,52.9,56.45,55.15,13887,18254900
2014-03-24,55.6,52.1,56.97,53.74,11398,11757400
2014-03-25,53.82,52.4,55.25,54.24,7777,9431100
2014-03-26,54.73,54.56,56.24,55.35,8300,8451700
2014-03-27,55.18,53.1,57.3,53.11,8802,11717600
2014-03-28,53.99,53.3,54.6,53.85,4957,5615500
2014-03-31,53.76,53.76,55.5,55.2,3242,3938700
2014-04-01,55.5,55.19,56.7,55.97,4514,6133300
2014-04-02,56,54.8,56.29,55.78,6651,5091000
2014-04-03,55.9,55.52,56.39,55.8,3176,3501000
2014-04-04,56.15,55.52,56.15,56.02,2211,3127200
2014-04-07,55.3,52.5,55.82,53.45,7045,8021700
2014-04-08,53.02,52.55,53.84,53.39,4001,5300800
2014-04-09,54.17,52.89,54.17,53.85,4128,4252200
2014-04-10,54.1,53.82,54.45,54.15,2685,3094800
2014-04-11,53.33,52.91,54.2,53.4,2526,2410400
2014-04-14,52.62,52.5,53.39,52.85,2993,2759900
2014-04-15,52.51,49.38,52.98,49.68,4505,5589200
2014-04-16,50,50,52.5,51.8,4023,4995400
2014-04-17,52.2,51.52,53.13,53,4134,5023600
2014-04-18,54,53.55,54.83,53.75,2487,3085200
2014-04-21,53.8,52.91,54,53.65,2110,2028400
2014-04-22,53.29,51.75,53.89,52.34,5617,3584200
2014-04-23,52.5,51.03,52.5,51.76,2472,2606400
2014-04-24,51.84,50.05,52.07,50.64,4420,4354400
2014-04-25,50.96,49.15,50.96,49.25,3042,3068900
2014-04-28,49.25,47.87,50.48,50.46,3889,4029400
2014-04-29,50.38,50.38,51.77,50.95,2821,2887400
2014-04-30,50.98,50,52.69,50.92,5075,6413300
2014-05-02,49.74,49.11,51.12,50.35,1648,1797900
2014-05-05,49.43,49.36,50.8,50.25,2046,1908800
2014-05-06,50.89,50.4,51.09,50.55,4080,3968600
2014-05-07,50.35,50.03,52.46,52.17,7733,8383200
2014-05-08,52,50.6,53.3,51.49,4141,6072500
2014-05-12,51.36,51.13,52.42,51.61,2838,2578000
2014-05-13,51.67,51.67,52.96,52.8,4183,5709800
2014-05-14,52.9,52,53.76,53,2970,3534100
2014-05-15,53.58,52.24,54.21,52.24,4735,5548000
2014-05-16,52.34,52.11,53,52.65,1498,1906500
2014-05-19,53.43,52.83,53.72,53.55,2264,2859300
2014-05-20,53.76,53,53.98,53.61,3160,3325000
2014-05-21,53.79,53.6,54.65,54.2,3069,4463100
2014-05-22,54.45,51.9,54.88,53.11,4224,5545400
2014-05-23,53.13,52.31,53.92,53.89,2004,2498700
2014-05-26,53.8,53.8,54.47,53.99,3061,4314200
2014-05-27,53.91,52.65,53.91,53.32,3146,3977600
2014-05-28,53.49,53.1,54.14,54,2566,2405700
2014-05-29,54.07,54.05,55.87,55.3,4485,6940900
2014-05-30,55,54.74,55.87,55.15,2086,2366200
2014-06-02,55.16,55.04,58.39,57.04,4781,8564500
2014-06-03,56.7,56.4,57.8,57.8,2518,2457400
2014-06-04,58,56.36,58.29,57.2,3576,5340600
2014-06-05,56.92,56.92,57.79,57.57,1690,1807900
2014-06-06,57.28,56.32,57.97,57.59,2684,2912200
2014-06-09,57.7,57.35,59.36,58.84,3056,3416600
2014-06-10,58.78,58.14,59.48,58.85,2632,2656000
2014-06-11,59.08,58.04,59.2,58.74,2207,2161900
2014-06-16,58.74,56.51,58.74,56.89,6534,5026200
2014-06-17,56.94,55.01,57.36,55.06,3905,3918200
2014-06-18,55.42,55.02,55.59,55.3,2229,1922000
2014-06-19,55.96,55.5,56.15,55.64,2944,2889600
2014-06-20,55.79,55.68,56.34,55.68,2326,1973200
2014-06-23,56,55.8,56.5,56.38,2002,1730800
2014-06-24,56.42,56.27,58.49,58.49,4468,4575300
2014-06-25,58.09,56.75,58.23,56.75,2296,2611100
2014-06-26,57,55.82,57.47,56.44,1603,2400400
2014-06-27,56.04,55.6,56.87,55.6,1578,2292900
2014-06-30,56.08,55.31,56.8,56.43,1701,2701800
2014-07-01,56.52,56.1,57,56.68,1169,1256600
2014-07-02,56.6,56.6,57.61,57.1,2125,2940000
2014-07-03,57.09,56.3,57.5,57.09,2145,2695800
2014-07-04,57.13,56.93,57.8,57.3,2402,5071300
2014-07-07,55.01,54.55,58.9,58.26,4183,5844400
2014-07-08,58.26,57.7,59.94,59.34,3365,5062800
2014-07-09,60.12,57.67,60.9,59.73,3620,6020600
2014-07-10,59.95,58.2,60.1,58.66,2627,3750100
2014-07-11,59.55,58.5,59.63,59.1,1308,1898100
2014-07-14,59.35,58.45,59.7,59.5,1201,1454800
2014-07-15,59.55,58.4,59.82,59,1424,1777200
2014-07-16,59,58.75,59.76,59.43,1085,1050100
2014-07-17,59.4,57.21,59.4,57.33,2815,3881600
2014-07-18,56.49,54.4,56.49,54.4,4580,5564700
2014-07-21,54.5,52.02,55.14,52.02,5096,5180300
2014-07-22,52.5,52.4,54.17,53.73,3453,3681600
2014-07-23,54,53.56,54.5,53.98,2220,2525500
2014-07-24,53.81,53,53.98,53.76,1554,1402700
2014-07-25,53.39,52.13,54.04,52.28,2527,2748200
2014-07-28,51.9,50.08,52.24,50.48,2786,2738500
2014-07-29,50.6,50.14,51.37,50.44,3029,2976600
2014-07-30,50,49.81,51.68,50.5,3610,3957900
2014-07-31,50.52,50.34,51.2,50.55,2075,2182500
2014-08-01,50.37,48.82,50.66,49.53,5373,4934400
2014-08-04,49.03,49,49.9,49.9,3384,4008400
2014-08-05,49.5,46.01,49.5,46.97,8054,16834900
2014-08-06,46.8,44.4,47.05,44.62,7147,9324700
2014-08-07,45.5,41.79,45.95,44.44,8616,11326100
