TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-07-08,,,,,0,0
2013-07-09,,,,,0,0
2013-07-10,,,,,0,0
2013-07-11,,,,,0,0
2013-07-12,,,,,0,0
2013-07-15,,,,,0,0
2013-07-16,,,,,0,0
2013-07-17,,,,,0,0
2013-07-18,,,,,0,0
2013-07-19,,,,,0,0
2013-07-22,,,,,0,0
2013-07-23,,,,,0,0
2013-07-24,,,,,0,0
2013-07-25,,,,,0,0
2013-07-26,,,,,0,0
2013-07-29,,,,,0,0
2013-07-30,,,,,0,0
2013-07-31,,,,,0,0
2013-08-01,,,,,0,0
2013-08-02,,,,,0,0
2013-08-05,,,,,0,0
2013-08-06,,,,,0,0
2013-08-07,,,,,0,0
2013-08-08,,,,,0,0
2013-08-09,,,,,0,0
2013-08-12,,,,,0,0
2013-08-13,,,,,0,0
2013-08-14,,,,,0,0
2013-08-15,,,,,0,0
2013-08-16,,,,,0,0
2013-08-19,,,,,0,0
2013-08-20,,,,,0,0
2013-08-21,,,,,0,0
2013-08-22,,,,,0,0
2013-08-23,,,,,0,0
2013-08-26,,,,,0,0
2013-08-27,,,,,0,0
2013-08-28,,,,,0,0
2013-08-29,,,,,0,0
2013-08-30,,,,,0,0
2013-09-02,33,32.612,33.197,33,266,696800
2013-09-03,33.148,32.9,33.198,33.198,323,1257800
2013-09-04,33.329,33.018,33.5,33.327,627,161400
2013-09-05,33.343,33,33.349,33.34,191,177200
2013-09-06,33.4,33.06,33.449,33.061,775,370500
2013-09-09,33.369,33.034,33.372,33.299,518,242400
2013-09-10,33.365,33.01,33.365,33.01,432,376400
2013-09-11,33.007,32.7,33.239,32.896,364,362000
2013-09-12,32.711,32.6,33.1,32.999,414,757200
2013-09-13,32.859,32.602,33.095,32.678,230,202200
2013-09-16,32.724,32.595,33.27,33.25,1710,41507100
2013-09-17,33.241,33.181,33.8,33.748,318,3411700
2013-09-18,33.9,33.887,35.4,35.1,840,2413900
2013-09-19,34.922,34.651,35.45,35.099,1577,973900
2013-09-20,35.348,34.311,35.348,34.51,592,339700
2013-09-23,34.845,34.5,35.256,35.115,293,301900
2013-09-24,35.119,34.812,35.119,34.9,247,353900
2013-09-25,34.95,34.867,35.5,35.488,431,1479100
2013-09-26,35.143,35.024,35.5,35.5,325,1008400
2013-09-27,35.401,35.399,37.347,36.8,622,1252700
2013-09-30,36.987,35.671,37.55,36,543,665100
2013-10-01,35.559,35.559,36.95,36.255,270,492600
2013-10-02,36.3,36.3,39.5,38.502,1586,2876100
2013-10-03,38.799,38.6,40.989,39,1462,1938800
2013-10-04,38.941,37.751,38.942,38.7,821,725600
2013-10-07,38.7,37.6,38.7,37.652,474,905600
2013-10-08,37.621,37.518,37.85,37.777,648,714400
2013-10-09,37.6,36.997,37.776,37,638,868400
2013-10-10,37,36.75,37.097,36.88,4582,1944900
