TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2014-06-09,1818.9,1803.3,1847.4,1835.3,719,20364
2014-06-10,1835.1,1826,1840,1833,636,17660
2014-06-11,1840,1815.1,1840,1833.2,1618,23164
2014-06-16,1835.1,1815,1880,1848.1,3979,86121
2014-06-17,1845,1801.1,1869,1832,2410,52041
2014-06-18,1838,1820.1,1843.8,1831,2088,47665
2014-06-19,1778,1778,1840,1829.4,3938,86523
2014-06-20,1620.1,1580.4,1700,1654,2546,44054
2014-06-23,1661.5,1601,1687,1632.4,745,12760
2014-06-24,1640.2,1603.1,1682,1674.7,2841,38932
2014-06-25,1663.1,1663.1,1698.3,1676.5,678,21022
2014-06-26,1676.7,1653.1,1694.9,1666.7,605,21442
2014-06-27,1669.9,1642.2,1674.9,1651.1,2992,42798
2014-06-30,1653.1,1618,1653.1,1632.2,1367,16600
2014-07-01,1634.6,1616.7,1638,1626.1,1562,8588
2014-07-02,1628,1625.3,1696.9,1686.9,3046,31758
2014-07-03,1670.6,1670.6,1735.4,1695,1094,23365
2014-07-04,1634.7,1634.7,1715.3,1709,835,35004
2014-07-07,1708.8,1708.8,1770,1770,748,27899
2014-07-08,1753,1753,1826,1826,1025,31424
2014-07-09,1807,1754.9,1848,1810,1081,31033
2014-07-10,1812,1805,1837,1825.1,904,30471
2014-07-11,1824.1,1815.8,1837.6,1830,616,11502
2014-07-14,1815.4,1780.1,1838.1,1794.9,685,13965
2014-07-15,1800,1716.3,1800,1769.3,1406,46791
2014-07-16,1740,1699.9,1768,1745,2331,43648
2014-07-17,1721.1,1651.8,1739.9,1684,1675,71466
2014-07-18,1679.9,1613.8,1680,1660,8191,62881
2014-07-21,1669,1571.2,1691.8,1575,1216,47346
2014-07-22,1575.2,1575.2,1634.8,1634.8,1308,43115
2014-07-23,1630.3,1586.2,1651.4,1600,1649,52640
2014-07-24,1660,1549.1,1660,1563.8,1294,17641
2014-07-25,1565,1540,1565,1540,777,25631
2014-07-28,1525.3,1390.7,1533,1408,1508,52735
2014-07-29,1400,1400,1470,1410,1821,47928
2014-07-30,1395,1395,1460,1448.7,913,35971
2014-07-31,1447.5,1447.5,1492,1487,558,12658
2014-08-01,1499.3,1415.5,1499.3,1465,882,23106
2014-08-04,1475,1451,1498,1498,859,14577
2014-08-05,1498.5,1461,1498.5,1475,361,7572
2014-08-06,1475.5,1372,1484,1374.5,1678,42019
2014-08-07,1374.6,1280,1415.7,1410.1,2698,68244
2014-08-08,1396.5,1351.3,1430,1414.9,780,9793
2014-08-11,1421.7,1420,1463.9,1424,282,7270
2014-08-12,1423.1,1422,1455,1450,477,9712
2014-08-13,1449.9,1449.7,1470,1466,633,15913
2014-08-14,1453.6,1453.6,1534.7,1524,937,11058
2014-08-15,1538.7,1509,1559.9,1541,416,9645
2014-08-18,1549.9,1541.2,1584.6,1545,352,14889
2014-08-19,1551.4,1540.5,1565,1544,386,8113
2014-08-20,1548.9,1512.4,1548.9,1512.4,1053,13607
2014-08-21,1539.9,1520,1559.2,1559.2,990,22652
2014-08-22,1554.9,1520,1554.9,1548.2,983,24638
2014-08-25,1558.3,1518.6,1558.4,1520,700,32176
2014-08-26,1520.3,1503.6,1536.9,1503.6,457,11425
2014-08-27,1505.2,1480,1536.7,1480,920,22016
2014-08-28,1497.8,1441,1497.8,1441,1309,13643
2014-08-29,1449.9,1425,1450.2,1430.8,436,6617
2014-09-01,1449.6,1360.1,1449.7,1375,2962,71733
2014-09-02,1376.9,1372.3,1399.9,1375,484,7536
2014-09-03,1390,1385,1409,1392.2,2188,28144
2014-09-04,1403.1,1355.2,1406.1,1365.2,1242,15156
2014-09-05,1360.1,1331.1,1373.9,1345,1409,24531
2014-09-08,1345,1339,1359.4,1350,1726,109130
2014-09-09,1350,1350,1409,1379.9,1467,32284
2014-09-10,1381,1374.8,1389.4,1380,1016,10514
2014-09-11,1410,1360.9,1410,1367.3,738,17838
2014-09-12,1379.8,1350.5,1379.8,1361.1,1223,37295
2014-09-15,1376.3,1302.3,1376.3,1318,3598,54290
2014-09-16,1320,1320,1341.9,1321.5,1135,21130
2014-09-17,1261,1039,1261,1060,10694,392045
2014-09-18,1070,1035,1110,1035,3335,90901
2014-09-19,1036.5,941.1,1044.9,977,11259,321059
2014-09-22,976.3,945.5,984.8,946.2,2748,56962
2014-09-23,950,943.2,965,951.7,4302,59694
2014-09-24,957.7,957.7,995,969.7,4004,71858
2014-09-25,977.3,918.5,978.7,921.1,5230,84184
2014-09-26,910,807.5,914.7,808,13581,203441
2014-09-29,800,745.2,833.3,761.3,9508,170442
2014-09-30,748,748,799.5,795.2,2637,79873
2014-10-01,795,781,856,796,5274,118202
2014-10-02,796,784,827,796,2451,67204
2014-10-03,799,788,815,800,1375,42452
2014-10-06,810,804,827,804,1041,31152
2014-10-07,829,795,829,795,899,22425
2014-10-08,793,790,803,790,793,20243
2014-10-09,793,758,801,762,1537,37300
2014-10-10,763,728,765,735,2195,45333
2014-10-13,740,730,763,752,1119,36156
2014-10-14,754,749,771,754,1184,39865
2014-10-15,755,723,758,727,1192,22903
2014-10-16,746,681,746,699,2416,40254
2014-10-17,701,699,730,724,1151,15730
2014-10-20,725,699,744,714,2904,33567
2014-10-21,713,705,737,722,1853,47543
2014-10-22,735,707,750,710,1810,42650
2014-10-23,716,692,716,695,1490,34437
2014-10-24,690,681,701,683,1165,20420
2014-10-27,691,691,730,724,1945,39797
2014-10-28,730,729,798,761,3940,106380
2014-10-29,775,766,788,768,1858,50928
2014-10-30,774,760,829,815,5338,207988
2014-10-31,830,830,923,917,5754,228816
2014-11-03,920,918,977,959,3025,98357
2014-11-05,960,884,960,933,3215,86002
2014-11-06,934,890,955,902,2445,69612
2014-11-07,900,876,911,887,1993,61999
2014-11-10,900,900,955,942,1851,57124
2014-11-11,944,925,955,936,1351,31197
2014-11-12,955,923,955,937,1247,38303
2014-11-13,952,924,969,929,1489,42104
2014-11-14,921,899,936,928,1537,45824
2014-11-17,928,920,938,929,391,12715
2014-11-18,929,918,949,936,1092,36861
2014-11-19,940,906,956,931,1535,57472
2014-11-20,938,931,946,944,964,24912
2014-11-21,947,936,948,941,587,14630
2014-11-24,950,928,950,930,977,31512
2014-11-25,930,906,940,908,1692,49984
2014-11-26,912,882,915,888,1494,39315
2014-11-27,896,870,905,876,1077,30821
2014-11-28,861,846,883,850,2401,53035
2014-12-01,840,829,851,848,1591,52118
2014-12-02,849,841,889,857,1598,38753
2014-12-03,856,833,885,856,1657,51732
2014-12-04,926,847,926,858,1271,18305
2014-12-05,858,830,873,838,2027,37419
2014-12-08,838,771,864,790,2259,47921
2014-12-09,790,747,790,755,1623,34375
2014-12-10,762,762,839,807,2272,66423
2014-12-11,751,751,850,823,2975,111305
2014-12-12,839,801,999,997,5734,217746
2014-12-15,1010,929,1083,936,5515,214641
2014-12-16,953,755,953,864,5614,271792
2014-12-17,867,850,944,894,3044,81857
2014-12-18,950,890,950,901,2478,92214
2014-12-19,903,861,924,900,3135,50038
2014-12-22,901,842,922,860,2483,79800
2014-12-23,865,850,904,904,1675,61394
2014-12-24,904,893,948,930,4721,212435
2014-12-25,931,913,947,936,994,91336
2014-12-26,908,908,944,940,562,36031
2014-12-29,937,911,962,911,1048,59491
2014-12-30,901,887,951,922,1490,71694
2015-01-05,927,915,944,935,556,16034
2015-01-06,928,921,938,926,455,9201
2015-01-08,927,925,965,956,1648,74265
2015-01-09,956,925,967,938,1265,47926
2015-01-12,934,922,942,935,1044,21278
2015-01-13,935,921,938,929,1118,42787
2015-01-14,930,928,943,940,631,33051
2015-01-15,967,946,979,969,2515,141557
2015-01-16,970,954,999,986,1751,116282
2015-01-19,968,968,1046,1025,3251,185341
2015-01-20,1066,1010,1066,1030,1105,55927
2015-01-21,1015,1015,1075,1064,1721,61233
2015-01-22,1070,1070,1144,1143,2510,134489
2015-01-23,1150,1131,1185,1152,3023,126359
2015-01-26,1140,1101,1164,1109,1991,132918
2015-01-27,1089,1051,1140,1123,1705,82388
2015-01-28,1126,1123,1165,1140,1764,78224
2015-01-29,1140,1113,1147,1133,1028,34413
2015-01-30,1133,1123,1238,1238,3111,112782
2015-02-02,1250,1191,1294,1215,2871,109154
2015-02-03,1243,1232,1279,1262,1683,61871
2015-02-04,1255,1255,1295,1280,1285,119919
2015-02-05,1276,1245,1276,1256,1554,129153
2015-02-06,1284,1249,1291,1255,2805,128465
2015-02-09,1260,1233,1280,1250,2938,103698
2015-02-10,1246,1246,1275,1265,1870,41163
2015-02-11,1270,1261,1280,1265,1642,51704
2015-02-12,1274,1260,1280,1272,1407,27622
2015-02-13,1277,1271,1299,1296,1456,67359
2015-02-16,1300,1288,1315,1296,1026,31967
2015-02-17,1300,1251,1306,1261,1281,38384
2015-02-18,1265,1243,1274,1249,852,18664
2015-02-19,1245,1208,1250,1227,1365,26815
2015-02-20,1235,1220,1245,1240,597,10420
2015-02-24,1220,1212,1230,1222,709,10641
2015-02-25,1224,1175,1230,1209,1208,17753
2015-02-26,1207,1207,1256,1242,906,41265
2015-02-27,1245,1210,1254,1245,1119,51984
2015-03-02,1236,1228,1251,1235,727,16890
2015-03-03,1235,1221,1250,1249,1228,17493
2015-03-04,1251,1220,1264,1229,892,24652
2015-03-05,1234,1234,1295,1287,1964,65954
2015-03-06,1287,1265,1303,1294,1098,39227
2015-03-10,1287,1265,1295,1270,966,25498
2015-03-11,1270,1200,1274,1247,1307,76155
2015-03-12,1250,1234,1272,1255,833,54948
2015-03-13,1260,1233,1260,1240,1048,59122
2015-03-16,1240,1219,1262,1239,935,30031
2015-03-17,1243,1227,1258,1250,1455,18784
2015-03-18,1246,1240,1314,1314,2554,48291
2015-03-19,1321,1271,1330,1290,2240,44900
2015-03-20,1285,1277,1405,1383,9011,228771
2015-03-23,1383,1339,1399,1356,1131,57879
2015-03-24,1356,1314,1361,1319,674,11982
2015-03-25,1317,1250,1329,1274,2484,47552
2015-03-26,1280,1240,1349,1340,7300,142348
2015-03-27,1348,1301,1351,1316,3568,69097
2015-03-30,1365,1308,1365,1330,3619,65227
2015-03-31,1331,1315,1365,1340,2176,48034
2015-04-01,1341,1334,1367,1358,550,17989
2015-04-02,1350,1333,1358,1344,1572,26978
2015-04-03,1333,1310,1341,1313,796,18583
2015-04-06,1318,1318,1339,1326,643,15789
2015-04-07,1328,1322,1375,1357,1449,32784
2015-04-08,1357,1331,1365,1338,2434,70473
2015-04-09,1338,1325,1382,1332,2125,69202
2015-04-10,1372,1330,1372,1342,2111,39042
2015-04-13,1350,1350,1379,1379,2617,49698
2015-04-14,1380,1370,1415,1415,1467,50703
2015-04-15,1414,1398,1480,1460,2076,105692
2015-04-16,1460,1443,1469,1452,1314,32422
2015-04-17,1451,1400,1452,1440,4456,62847
2015-04-20,1446,1435,1530,1503,1991,128315
2015-04-21,1497,1468,1536,1520,1479,71202
2015-04-22,1635,1486,1635,1521,722,18302
2015-04-23,1566,1491,1566,1525,1223,95951
2015-04-24,1475,1475,1545,1532,847,36330
2015-04-27,1487,1487,1542,1506,711,14899
2015-04-28,1510,1469,1541,1540,1326,36737
2015-04-29,1540,1535,1610,1592,1514,67126
2015-04-30,1588,1575,1708,1708,2491,56987
2015-05-05,1673,1650,1732,1727,1899,56616
2015-05-06,1715,1682,1764,1687,2041,82702
2015-05-07,1687,1620,1691,1620,1584,44974
2015-05-08,1636,1627,1679,1669,680,11196
2015-05-12,1667,1654,1683,1680,562,11122
2015-05-13,1679,1633,1707,1641,320,5363
2015-05-14,1641,1593,1651,1605,674,11640
2015-05-15,1605,1546,1605,1590,546,9991
2015-05-18,1579,1545,1579,1556,670,14356
2015-05-19,1660,1515,1660,1525,1712,22845
2015-05-20,1525,1442,1538,1476,1531,40358
2015-05-21,1480,1469,1500,1489,646,15487
2015-05-22,1492,1459,1499,1496,408,10237
2015-05-25,1499,1494,1549,1530,634,10570
2015-05-26,1537,1517,1543,1521,277,5373
2015-05-27,1537,1512,1537,1528,321,8560
2015-05-28,1542,1502,1542,1513,682,14513
2015-05-29,1527,1512,1549,1513,500,8016
2015-06-01,1520,1520,1549,1532,425,7622
2015-06-02,1533,1524,1574,1550,916,23019
2015-06-03,1565,1533,1577,1555,1303,15648
2015-06-04,1543,1505,1561,1516,1420,15460
2015-06-05,1521,1485,1525,1510,868,7172
2015-06-08,1514,1485,1542,1487,515,7103
2015-06-09,1490,1450,1490,1469,1129,20332
2015-06-10,1470,1422,1481,1428,1253,19403
2015-06-11,1439,1410,1459,1434,1299,10886
2015-06-15,1420,1402,1438,1425,1386,17071
2015-06-16,1434,1426,1449,1439,487,11701
2015-06-17,1442,1424,1462,1450,1322,41429
2015-06-18,1464,1450,1479,1475,921,19407
2015-06-19,1479,1440,1487,1445,1277,29400
2015-06-22,1445,1445,1469,1451,338,11982
2015-06-23,1458,1433,1461,1435,410,5968
2015-06-24,1447,1398,1451,1406,1074,30786
2015-06-25,1411,1370,1415,1372,1263,30354
2015-06-26,1374,1370,1415,1415,901,20950
2015-06-29,1393,1371,1408,1404,488,27953
2015-06-30,1393,1373,1430,1429,641,16584
2015-07-01,1428,1400,1435,1400,776,14180
2015-07-02,1428,1398,1428,1400,593,8207
2015-07-03,1401,1390,1401,1395,393,7070
2015-07-06,1383,1370,1394,1394,839,19160
2015-07-07,1385,1352,1400,1370,1129,32079
2015-07-08,1371,1336,1386,1354,1372,29449
2015-07-09,1361,1361,1399,1380,600,9345
2015-07-10,1395,1357,1395,1358,705,14649
2015-07-13,1375,1346,1386,1364,1170,23001
2015-07-14,1364,1333,1364,1337,1189,27078
2015-07-15,1339,1337,1372,1370,2696,101992
2015-07-16,1268,1265,1315,1304,3567,71989
2015-07-17,1315,1297,1315,1297,680,20968
2015-07-20,1310,1276,1310,1290,884,29451
2015-07-21,1299,1287,1300,1298,474,11748
2015-07-22,1299,1288,1311,1297,587,18972
2015-07-23,1306,1297,1326,1321,811,35771
2015-07-24,1324,1313,1331,1315,780,45494
2015-07-27,1318,1294,1324,1323,1098,44544
2015-07-28,1319,1310,1324,1322,363,17989
2015-07-29,1322,1315,1337,1325,430,7243
2015-07-30,1326,1320,1358,1353,986,26223
2015-07-31,1346,1342,1365,1342,683,12567
2015-08-03,1348,1343,1363,1354,383,15193
2015-08-04,1350,1350,1375,1360,571,22183
2015-08-05,1360,1345,1362,1358,407,11291
2015-08-06,1358,1344,1369,1365,584,13299
