TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2014-06-09,38.26,38.26,38.89,38.5,210,12720
2014-06-10,38.33,38.16,39.43,38.79,418,59220
2014-06-11,38.7,38.57,39.79,39.49,672,132150
2014-06-16,39.21,38.79,40.39,40.39,578,86620
2014-06-17,40.02,40,40.2,40,133,111570
2014-06-18,39.89,39.89,40.09,40.05,362,34610
2014-06-19,40.16,40.16,40.49,40.25,105,20650
2014-06-20,40.11,40.1,40.28,40.11,65,5360
2014-06-23,40.03,40,40.21,40.05,38,5180
2014-06-24,40.28,40.21,40.49,40.39,51,3240
2014-06-25,40.14,39.9,40.2,40.1,48,17160
2014-06-26,39.89,38.79,40.1,39,166,34120
2014-06-27,39.06,34,39.4,38.01,185,47820
2014-06-30,37.99,37.4,38.84,38.59,128,41660
2014-07-01,38.85,38.53,39.5,39.2,59,3260
2014-07-02,39.01,38.42,39.01,38.85,76,18570
2014-07-03,38.54,37.8,39.01,38.9,95,8870
2014-07-04,38.63,38.63,39.9,39.35,87,19970
2014-07-07,39.13,39.1,39.51,39.29,43,2970
2014-07-08,35.98,35.98,39.74,39.23,110,17040
2014-07-09,39.16,38.46,39.2,38.79,55,6240
2014-07-10,38.73,37.42,38.84,38,116,13970
2014-07-11,38,37.5,38.19,37.95,37,2820
2014-07-14,38.18,36.75,38.2,37.1,124,11680
2014-07-15,37.21,35.63,37.23,36.24,221,40520
2014-07-16,36.17,35.35,36.17,35.49,261,34490
2014-07-17,35.36,33.8,35.5,35,597,82960
2014-07-18,35,33.11,35.43,33.63,509,79630
2014-07-21,33.57,32.67,33.57,32.91,173,29200
2014-07-22,32.98,32.95,34.4,34.02,292,84100
2014-07-23,33.83,33.27,36.07,34.22,468,61060
2014-07-24,34.04,33.75,34.39,33.9,78,12770
2014-07-25,33.95,32.93,34.46,34.01,275,120120
2014-07-28,33.76,32.81,33.98,33.15,104,6610
2014-07-29,33.21,32.93,33.51,33.4,140,24230
2014-07-30,33.38,33.38,33.94,33.78,133,18080
2014-07-31,33.5,33.41,34.56,34.01,303,74430
2014-08-01,34.19,33.5,35.15,35,389,130250
2014-08-04,34.99,34.05,35.58,34.9,250,63720
2014-08-05,34.27,33.86,34.4,34.35,106,23960
2014-08-06,34.05,33.6,34.66,33.9,181,92840
2014-08-07,33.99,31.87,34,32.7,242,41590
2014-08-08,32.99,32.5,33.29,33.15,213,42160
2014-08-11,33.2,33.05,33.77,33.44,126,37840
2014-08-12,33.14,33.14,33.7,33.33,166,42330
2014-08-13,33.49,33.14,33.7,33.52,226,46520
2014-08-14,33.08,33.06,34.18,33.81,306,31630
2014-08-15,33.7,33.6,34.26,33.98,75,8790
2014-08-18,33.78,33.19,34,33.65,101,16370
2014-08-19,33.51,33.1,34.25,34.16,104,15940
2014-08-20,34.37,34.15,35.53,35.52,178,40240
2014-08-21,35.56,33.99,36.07,34.46,250,106800
2014-08-22,34.25,33.34,34.98,34.93,133,17600
2014-08-25,34.56,34.5,35.05,35,60,10780
2014-08-26,34.96,34.66,34.96,34.66,54,22030
2014-08-27,34.79,33.67,34.88,34.21,134,16200
2014-08-28,34.17,33.67,34.6,33.81,165,8320
2014-08-29,33.78,33.15,33.9,33.59,207,28670
2014-09-01,33.59,32.86,33.68,32.99,284,23490
2014-09-02,33.09,32.91,33.21,33.21,40,17590
2014-09-03,33.39,33.02,34.29,34,161,17200
2014-09-04,33.79,33.6,35.3,34.4,246,34410
2014-09-05,34.22,33.65,34.66,34.01,270,43320
2014-09-08,34,33.96,34.39,34,104,79960
2014-09-09,34.64,33.9,34.68,34.17,81,141710
2014-09-10,33.96,33.35,34.04,33.52,714,29830
2014-09-11,33.96,32.7,33.97,32.71,508,70910
2014-09-12,32.72,32.25,32.72,32.56,242,59070
2014-09-15,32.72,31.05,32.95,31.15,1194,83150
2014-09-16,31.5,31.26,31.98,31.65,299,116370
2014-09-17,31.73,30.87,32.2,31.45,283,39120
2014-09-18,31.48,30.81,31.7,31.39,314,34570
2014-09-19,31.03,30.74,31.25,31.12,508,32350
2014-09-22,30.97,30.23,31.72,30.23,172,105350
2014-09-23,30.75,30.5,31.05,30.8,197,35810
2014-09-24,30.91,30.91,32.47,32.19,547,77220
2014-09-25,32.21,31.56,33.67,33.34,735,105900
2014-09-26,33.11,32.9,33.44,33.1,124,17330
2014-09-29,33.01,31.01,33.01,31.4,672,63960
2014-09-30,31.4,31.1,31.63,31.5,196,82200
2014-10-01,31.5,31.05,31.6,31.35,199,11720
2014-10-02,31.15,30.3,31.15,30.6,621,41240
2014-10-03,30.85,30.35,30.95,30.55,384,22330
2014-10-06,30.65,30.25,31,30.65,600,205050
2014-10-07,30.5,30.5,30.85,30.85,115,16330
2014-10-08,30.75,30.2,30.75,30.6,141,59940
2014-10-09,30.8,30.55,31.25,30.85,174,22810
2014-10-10,30.65,30.3,30.85,30.45,205,59700
2014-10-13,30.8,30.6,31,30.95,81,44840
2014-10-14,30.8,30.75,31.15,31.05,43,17120
2014-10-15,31,30.75,31.5,30.9,95,30640
2014-10-16,31.15,30.75,31.15,30.85,177,41340
2014-10-17,30.8,30.8,31.85,31.05,320,53350
2014-10-20,31.15,30.6,31.15,31,155,29750
2014-10-21,30.75,30.7,31.25,31.25,230,32380
2014-10-22,31.1,30.8,31.45,31,141,14030
2014-10-23,31,30.75,31.5,31.1,108,32940
2014-10-24,30.85,30.8,31.1,31.1,43,7600
