TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2015-06-22,,,,,0,0
2015-06-23,,,,,0,0
2015-06-24,,,,,0,0
2015-06-25,,,,,0,0
2015-06-26,,,,,0,0
2015-06-29,,,,,0,0
2015-06-30,,,,,0,0
2015-07-01,3.627,3.624,3.74,3.68,898,22000500
2015-07-02,3.8,3.624,3.8,3.6455,505,27706400
2015-07-03,3.725,3.6315,3.725,3.637,145,38211300
2015-07-06,3.6405,3.64,3.67,3.67,102,8407400
2015-07-07,3.8,3.631,3.8,3.631,182,30483800
2015-07-08,3.6205,3.6205,3.66,3.649,138,40402100
2015-07-09,3.625,3.625,3.65,3.65,102,34680400
2015-07-10,3.8,3.632,3.8,3.65,113,26880300
2015-07-13,3.698,3.642,3.698,3.6545,145,35973700
2015-07-14,3.645,3.6415,3.6585,3.6525,219,53277400
2015-07-15,3.626,3.62,3.656,3.656,117,39678800
2015-07-16,3.6395,3.639,3.683,3.676,136,29569700
2015-07-17,3.671,3.669,3.6745,3.669,26,1965400
2015-07-20,3.6625,3.656,3.664,3.6625,83,21393200
2015-07-21,3.671,3.66,3.677,3.677,54,24115300
2015-07-22,3.673,3.67,3.6745,3.67,102,20346500
2015-07-23,3.673,3.673,3.677,3.677,64,18397000
2015-07-24,3.6685,3.6685,3.6765,3.67,58,7360700
2015-07-27,3.621,3.621,3.687,3.6745,45,4616200
2015-07-28,3.6655,3.6605,3.6655,3.6605,130,18695500
2015-07-29,3.6635,3.655,3.6645,3.655,29,9490200
2015-07-30,3.6655,3.655,3.672,3.672,50,8562700
2015-07-31,3.675,3.67,3.675,3.6745,12,16101500
2015-08-03,3.67,3.6565,3.67,3.6595,13,574500
2015-08-04,3.647,3.639,3.6695,3.639,9,178300
2015-08-05,3.635,3.635,3.6555,3.635,7,138000
2015-08-06,3.635,3.63,3.6355,3.63,11,43800
2015-08-07,3.6645,3.655,3.69,3.655,35,3886600
2015-08-10,3.655,3.655,3.67,3.655,6,20200
2015-08-11,3.656,3.656,3.6915,3.66,55,16117700
2015-08-12,3.6795,3.665,3.6875,3.68,66,13190600
2015-08-13,3.6895,3.6895,3.6905,3.6905,33,5002100
2015-08-14,3.68,3.675,3.6905,3.675,43,6384100
2015-08-17,3.689,3.689,3.691,3.691,40,6001100
2015-08-18,3.689,3.665,3.691,3.665,52,8098200
2015-08-19,3.66,3.66,3.66,3.66,2,200
2015-08-20,3.665,3.665,3.665,3.665,1,54500
2015-08-21,3.6555,3.65,3.6555,3.65,8,190000
2015-08-24,3.65,3.62,3.6545,3.6205,16,1015200
2015-08-25,3.6385,3.62,3.6385,3.62,17,577300
2015-08-26,3.6255,3.625,3.65,3.625,6,11300
2015-08-27,3.6265,3.6265,3.645,3.645,56,9000700
2015-08-28,3.661,3.625,3.661,3.65,36,9001800
2015-08-31,3.644,3.6435,3.6465,3.6455,36,6700300
2015-09-01,3.645,3.63,3.6455,3.63,22,194100
2015-09-02,3.6395,3.6395,3.64,3.64,11,29100
2015-09-03,3.65,3.65,3.65,3.65,7,140000
2015-09-04,3.65,3.635,3.652,3.652,21,2262400
2015-09-07,3.636,3.635,3.636,3.635,3,27600
2015-09-08,3.6595,3.6355,3.66,3.6355,4,700
2015-09-09,3.6575,3.64,3.66,3.66,35,9009100
2015-09-10,3.636,3.635,3.636,3.635,5,27700
2015-09-11,3.635,3.635,3.66,3.635,5,200400
2015-09-14,3.617,3.617,3.65,3.65,16,141200
2015-09-15,3.65,3.65,3.68,3.68,85,4088200
2015-09-16,3.66,3.66,3.66,3.66,2,13900
2015-09-17,3.635,3.635,3.635,3.635,1,27600
2015-09-18,3.67,3.67,3.67,3.67,1,100
2015-09-21,3.6605,3.66,3.6605,3.66,4,10200
2015-09-22,3.65,3.645,3.65,3.6455,4,13900
2015-09-23,3.6595,3.6595,3.66,3.66,4,27600
2015-09-24,3.69,3.66,3.69,3.66,5,28700
2015-09-25,3.665,3.665,3.6655,3.6655,5,30100
2015-09-28,3.7065,3.68,3.707,3.68,7,23200
2015-09-29,3.69,3.69,3.69,3.69,2,200
2015-09-30,3.7,3.7,3.704,3.704,2,600
2015-10-01,3.7,3.7,3.7,3.7,4,400
2015-10-02,3.7315,3.71,3.732,3.732,7,80600
2015-10-05,3.737,3.71,3.737,3.7295,7,84200
2015-10-06,3.735,3.735,3.74,3.7355,6,66200
2015-10-07,3.716,3.715,3.716,3.715,6,103300
2015-10-08,3.715,3.715,3.744,3.73,4,78100
2015-10-09,3.7305,3.73,3.748,3.748,4,23600
2015-10-12,3.7325,3.732,3.764,3.732,9,85700
2015-10-13,3.7475,3.745,3.748,3.748,11,106100
2015-10-14,3.7325,3.732,3.74,3.74,7,270700
2015-10-15,3.7305,3.73,3.756,3.756,38,71000
2015-10-16,3.759,3.74,3.759,3.75,34,877400
2015-10-19,3.73,3.72,3.755,3.755,21,610700
2015-10-20,3.775,3.775,3.796,3.796,24,781100
2015-10-21,3.78,3.78,3.79,3.79,19,791700
2015-10-22,3.794,3.78,3.796,3.796,15,573200
2015-10-23,3.784,3.784,3.796,3.796,15,985900
2015-10-26,3.795,3.79,3.795,3.795,30,764900
2015-10-27,3.79,3.75,3.79,3.76,46,3118900
2015-10-28,3.766,3.766,3.77,3.77,8,632500
2015-10-29,3.755,3.724,3.76,3.73,58,9511300
2015-10-30,3.755,3.755,3.756,3.756,7,267700
2015-11-02,3.75,3.75,3.77,3.77,10,345100
2015-11-03,3.77,3.77,3.77,3.77,24,815600
2015-11-05,3.775,3.745,3.775,3.77,11,716100
2015-11-06,3.765,3.765,3.765,3.765,5,539400
2015-11-09,3.75,3.75,3.75,3.75,6,700000
2015-11-10,3.73,3.73,3.745,3.745,38,700300
2015-11-11,3.73,3.73,3.74,3.74,5,500500
2015-11-12,3.755,3.755,3.755,3.755,9,492800
2015-11-13,3.76,3.76,4.895,3.78,301,6419800
2015-11-16,3.78,3.775,3.8,3.775,24,428000
2015-11-17,3.78,3.775,3.81,3.81,17,232200
2015-11-18,3.805,3.775,3.805,3.795,20,433200
2015-11-19,3.775,3.75,3.81,3.78,42,6523100
2015-11-20,3.8,3.77,3.8,3.795,22,368300
2015-11-23,3.77,3.765,3.775,3.775,22,506100
2015-11-24,3.775,3.765,3.785,3.78,13,865400
2015-11-25,3.77,3.77,3.795,3.795,20,1480000
2015-11-26,3.795,3.775,3.95,3.85,75,3553100
2015-11-27,3.89,3.85,3.95,3.91,146,5360800
2015-11-30,3.885,3.83,3.98,3.83,1140,6675800
2015-12-01,3.875,3.82,3.875,3.85,55,1291800
2015-12-02,3.84,3.815,3.845,3.84,66,670300
2015-12-03,3.82,3.805,3.84,3.805,49,2089500
2015-12-04,3.815,3.815,3.83,3.815,58,631700
2015-12-07,3.815,3.815,3.84,3.84,51,732400
2015-12-08,3.78,3.75,3.84,3.84,65,1007200
2015-12-09,3.835,3.835,3.86,3.835,67,950400
2015-12-10,3.82,3.815,3.84,3.825,32,525000
2015-12-11,3.835,3.82,3.84,3.825,41,3235100
2015-12-14,3.84,3.81,3.84,3.825,58,2757600
2015-12-15,3.825,3.81,3.84,3.84,76,4398600
2015-12-16,3.835,3.82,3.85,3.85,63,4972200
2015-12-17,3.815,3.67,3.815,3.68,74,323200
2015-12-18,3.68,3.665,3.685,3.685,16,22500
2015-12-21,3.695,3.67,3.695,3.67,11,102900
2015-12-22,3.68,3.675,3.695,3.675,14,302100
2015-12-23,3.69,3.67,3.69,3.67,6,128600
2015-12-24,3.68,3.67,3.69,3.685,28,3459600
2015-12-25,3.68,3.68,3.75,3.75,87,1646300
2015-12-28,3.69,3.675,3.765,3.73,28,1676700
2015-12-29,3.68,3.68,3.77,3.77,73,4467400
2015-12-30,3.77,3.77,3.8,3.8,47,1591700
2016-01-04,3.78,3.78,3.95,3.93,84,5916200
2016-01-05,3.865,3.865,3.895,3.865,13,115100
2016-01-06,3.885,3.87,3.885,3.885,16,1484000
2016-01-11,3.785,3.785,3.9,3.875,24,1878700
2016-01-12,3.85,3.82,3.86,3.82,28,1008200
2016-01-13,3.82,3.75,3.82,3.77,57,6452900
2016-01-14,3.765,3.75,3.77,3.75,1776,890400
2016-01-15,3.77,3.74,3.77,3.74,33,1282500
2016-01-18,3.73,3.725,3.75,3.74,16,574600
2016-01-19,3.755,3.73,3.765,3.73,34,446300
2016-01-20,3.725,3.725,3.755,3.735,12,405700
2016-01-21,3.745,3.74,3.76,3.74,26,512700
2016-01-22,3.75,3.74,3.765,3.74,6,250500
2016-01-25,3.75,3.75,3.76,3.75,37,603200
2016-01-26,3.765,3.74,3.765,3.745,40,533100
2016-01-27,3.74,3.72,3.75,3.74,45,13278000
2016-01-28,3.745,3.745,3.755,3.745,979,706500
2016-01-29,3.745,3.745,3.76,3.76,39,431100
2016-02-01,3.755,3.755,3.775,3.77,38,420600
2016-02-02,3.77,3.76,3.77,3.765,27,411400
2016-02-03,3.76,3.76,3.775,3.77,31,467400
2016-02-04,3.76,3.755,3.78,3.765,31,338100
2016-02-05,3.76,3.755,3.77,3.76,16,418100
2016-02-08,3.77,3.75,3.775,3.755,33,337400
2016-02-09,3.765,3.74,3.765,3.74,43,493900
2016-02-10,3.755,3.735,3.755,3.74,33,354700
2016-02-11,3.76,3.735,3.765,3.765,125,2672300
2016-02-12,3.735,3.73,3.775,3.775,214,3552300
2016-02-15,3.755,3.745,3.78,3.78,208,4023200
2016-02-16,3.755,3.73,3.775,3.775,193,3079400
2016-02-17,3.78,3.76,3.78,3.78,134,3824700
2016-02-18,3.795,3.75,3.8,3.8,120,4923000
2016-02-19,3.8,3.765,3.805,3.805,65,2660000
2016-02-20,3.795,3.765,3.8,3.765,7,4500
2016-02-22,3.8,3.8,3.805,3.805,2,200
2016-02-24,3.8,3.745,3.8,3.75,25,1316900
2016-02-25,3.75,3.725,3.78,3.78,63,2224800
2016-02-26,3.785,3.74,3.79,3.785,45,2274700
2016-02-29,3.8,3.5,3.8,3.62,219,26995000
2016-03-01,3.66,3.64,3.745,3.745,411,12535400
2016-03-02,3.75,3.715,3.78,3.78,54,547700
2016-03-03,3.78,3.775,3.795,3.785,48,1323000
2016-03-04,3.78,3.775,3.825,3.805,55,1613400
2016-03-07,3.815,3.78,3.815,3.8,11,15700
2016-03-09,3.805,3.805,3.84,3.84,48,1416400
2016-03-10,3.845,3.825,3.85,3.825,128,1584800
2016-03-11,3.855,3.8,3.855,3.85,68,1150900
2016-03-14,3.81,3.8,3.86,3.86,151,1264500
2016-03-15,3.86,3.855,3.87,3.87,51,1867900
2016-03-16,3.84,3.84,3.865,3.85,44,964900
2016-03-17,3.87,3.845,3.875,3.87,61,1764600
2016-03-18,3.875,3.86,3.875,3.865,50,1700600
2016-03-21,3.86,3.835,3.87,3.87,87,1418600
2016-03-22,3.87,3.795,3.87,3.795,144,3322800
2016-03-23,3.82,3.795,3.85,3.825,131,5094700
2016-03-24,3.825,3.8,3.855,3.81,162,5496100
2016-03-25,3.845,3.78,3.85,3.82,195,7463400
2016-03-28,3.86,3.78,3.86,3.805,189,12392400
2016-03-29,3.825,3.785,3.855,3.855,179,9189800
2016-03-30,3.855,3.815,3.87,3.87,118,13249000
2016-03-31,3.795,3.705,3.88,3.88,296,3369100
2016-04-01,3.88,3.86,3.89,3.865,219,3634400
2016-04-04,3.88,3.835,3.88,3.865,278,1867900
2016-04-05,3.865,3.77,3.865,3.82,289,8590900
2016-04-06,3.835,3.81,3.865,3.84,410,4098100
2016-04-07,3.845,3.845,3.905,3.905,375,5991900
2016-04-08,3.88,3.875,3.905,3.875,173,1554300
2016-04-11,3.895,3.87,3.905,3.87,121,1498800
2016-04-12,3.875,3.87,3.92,3.87,218,570700
2016-04-13,3.87,3.855,3.89,3.87,168,1239700
2016-04-14,3.88,3.86,3.88,3.875,156,2054100
2016-04-15,3.885,3.885,3.925,3.925,385,933700
2016-04-18,3.925,3.855,3.95,3.9,450,789200
2016-04-19,3.9,3.9,3.945,3.915,274,47162200
2016-04-20,3.925,3.885,3.935,3.905,228,975900
2016-04-21,3.905,3.875,3.935,3.91,250,995500
2016-04-22,3.91,3.885,3.92,3.91,180,1117900
2016-04-25,3.925,3.9,3.935,3.92,248,1131800
2016-04-26,3.89,3.88,3.94,3.915,550,2467000
2016-04-27,3.91,3.9,3.93,3.93,224,1002300
2016-04-28,3.925,3.895,3.945,3.905,290,2559600
2016-04-29,3.915,3.9,3.935,3.92,133,926400
2016-05-04,3.915,3.905,3.945,3.925,146,975800
