TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2014-06-09,297,295,305,296.5,8789,1814130
2014-06-10,297.5,291.1,297.5,293.4,5114,963070
2014-06-11,293.2,290,296.7,292.5,4198,816920
2014-06-16,290.1,282.7,290.9,285.4,14199,2377230
2014-06-17,285.4,284.6,291.2,286.5,6219,1404850
2014-06-18,288.3,286.1,293.9,291.9,5962,1498790
2014-06-19,295,291.3,298,294,8333,1929690
2014-06-20,290,285.3,290.3,286.2,5511,1563870
2014-06-23,287,284.1,290,285.1,4405,835640
2014-06-24,285.4,285.4,293.3,291.8,8124,1505130
2014-06-25,289.8,284.3,292.8,284.5,6354,1271190
2014-06-26,285.9,278.3,286.2,280.1,6857,1590760
2014-06-27,280.1,276.8,283,280.6,5682,1078620
2014-06-30,281.2,276.2,282.9,279,4998,852750
2014-07-01,279.7,277.1,279.7,278.7,5821,951730
2014-07-02,279,279,287.3,285.7,6744,1723250
2014-07-03,286.4,285.2,289.3,288.7,5206,1438480
2014-07-04,289,282.7,290.9,283.4,5791,1222690
2014-07-07,283.4,282.9,290.7,289.5,4745,1047450
2014-07-08,290,289.6,295.5,293,8736,2052550
2014-07-09,293,289.1,297.5,291.4,8737,1979230
2014-07-10,293,285.2,294.1,287.8,9976,2038120
2014-07-11,288.8,286,292.1,290.9,7454,1896240
2014-07-14,291.2,289.4,294.6,293.5,5195,1101820
2014-07-15,294.6,291.5,302,298.2,8220,2268850
2014-07-16,298.5,297.6,305,304.5,7725,1947310
2014-07-17,302.1,296.5,304.5,303.9,9318,2094060
2014-07-18,299,296.5,303.2,302,9554,2427550
2014-07-21,304,303,309,303.9,11586,3236280
2014-07-22,305.8,305.1,313.4,311.7,11128,3155140
2014-07-23,311.7,307.1,317,310,9668,2555900
2014-07-24,308.8,306.2,312.3,310.5,5646,1208490
2014-07-25,310,307.2,312.7,310.1,6801,1218340
2014-07-28,307.6,304.6,309.5,307.9,5070,1007900
2014-07-29,308,308,321.5,320,9393,2571130
2014-07-30,317,316.1,333.8,331.3,14075,3445340
2014-07-31,330.3,330.3,346.2,343,14029,3895730
2014-08-01,343.1,337.4,347.9,344.9,10845,2403520
2014-08-04,348.9,339.1,349.6,343.1,6175,1383010
2014-08-05,343.6,331.3,344.8,333.1,7767,2083260
2014-08-06,331.7,326.3,335,328.3,10119,2250870
2014-08-07,326.4,325.5,333.8,330.7,9805,2181600
2014-08-08,330.8,327.2,337,334.1,8830,2238850
2014-08-11,342,333,343.9,337.5,7933,2293590
2014-08-12,337.5,332.6,338.8,334.1,5458,1177810
2014-08-13,334.1,333.3,341.7,338.5,7306,1743830
2014-08-14,340,336.6,345,338.7,7809,1593630
2014-08-15,340,337.5,344.8,340,5339,1119910
2014-08-18,341.2,338.5,344.4,343.1,3888,819530
2014-08-19,343.5,342,354.1,353.9,7058,2129060
2014-08-20,354.2,350.2,362.6,362.6,7308,1752000
2014-08-21,363.8,360.5,370.2,363.1,8300,1994400
2014-08-22,363.1,355.4,364.8,360.5,7126,1408360
2014-08-25,359.3,357.5,363,359.5,2857,605310
2014-08-26,360.4,358.1,365.5,363.8,5247,1151560
2014-08-27,365.5,358.7,367.2,359.4,5861,1235990
2014-08-28,359.3,351.2,359.9,355.6,9455,1942360
2014-08-29,356.6,352.2,359.5,359.5,5256,1022820
2014-09-01,362.2,354.6,364.5,358,7678,1349900
2014-09-02,358,355.3,360,357.1,4060,698830
2014-09-03,357.2,357.2,371.8,371.7,8899,1772540
2014-09-04,371.8,368.3,374.2,370,5485,1003610
2014-09-05,366.8,364.8,373.8,369,6605,1213890
2014-09-08,366.3,365.6,370.9,366,5022,853640
2014-09-09,367.2,365,370.4,366.1,4058,788840
2014-09-10,364.5,360.6,365.9,362.3,6224,1149430
2014-09-11,365.3,361.6,367.6,362.2,6349,1108140
2014-09-12,362.3,360.1,367.9,366.7,5396,805330
2014-09-15,366,363.4,371.7,370.7,7560,1331780
2014-09-16,358.4,358.4,380.6,378.3,5999,1156870
2014-09-17,375.3,373.1,384.2,377.5,6321,1237860
2014-09-18,377.5,376,384.8,382,5062,1087970
2014-09-19,380.1,376.3,386,383.7,7577,1300980
2014-09-22,380.1,378,385.6,378,4989,966320
2014-09-23,379.2,376.4,382.5,380.7,4869,921400
2014-09-24,380.9,379.6,384.8,379.6,4868,831700
2014-09-25,380.1,379.5,383.5,379.9,3698,590660
2014-09-26,379.6,377.3,390.7,390.7,8009,2064040
2014-09-29,390.9,387.9,396.7,394.3,7156,1755700
2014-09-30,397,388.4,397,393.5,7660,1629070
2014-10-01,391.05,391.05,398.95,393,5717,888720
2014-10-02,391.1,389.2,394.9,389.55,7762,1191200
2014-10-03,392.75,380.65,394,380.65,9103,1270660
2014-10-06,382.7,381.1,389.55,386.5,6489,1151090
2014-10-07,388.8,382.5,389.4,384.95,5002,1033900
2014-10-08,383,378.5,384.75,380.4,7263,1249660
2014-10-09,394.2,381,394.2,382.5,5497,689330
2014-10-10,382.5,382.45,400,400,15994,4717910
2014-10-13,400.1,400.1,414.3,411.9,12740,2856730
2014-10-14,412.05,409,416.55,409,7601,1212240
2014-10-15,408.75,406.1,409.6,406.1,5810,1118770
2014-10-16,406.1,404.3,412.95,408.55,9813,1633660
2014-10-17,410.8,408.05,412.45,410.15,5998,921210
2014-10-20,408.1,408.1,417.6,414.3,10416,2717090
2014-10-21,414.75,413.3,430.3,428.9,12096,2553180
2014-10-22,430.9,421,433.9,421,10250,1683390
2014-10-23,420.5,418,424.55,422,8512,1515210
2014-10-24,419.9,419.9,424,424,3912,554850
2014-10-27,426,425.3,431.9,429.25,7339,1269700
2014-10-28,429.25,427.45,435,434.85,7939,1409600
2014-10-29,436,433.2,444.45,443,9549,1494720
2014-10-30,441.05,441,449.45,445.3,12987,2110660
