TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2025-02-07,,,,,0,0
2025-02-10,,,,,0,0
2025-02-11,,,,,0,0
2025-02-12,,,,,0,0
2025-02-13,,,,,0,0
2025-02-14,,,,,0,0
2025-02-17,,,,,0,0
2025-02-18,,,,,0,0
2025-02-19,,,,,0,0
2025-02-20,,,,,0,0
2025-02-21,,,,,0,0
2025-02-24,,,,,0,0
2025-02-25,,,,,0,0
2025-02-26,,,,,0,0
2025-02-27,,,,,0,0
2025-02-28,,,,,0,0
2025-03-03,,,,,0,0
2025-03-04,,,,,0,0
2025-03-05,,,,,0,0
2025-03-06,,,,,0,0
2025-03-07,,,,,0,0
2025-03-10,,,,,0,0
2025-03-11,,,,,0,0
2025-03-12,,,,,0,0
2025-03-13,,,,,0,0
2025-03-14,,,,,0,0
2025-03-17,,,,,0,0
2025-03-18,,,,,0,0
2025-03-19,,,,,0,0
2025-03-20,,,,,0,0
2025-03-21,,,,,0,0
2025-03-24,,,,,0,0
2025-03-25,,,,,0,0
2025-03-26,,,,,0,0
2025-03-27,,,,,0,0
2025-03-28,,,,,0,0
2025-03-31,,,,,0,0
2025-04-01,,,,,0,0
2025-04-02,,,,,0,0
2025-04-03,685.4,575,712.8,580,64494,2264459
2025-04-04,580,545,589,555.8,24291,597986
2025-04-07,500.4,484.4,531.2,505,30735,893316
2025-04-08,519,510,526,510,16205,275998
2025-04-09,509,477.4,510,490,7928,347955
2025-04-10,520,506,527.2,516,8143,299905
2025-04-11,529.6,521,543,537.2,5617,146385
2025-04-14,540,525.4,558,549.6,6159,120971
2025-04-15,549.8,540.2,555.6,547.4,2735,36353
2025-04-16,547,540,562,557.2,5727,92868
2025-04-17,557.8,550,570,558.8,5317,114288
2025-04-18,560,504.8,560,529.6,22798,519194
2025-04-21,534,525,544.8,530.4,4126,90700
2025-04-22,535.2,527,539.4,533,3542,68773
2025-04-23,530.4,520.2,532.4,527.4,2745,50016
2025-04-24,530,529,540,531,3245,69648
2025-04-25,534,530.2,537,532.8,2092,52889
2025-04-28,532.8,529.2,558,551,4124,118182
2025-04-29,551,539.2,589.4,549.2,6455,236259
2025-04-30,543,534.8,553,539.2,15161,118518
2025-05-02,534.6,526.4,543.6,537,1779,47392
2025-05-05,536.8,526.2,536.8,529,2358,47806
2025-05-06,531.2,531.2,548.4,544.4,3333,101203
2025-05-07,542,535.4,544.8,537.6,1539,35110
2025-05-08,538.6,537,545,538.6,854,26886
2025-05-12,546,539.6,553.6,543.2,3390,89885
2025-05-13,543,520.2,543,530,3215,68427
2025-05-14,531.2,529.2,541,532.6,2343,68904
2025-05-15,530,524.6,552,541,5268,231246
2025-05-16,541,535.2,545,542.6,1862,55269
2025-05-19,545.2,545.2,566.8,556,6910,234172
2025-05-20,559,537.2,564.4,550.8,6610,228606
2025-05-21,555.2,500,555.8,522.6,12763,664619
2025-05-22,517.4,510.6,525,520,3286,124225
2025-05-23,515,507.6,517.8,509.8,4535,79976
2025-05-26,507,500,514,503.6,5020,89315
2025-05-27,505,504.8,521.8,518,4778,128612
2025-05-28,518.2,513.2,529,524,4727,106274
2025-05-29,524.2,524,541.8,539.4,18975,360326
2025-05-30,536,533.8,555.4,544.2,12765,118479
2025-06-02,537,524.6,551,534.8,3029,53192
2025-06-03,541,532,550,538,1960,50443
2025-06-04,540.2,532,561,539,4737,121601
2025-06-05,542.4,541.8,559,558,1894,42431
2025-06-06,557,542.2,565.2,542.8,5842,152131
2025-06-09,542.4,525.2,547,533.8,7725,76562
2025-06-10,525.8,525,539.8,527.8,10310,76248
2025-06-11,527.8,521.4,533,528.2,9397,102427
2025-06-13,528.2,525,530.8,526.6,1532,12026
2025-06-16,526.8,523.8,544.8,539,7066,94156
2025-06-17,539,530.8,551,543,4906,77565
2025-06-18,543.6,537,546,540.6,1810,22148
2025-06-19,540.6,538,564,553.6,5638,124278
2025-06-20,557.4,534,569,536.6,6460,153797
2025-06-23,536.6,530,559.2,547.2,5250,113279
2025-06-24,547.8,540.6,553.2,551.8,4786,47306
2025-06-25,552,538.6,556,545.6,3387,60019
2025-06-26,548,543.2,566.8,554.8,4386,72185
2025-06-27,554.8,550,560,553.6,2074,49854
2025-06-30,552.4,552.4,568.8,568.8,6434,89817
2025-07-01,569.2,558.4,575,560.8,8314,159682
2025-07-02,561.8,547.4,564,550.8,5124,60800
2025-07-03,550,550,578,574,19225,255644
2025-07-04,574.2,560.2,585,565.4,9161,73870
2025-07-07,566,559.8,577.8,562.4,11495,86118
2025-07-08,562.4,543.8,573.2,564.2,8897,138547
2025-07-09,563,551.2,588,569.6,7030,147117
2025-07-10,572,562,585.2,568.6,8825,128914
2025-07-11,568,553.8,573.8,559.4,5984,89180
2025-07-14,559.2,545,568.6,563.6,5716,105003
2025-07-15,565,546.2,568.6,560,6690,163166
2025-07-16,559,558,567.8,566.4,4782,70765
2025-07-17,567.4,556.8,573.6,558.2,8115,111293
2025-07-18,561.6,558.2,568.4,566.8,8713,104322
2025-07-21,566.8,561.8,575.6,570.2,11612,128604
2025-07-22,570,568.4,587.8,582.4,10410,263670
2025-07-23,581.6,581.6,612.2,598.6,13713,435984
2025-07-24,599,575.4,608,584,8777,252144
2025-07-25,588.4,571,600,582,13235,308261
2025-07-28,586,565,594.2,568.8,10833,232481
2025-07-29,570.6,567,583.2,578.2,4195,111283
2025-07-30,579,554,584.2,557,4248,76600
2025-07-31,560.8,560.8,578,575.6,6024,107065
2025-08-01,575,565,587.6,573.4,3721,56014
2025-08-04,573.4,570,578,574,3545,60549
2025-08-05,574,573.4,590,583.4,4473,83415
2025-08-06,584,576.6,594,592.6,7747,130941
2025-08-07,592.2,580.4,598,590.6,9864,353134
2025-08-08,587.2,586.4,594,590.4,4247,88213
2025-08-11,593.8,582.6,605,596,8198,264333
2025-08-12,598,588.2,598,590.8,3155,77920
2025-08-13,592,583,593,583.4,3371,60455
2025-08-14,581.2,561.6,590.4,587.6,6926,142865
2025-08-15,590.4,585.8,598.4,591,3971,97594
2025-08-18,590.6,576.4,607.6,606.2,9480,301915
2025-08-19,604.8,601,623,617.8,11203,375198
2025-08-20,618,616.6,669.6,661.8,40268,2083466
2025-08-21,660.8,641.4,661.6,642,12662,659917
2025-08-22,645.6,642.2,660,656.2,6180,287944
2025-08-25,656.4,636.8,662.2,637.6,7806,210557
2025-08-26,641.6,623,647.4,630.6,6364,153599
2025-08-27,630.8,621.8,644.6,627.2,6897,200573
2025-08-28,629,605,634,611.8,9162,278472
2025-08-29,612,603,615.8,605.8,4412,114951
2025-09-01,609,601,615,607.8,6573,174223
2025-09-02,610,590,614,594.6,7219,159787
2025-09-03,595.2,595,621.6,619,8119,173004
2025-09-04,617,610.2,620,610.8,4790,124628
2025-09-05,613.4,610.2,627.4,623.6,5016,138623
2025-09-08,623,615.6,632.6,623.2,5924,140240
2025-09-09,625.4,625.2,637.8,630.8,4548,101679
2025-09-10,632.6,616,635.4,625,4552,96199
2025-09-11,628.6,620,648,645.8,7028,238703
2025-09-12,644,634.8,659.6,649.6,9792,316506
2025-09-15,652,645.6,663.2,657.2,9416,277293
2025-09-16,657.6,645.2,666.8,650,6989,212928
2025-09-17,653.4,631.8,657.2,635,6716,165271
2025-09-18,637.8,635,665.6,653.8,13975,317411
2025-09-19,657,645.8,663,658,7356,143606
2025-09-22,658,620.2,660,635.6,11073,222445
2025-09-23,635.8,634.2,650.8,635,7072,169083
2025-09-24,638.6,634,653,649.6,6397,133078
2025-09-25,647.4,646.2,668,663.8,9207,226062
2025-09-26,663,650.4,680.8,678.6,8619,198167
2025-09-29,678,671.8,691,680,12879,278826
2025-09-30,680.4,666.6,684.2,672.6,7599,183095
2025-10-01,677,656.4,681.8,666.8,7476,186123
2025-10-02,668,651,673.8,660,7895,207000
2025-10-03,658,642.8,670,652.4,5539,101178
2025-10-06,649,642.2,667,654.8,10821,327913
2025-10-07,657,636.6,657,644.6,6065,111269
2025-10-08,644.6,605,650.6,615.2,10731,341047
2025-10-09,615.2,582.2,620.8,608.8,11221,438289
2025-10-10,608.8,584.4,624.4,585.6,9541,330346
2025-10-13,587.2,575.2,604.2,591.2,10638,255991
2025-10-14,591.2,581.8,593.2,583.8,3854,98475
2025-10-15,583.8,575,598.8,589,4951,150841
2025-10-16,593.4,568,607.8,604,38371,1239302
2025-10-17,606,581,610.6,594,20562,437655
2025-10-20,596,596,637.2,634.6,20367,726315
2025-10-21,634.6,610,636.6,622.4,19897,649273
2025-10-22,623,616.4,643,626,17186,572338
2025-10-23,617,611.8,632.2,629.6,9587,267724
2025-10-24,631.4,625.2,651.4,646.6,9673,257939
2025-10-27,647.4,583,651.4,606.8,21427,795018
2025-10-28,606.8,588,643.8,614.6,48742,1729448
2025-10-29,617,608,624,616,16460,399504
2025-10-30,616,612.8,619.2,618.6,7574,211210
2025-10-31,619,610,620,616.8,7551,144420
2025-11-01,617,610.2,618.6,613,7026,126107
2025-11-03,617,616.2,628.8,624,6030,164936
2025-11-05,628.2,627,641.4,637.8,13386,418436
2025-11-06,638.4,637.8,659.8,659.4,16083,373663
2025-11-07,659,655.4,669.8,666,9300,251593
