TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2025-11-20,1764,1745.1,1780,1749.8,33469,2314595
2025-11-21,1750.4,1715,1753.3,1723.1,25688,758838
2025-11-24,1724,1720.2,1740,1725,11006,286482
2025-11-25,1725,1708.2,1736.9,1713.2,11942,249871
2025-11-26,1713,1696,1713,1698.8,6241,226655
2025-11-27,1704.8,1696.4,1715,1699.9,17744,199681
2025-11-28,1700.1,1700.1,1737,1734,5701,190161
2025-12-01,1734,1722,1739,1735,3292,82877
2025-12-02,1734.6,1719,1735,1725.5,2733,101712
2025-12-03,1725,1715.1,1733,1727,2740,89480
2025-12-04,1735,1725,1735,1731,2176,73815
2025-12-05,1730,1727.8,1752,1750,54249,261256
2025-12-08,1751,1735,1753.6,1748,2727,65841
2025-12-09,1745,1738.1,1748.9,1740,1803,43416
2025-12-10,1740,1737.4,1748.5,1738.6,1890,68652
2025-12-11,1741.2,1737.9,1749.5,1742,3722,136062
2025-12-12,1745,1735,1750,1742.5,5844,168914
2025-12-15,1742.6,1735,1750,1750,3125,159159
2025-12-16,1750,1746.2,1780,1777.6,7801,308525
2025-12-17,1778,1756.4,1798,1773.1,8778,201116
2025-12-18,1775,1765.2,1794.7,1787.9,10403,363825
2025-12-19,1787.9,1774.5,1815,1808.9,40328,306559
2025-12-22,1804,1788.6,1818.9,1799.4,11816,208247
2025-12-23,1800.7,1770,1805,1793.1,8121,235713
2025-12-24,1793.1,1781.4,1798,1790,15270,157125
2025-12-25,1792,1787.6,1799.1,1798,6067,139614
2025-12-26,1799.2,1797.1,1820,1813.8,6294,166590
2025-12-29,1815,1803,1826,1814.2,18565,317765
