TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2020-02-18,,,,,0,0
2020-02-19,,,,,0,0
2020-02-20,755.1,755.1,1000,814,441,5552
2020-02-21,849.9,799,873.8,800,668,5769
2020-02-25,799.9,760,799.9,763.2,520,2812
2020-02-26,765.1,731.3,765.1,755,261,5149
2020-02-27,740.5,736.3,758.9,736.3,154,1967
2020-02-28,725,693.1,743.9,721,206,4766
2020-03-02,739.6,716.2,739.7,731,165,4377
2020-03-03,779,722.3,779,739.7,199,2004
2020-03-04,740,723.7,745,736,95,799
2020-03-05,731.2,719,747.9,720.3,185,1597
2020-03-06,724,655.8,724,679.9,287,5244
2020-03-10,607.6,590.5,668,636,316,6515
2020-03-11,640,620,669,641.4,191,1074
2020-03-12,610.1,525,640,582,292,9107
2020-03-13,570,518.3,629,589.9,258,4936
2020-03-16,580,531.4,589.9,566.6,191,3107
2020-03-17,565,541,593.9,566.3,193,4909
2020-03-18,535.2,529.9,584.6,540.8,270,7489
2020-03-19,549.8,526.1,550,542.3,249,2722
2020-03-20,544.9,544.9,579.9,564.6,290,18319
2020-03-23,590,527.1,590,560.2,242,10228
2020-03-24,578.9,557.6,582,580,294,14447
2020-03-25,589,538,668.9,590,822,43429
2020-03-26,620,560,620,581.7,325,8881
2020-03-27,571,560,577,561.7,187,14788
2020-03-30,564,548.6,564,553,156,18208
2020-03-31,556,545.6,556,552.2,229,25988
2020-04-01,550,548,552.1,551.9,94,33513
2020-04-02,557,530,557,550.5,184,26439
2020-04-03,549.1,545.9,551.5,548,261,62079
2020-04-06,548.2,548.2,553.1,550.7,235,41318
2020-04-07,551.9,551,558.9,555.7,417,55287
2020-04-08,559.9,553.5,569.9,568.8,427,39116
2020-04-09,569.8,554.5,569.8,559.7,457,43993
2020-04-10,564.8,551,565,553.8,217,17097
2020-04-13,554,549,554,549.5,377,46972
2020-04-14,552.8,549,562.7,557,337,24969
2020-04-15,557,545,561.9,561,430,80063
2020-04-16,558.6,556.3,572.6,572.1,317,36359
2020-04-17,573,559.4,573,572,213,33685
2020-04-20,569.8,565.1,571.2,568.9,72,6109
2020-04-21,565.2,552,565.3,553.9,213,14806
2020-04-22,556,554.1,579.2,577,252,21777
2020-04-23,578,576.8,599,597.4,395,39003
2020-04-24,596.7,596.7,629.7,618.8,364,46545
2020-04-27,624.9,615.9,679,660,776,49044
2020-04-28,664.9,635.2,670.2,636,449,11460
2020-04-29,635.1,621.2,645,628.5,232,11366
2020-04-30,626.6,620,638,620,350,18188
2020-05-04,644.5,625,669.5,655,619,48823
2020-05-05,664.5,648,664.5,648,113,6689
2020-05-06,650.5,643.5,650.5,644,85,2150
2020-05-07,643,630,644.5,637,146,10882
2020-05-08,630.5,630,637,630,69,2501
2020-05-12,631,620.5,632,620.5,111,3813
2020-05-13,620,608,622.5,615,167,23331
2020-05-14,610.5,604.5,616.5,607,145,14182
2020-05-15,608,598,608.5,604.5,112,14266
2020-05-18,600.5,600.5,610,605,130,9304
2020-05-19,613,597.5,613,600,156,7363
2020-05-20,615,597.5,620,605,401,31064
2020-05-21,609.5,599,609.5,601,157,5091
2020-05-22,598,587,600.5,594,322,53714
2020-05-25,604.5,595.5,619,616,409,39723
2020-05-26,617,612,623,612,423,39333
2020-05-27,610.5,607.5,613.5,612.5,349,116099
2020-05-28,614,612.5,621,620,156,22436
2020-05-29,619.5,615,621,618,327,48116
2020-06-01,615,613.5,622,622,296,27574
2020-06-02,622,621.5,630,626.5,209,19019
2020-06-03,625,621,629,622.5,239,14042
2020-06-04,620.5,580,621.5,593,1850,125388
2020-06-05,599.5,599.5,611,609,232,8688
2020-06-08,611,609.5,616.5,611,172,7047
2020-06-09,610,599,620,618,359,39166
2020-06-10,619.5,613,621,621,136,21047
2020-06-11,615.5,598,615.5,603,280,14335
2020-06-15,604.5,588.5,609.5,598.5,230,11269
2020-06-16,604.5,603,608,605.5,109,8936
2020-06-17,605,604.5,609.5,604.5,83,2902
2020-06-18,604,599,605,604.5,93,3761
2020-06-19,609.5,603,609.5,605,63,5468
2020-06-22,602,596.5,604,598,214,23775
2020-06-23,599.5,591.5,601,599.5,248,9247
2020-06-25,595.5,581,596.5,585,425,25572
2020-06-26,589,586.5,598,592,245,34399
2020-06-29,591,585,596.5,595,256,17473
2020-06-30,597.5,579.5,597.5,585.5,396,91537
2020-07-02,589.5,588,593.5,590,248,4040
2020-07-03,591.5,590.5,593.5,592,161,3571
2020-07-06,594.5,587,604,587.5,431,12307
2020-07-07,588,583,594.5,588.5,303,15968
2020-07-08,586.5,585,590,587.5,235,5755
2020-07-09,587.5,581.5,594,583.5,249,5535
2020-07-10,586,582.5,586.5,585.5,168,4912
2020-07-13,589,578.5,590.5,580.5,354,8669
2020-07-14,578,578,591,590.5,352,26111
2020-07-15,594.5,585.5,596,587.5,275,9792
2020-07-16,586.5,584.5,590,590,246,2044
2020-07-17,592,588,599.5,597.5,266,13463
2020-07-20,601,590.5,604,591.5,469,34505
2020-07-21,591.5,590.5,598.5,592.5,381,46044
2020-07-22,594.5,594.5,633,632,1801,95441
2020-07-23,632,632,665,662.5,1964,92298
2020-07-24,660.5,641,690,686,1341,53485
2020-07-27,686,660.5,746.5,731.5,2482,67673
2020-07-28,744,680,749.5,747.5,1827,94764
2020-07-29,754.5,733,755,744,825,67566
2020-07-30,760,733.5,760,751,649,72664
2020-07-31,758.5,748.5,762.5,751.5,546,73313
2020-08-03,753.5,735,758.5,735,481,19767
2020-08-04,733.5,703.5,733.5,704.5,753,32846
2020-08-05,709.5,702,724,706,661,36619
2020-08-06,705,685,708.5,687.5,633,27269
2020-08-07,683.5,683.5,693.5,693,478,9908
2020-08-10,693.5,684,700.5,685.5,485,15035
2020-08-11,689.5,685,690.5,688.5,405,13649
2020-08-12,685.5,675.5,691.5,679,577,18637
2020-08-13,676.5,666.5,681,670,858,20849
2020-08-14,674.5,666,676.5,670,376,7179
2020-08-17,674,668.5,678,668.5,639,17417
2020-08-18,674.5,661,676.5,662,513,15306
2020-08-19,663,660,671.5,670,416,12894
2020-08-20,667,665.5,672,666,361,12809
2020-08-21,665.5,665.5,682,672,641,22917
2020-08-24,678,665.5,708.5,700,1261,65862
2020-08-25,707,697,724.5,702.5,862,29500
2020-08-26,700,688.5,704.5,694.5,601,17388
2020-08-27,699.5,678.5,699.5,684.5,712,18555
2020-08-28,689.5,672.5,699.5,687.5,521,15180
2020-08-31,686,686,698.5,691,339,6789
2020-09-01,691,682,692.5,685,536,18498
2020-09-02,682.5,669,688,670,604,24320
2020-09-03,679,665,681.5,667.5,412,28591
2020-09-04,665.5,657,666.5,659,460,23522
2020-09-07,656,655.5,674.5,662,360,9379
2020-09-08,664,648,664,650.5,441,9145
2020-09-09,646.5,642.5,650,644,346,8112
2020-09-10,662.5,637,662.5,642,421,12654
2020-09-11,646.5,637.5,647,645,344,7576
2020-09-14,647,639,657,650.5,582,24432
2020-09-15,654.5,652,677,671,666,42253
2020-09-16,670,665,674.5,668,358,9825
2020-09-17,665,660,674.5,669.5,306,8737
2020-09-18,674.5,653.5,674.5,661,409,21142
2020-09-21,659,649.5,660.5,651,434,14811
2020-09-22,650.5,650,689,687,898,64862
2020-09-23,688.5,671,692.5,690,589,28339
2020-09-24,684,684,700,697.5,579,36511
2020-09-25,691.5,690.5,701,697.5,569,79721
2020-09-28,697,695.5,706.5,704.5,600,203671
2020-09-29,701.5,700,707,701,387,19882
2020-09-30,704,699,882.5,707,1294,76003
2020-10-01,708.5,701,710.5,702.5,359,14043
2020-10-02,701,697,708.5,705.5,348,26750
