TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2020-10-07,105,91.56,105,100.5,134717,107924250
2020-10-08,100.5,98.3,101,100.5,31771,11659760
2020-10-09,100.5,100.13,103.29,103,36268,31768490
2020-10-12,103.48,103.01,104.5,103.55,19209,12910790
2020-10-13,103.88,102.12,103.92,103.2,13737,5578480
2020-10-14,103.39,102.5,103.39,103,6915,1722660
2020-10-15,103,100.06,103,100.26,12314,4051740
2020-10-16,100.88,100.06,101.93,100.47,9841,1968440
2020-10-19,100.65,100.27,101.25,100.4,4765,711900
2020-10-20,100.4,100,100.54,100.07,6093,2069910
2020-10-21,100.14,98.4,100.48,98.59,13056,2769680
2020-10-22,98.5,95.5,98.5,96.5,19110,4005500
2020-10-23,96.5,95.6,96.71,96.31,10019,1920230
2020-10-26,96.16,95.51,99.57,99.1,11744,2361110
2020-10-27,99.1,97.95,99.53,98.6,8798,2017230
2020-10-28,96.7,95.5,98.59,97.3,6965,2414320
2020-10-29,97.3,97,98.4,97.89,4039,662250
2020-10-30,98.1,97,98.2,98.09,2512,434390
2020-11-02,98.15,97,98.35,97.96,3400,698010
2020-11-03,98.14,97.25,98.34,97.31,3873,724480
2020-11-05,97.6,97.5,98.43,97.55,4982,954780
2020-11-06,97.8,96.56,97.8,97.03,4094,803300
2020-11-09,97.07,96.65,97.86,96.65,9324,1474070
2020-11-10,96.97,96.5,97,96.8,5886,1007000
2020-11-11,97,96.56,97.72,96.67,5382,847030
2020-11-12,97.05,96.52,97.48,96.57,5306,911950
2020-11-13,96.52,96.51,96.9,96.59,5634,1004620
2020-11-16,96.89,96.66,98.47,97.7,7185,2159810
2020-11-17,98.01,97.7,100.87,97.77,25704,7456310
2020-11-18,97.77,95.9,99.29,95.98,20033,5666060
2020-11-19,96.2,96,97,96.9,6422,1210850
2020-11-20,97,96.68,99,97.51,7008,1333230
2020-11-23,97.55,97.3,98.27,97.52,4812,662600
2020-11-24,97.52,97.11,97.89,97.31,4762,712780
2020-11-25,97.3,97.01,97.73,97.45,4124,908280
2020-11-26,97.45,97.01,97.69,97.41,5155,826740
2020-11-27,97.41,97.01,97.71,97.19,4739,512520
2020-11-30,97.47,96.27,97.47,96.29,6414,1170450
2020-12-01,96.5,96.41,97.17,96.9,5146,1009380
2020-12-02,96.9,96.57,97,96.75,4072,1264290
2020-12-03,97,96.75,97.06,96.95,3227,1050410
2020-12-04,97,96.76,97.43,96.98,2975,754020
2020-12-07,97.2,96.1,97.2,96.16,7234,1553230
2020-12-08,96.2,96.01,96.79,96.11,4910,1063620
2020-12-09,96.68,96.05,96.68,96.1,5055,1072180
2020-12-10,96.1,95.77,96.24,95.89,6229,1122130
2020-12-11,95.71,95.69,96.04,95.76,5520,912870
2020-12-14,95.8,95.02,96.1,95.02,7872,1598660
2020-12-15,95.55,94.5,95.72,94.85,7004,1494110
2020-12-16,95,94.31,95.02,94.48,5816,986780
2020-12-17,94.7,93.26,94.93,93.69,9789,1788680
2020-12-18,94,92.98,94,93.45,6673,1820280
2020-12-21,93.6,92.55,93.69,92.57,6926,1361160
2020-12-22,92.57,92.05,93.02,92.7,8333,1975480
2020-12-23,93,91.6,93.18,92,9915,3347940
2020-12-24,92.08,90.16,92.38,90.9,11335,3058570
2020-12-25,90.53,90,92.87,92,8267,2889090
2020-12-28,92.5,90.45,92.63,90.61,11049,4751650
2020-12-29,90.95,90.51,91.18,90.54,9055,2015250
2020-12-30,90.51,90.09,91.37,90.58,9453,2719270
2021-01-04,90.7,90.7,92.65,92.1,7007,1343420
2021-01-05,92.1,91.81,93.58,93.58,12560,2181120
2021-01-06,93.9,93.13,94.5,93.3,14977,2793320
2021-01-08,93.58,93.5,94.85,93.5,17576,3100240
2021-01-11,93.5,93.16,94.33,93.59,12333,2063830
2021-01-12,93.6,92,94.2,92.27,8576,1592430
2021-01-13,92.46,92.3,93.33,92.6,13074,2677400
2021-01-14,92.99,92.41,92.99,92.49,4849,666870
2021-01-15,92.6,88.56,92.79,91.35,12376,2268600
2021-01-18,91.49,91.4,92,92,3545,498290
2021-01-19,92.45,91.41,92.68,91.42,4963,855960
2021-01-20,92.18,91.5,92.39,91.62,4968,991490
2021-01-21,92.48,91.02,92.48,91.42,6457,1216730
2021-01-22,91.84,90.32,91.94,91.04,10104,2241980
2021-01-25,91,90.8,91.77,90.84,5644,1120160
2021-01-26,90.9,90.7,91.31,90.89,6361,854610
2021-01-27,91.23,90.57,91.24,90.69,5922,946520
2021-01-28,90.9,90.62,91.7,91.4,5400,1216890
2021-01-29,91.39,91.02,92,91.52,5960,1181390
2021-02-01,91.52,91.28,92,91.5,3859,920750
2021-02-02,91.5,91.4,91.97,91.49,3716,672770
2021-02-03,91.4,90.72,91.98,91.1,4034,615570
2021-02-04,91.25,90.82,91.25,90.92,4085,732380
2021-02-05,91.25,90.65,91.25,90.65,6061,849920
2021-02-08,90.9,90.81,91.1,91,4750,770780
2021-02-09,91.2,90.71,91.22,90.93,5360,944860
2021-02-10,90.96,90.08,91.23,90.08,15733,2277010
2021-02-11,90.5,89.9,90.55,90.05,11033,1835490
2021-02-12,90.1,89.5,90.22,89.81,7110,773000
2021-02-15,90.1,89.5,90.48,90.02,4584,723480
2021-02-16,90.05,90.01,90.37,90.14,3974,567630
2021-02-17,90.27,89.79,90.27,89.85,4617,744320
2021-02-18,89.85,89,90,89.08,8777,1179160
2021-02-19,89.5,89.1,93.78,91.39,26777,11234900
2021-02-20,91.36,90.68,92.84,92.06,9076,2531370
2021-02-22,92.59,89.6,92.83,89.65,10984,2615700
2021-02-24,90,89.8,91.2,90.16,6902,1122770
2021-02-25,90.97,90.4,91.6,90.52,5173,1185860
2021-02-26,90.42,89.81,90.77,90.2,6173,947380
2021-03-01,90.99,90.61,91.63,90.92,6455,1368650
2021-03-02,90.8,90.8,93.3,93.2,9544,3295930
2021-03-03,93.35,91.47,93.35,91.6,6439,1195670
2021-03-04,91.6,90.23,92.03,90.65,5249,1129310
2021-03-05,90.5,90,90.65,90.16,5075,1293970
2021-03-09,90.3,90.3,91.5,90.41,5464,879940
2021-03-10,90.8,90.33,90.97,90.64,4722,709990
2021-03-11,90.94,90.51,91.14,90.69,4463,1218910
2021-03-12,90.71,90.59,91.31,90.7,4400,1114040
2021-03-15,92.2,91,93.5,91.12,16048,4302390
2021-03-16,91.57,91.12,91.79,91.3,7106,1370490
2021-03-17,91.22,90.7,91.98,90.85,6820,1602920
2021-03-18,91.4,90.5,91.44,90.96,4720,1023110
2021-03-19,92.01,90.7,92.5,90.7,9712,3131030
2021-03-22,91.18,90.2,91.22,90.3,7644,1595270
2021-03-23,90.15,89.9,90.49,90,8783,1680190
2021-03-24,90,89.13,90.29,89.15,10576,1834110
2021-03-25,89.8,89.14,90.03,89.93,8509,2623180
2021-03-26,90.18,89.6,90.49,89.97,5353,1167420
2021-03-29,90.21,89.86,90.39,89.99,5134,934240
2021-03-30,90.41,89.97,90.46,90.39,4188,763120
2021-03-31,90.4,89.94,90.58,90.3,5152,836100
2021-04-01,90.4,89.18,90.87,89.29,14370,3246030
2021-04-02,89.75,89.25,89.93,89.56,8203,1301840
2021-04-05,89.83,89.4,89.92,89.8,6799,1108580
2021-04-06,89.86,89.08,89.91,89.24,9570,1628430
2021-04-07,89.4,89.05,89.43,89.15,4017,528100
2021-04-08,89.45,89.25,89.75,89.41,4117,816550
2021-04-09,89.6,89.41,89.78,89.6,4123,981120
2021-04-12,89.8,89.71,90.48,90.48,4702,1569850
2021-04-13,90.5,89.6,90.59,89.91,4962,1441400
2021-04-14,90.45,90.2,90.62,90.51,6411,1661250
2021-04-15,90.46,90.02,92.4,91.2,12387,4056810
2021-04-16,91.64,90.35,92,90.49,7717,1961110
2021-04-19,90.99,89.8,90.99,89.9,6534,1865840
2021-04-20,90.3,89.21,90.3,89.21,10127,1960260
2021-04-21,89.68,89.1,89.68,89.34,14947,1599860
2021-04-22,89.6,89.21,89.65,89.5,7071,1609050
2021-04-23,89.65,89.3,89.68,89.48,3245,562630
2021-04-26,89.52,89.5,89.93,89.51,4859,1325640
2021-04-27,89.8,89.22,89.83,89.28,4519,874660
2021-04-28,89.3,89.13,89.52,89.17,4742,870320
2021-04-29,89.49,89,89.5,89.02,7354,1506570
2021-04-30,89.02,88.73,89.14,88.84,6745,1041310
2021-05-04,89.25,88.52,89.26,88.63,5973,1820940
2021-05-05,88.95,88.01,89,88.99,3884,1053190
2021-05-06,89,88.7,89.05,88.75,3324,813440
2021-05-07,89.04,88.6,89.2,88.99,2977,1110210
2021-05-10,89.05,88.87,89.48,88.94,3452,856320
2021-05-11,88.92,88.9,89.9,89.8,7326,3856920
2021-05-12,90.01,88.88,90.32,89.5,9166,3470570
2021-05-13,89.6,88.98,89.6,89.45,3254,857300
2021-05-14,89.67,89.13,90,89.87,4795,2463540
2021-05-17,89.9,89.5,90.25,89.97,3997,1905310
2021-05-18,90.18,89.71,90.34,90.34,4578,1614390
2021-05-19,90.02,88.89,90.33,89.34,8682,2655430
2021-05-20,89.36,89.03,89.44,89.26,4419,900820
2021-05-21,89.38,89.19,90.89,90.8,5957,1905260
2021-05-24,90.96,90.33,91.5,90.7,5185,1645780
2021-05-25,90.99,90.27,91.12,90.86,4956,1410730
2021-05-26,90.86,90.51,91.46,91.4,5715,2012630
2021-05-27,91.9,91.05,94.09,94.09,5302,8186090
2021-05-28,93,91.81,93,92.19,6102,2499090
2021-05-31,91.82,91.63,94.84,93.9,10540,3922270
2021-06-01,94.01,93.51,94.7,94.32,7493,3051070
2021-06-02,94.41,94.1,94.7,94.7,4868,1764760
2021-06-03,94.9,94.32,95,94.67,4922,1467620
2021-06-04,94.67,94.47,94.97,94.76,3485,905530
2021-06-07,94,94,94.93,94.35,3912,884760
2021-06-08,94.35,93.4,94.45,93.72,5049,946990
2021-06-09,94,93.16,94.2,93.56,3840,1272510
2021-06-10,94.1,93.56,94.19,94.12,3188,941990
2021-06-11,94.01,93.99,94.74,94.5,3359,1023240
2021-06-14,94.97,94.62,95,94.98,3171,913410
2021-06-15,95,94.3,95.15,94.74,4420,1398870
2021-06-16,94.74,94.5,95.4,95.02,5274,1499510
2021-06-17,94.5,94.32,96.53,95.5,8174,2964360
2021-06-18,96.45,93.42,97.1,93.42,7288,10832410
2021-06-21,95,93.7,96.17,93.92,7351,2159640
2021-06-22,94.5,93.82,94.99,93.96,4254,708390
2021-06-23,94.3,93.83,94.69,93.98,3366,849470
2021-06-24,94.04,93.19,94.39,93.64,3779,1156850
2021-06-25,93.69,93.5,94.19,93.79,2873,732760
2021-06-28,93.81,93.05,94.22,93.3,4372,1298330
2021-06-29,93.5,92,93.73,92.19,6507,2536240
2021-06-30,92.65,92.02,93.7,92.99,4918,1674050
2021-07-01,93,92.77,94.99,93.01,8266,3079500
2021-07-02,88.09,88.06,89.96,89,20565,5995090
2021-07-05,89.25,89.04,89.9,89.42,5076,889680
2021-07-06,89.45,88.8,89.6,88.99,4855,917720
2021-07-07,89.1,88.5,89.39,88.52,5792,1168790
2021-07-08,88.56,88.51,89.07,88.79,3118,812980
2021-07-09,88.9,88.76,89.46,89.14,3096,704700
2021-07-12,89.28,89,89.49,89.32,2704,385270
2021-07-13,89.32,88.55,89.42,89.1,2966,633850
2021-07-14,89.39,88.7,89.4,89.1,2532,742870
2021-07-15,88.31,88.15,89.5,88.68,3315,483540
2021-07-16,88.68,88.15,89.09,88.72,3431,987260
2021-07-19,88.9,87.3,88.95,87.88,7385,2045260
2021-07-20,88.05,87.5,88.4,87.58,4415,411530
2021-07-21,87.7,87.5,88.32,87.82,2873,332800
2021-07-22,88.3,87.52,88.5,87.7,3372,364840
2021-07-23,87.7,87.5,87.99,87.58,3130,233180
2021-07-26,87.4,87.1,87.65,87.1,3630,345970
2021-07-27,87.03,87.03,87.62,87.2,2435,608980
2021-07-28,87.2,86.2,87.48,86.48,6882,1624190
2021-07-29,86.77,86,86.77,86.5,5988,878510
2021-07-30,86.32,86.25,87.49,87.13,3511,648910
2021-08-02,87.31,85.58,87.51,87.06,4043,574830
2021-08-03,86.96,86.8,88.09,87.4,4808,437780
2021-08-04,87.72,87.3,89,88.9,6074,1345070
2021-08-05,88.82,88.13,89.12,88.99,2787,484250
2021-08-06,88.93,87.5,89.15,87.7,2818,316210
2021-08-09,87.73,87.22,88.7,88.22,2698,444370
2021-08-10,87.98,87.48,88.6,87.79,4443,317660
2021-08-11,87.79,87.12,88,87.8,2620,254320
2021-08-12,87.77,86.6,87.77,86.75,7780,524490
2021-08-13,86.69,86.6,87.34,86.88,4472,317730
2021-08-16,87,86.11,87.2,86.3,4575,477170
2021-08-17,86.5,86,86.66,86.4,6000,594830
2021-08-18,86.48,86,86.59,86.05,4149,374020
2021-08-19,86,85.51,86.4,85.7,6835,881370
2021-08-20,85.7,85.51,86.8,86.8,2885,499880
2021-08-23,86.79,86.1,87,86.73,3385,437480
2021-08-24,87,86,87.34,86.49,4416,460400
2021-08-25,86.44,86.44,87.05,86.83,3106,400650
2021-08-26,87.15,86.72,88.29,86.75,5390,1005680
2021-08-27,86.89,86.5,87.8,87.66,3434,738320
2021-08-30,87.79,87.01,87.97,87.5,3493,655690
2021-08-31,87.5,87.18,88,88,2784,468900
2021-09-01,87.99,87.06,88.39,87.54,6869,572580
2021-09-02,87.69,87.1,88.11,87.7,3093,401630
2021-09-03,87.5,87.1,88,87.37,3174,499730
2021-09-06,87.5,86.66,87.88,87.3,3474,655460
2021-09-07,87.71,86.8,87.71,87.05,2859,747270
2021-09-08,87.5,86.8,87.5,86.9,2241,294920
2021-09-09,86.87,86.34,87.18,86.5,2569,309940
2021-09-10,86.62,86.23,86.83,86.26,2113,282560
2021-09-13,86.58,86.2,86.68,86.25,2501,247630
2021-09-14,86.45,85.95,86.45,86.08,3892,744980
2021-09-15,86.12,86,87.1,86.3,3569,604490
2021-09-16,86.8,86.3,86.8,86.53,1912,363870
2021-09-17,86.53,86.25,86.9,86.39,1770,496950
2021-09-20,86.55,85.05,86.63,85.21,7315,1207540
2021-09-21,85.66,85.26,85.98,85.45,2245,269940
2021-09-22,85.73,85.25,85.9,85.68,2346,475380
2021-09-23,85.9,84.53,85.9,85.39,4246,1106430
2021-09-24,85.46,84.51,86.19,84.75,5728,580010
2021-09-27,85.1,84.06,85.18,84.29,5931,560060
2021-09-28,84.69,83.51,84.69,83.54,6016,789750
2021-09-29,83.54,83.54,84.67,84.44,2907,512960
2021-09-30,84.88,83.6,84.88,84.28,3167,755800
2021-10-01,84.28,83.6,84.34,83.95,2029,277540
2021-10-04,84.66,83,84.66,83.99,3805,723120
2021-10-05,83.99,83.75,84.41,84.18,2969,556770
2021-10-06,83.61,83.03,84.4,84.08,3467,977780
2021-10-07,84.23,84.18,85.5,85.5,3913,936600
2021-10-08,85.05,84.8,87.88,87.88,7054,2089780
2021-10-11,87.93,87.6,89.99,89.99,9851,2874420
2021-10-12,89.58,87,90,87.3,8778,2202990
2021-10-13,88,87.01,89.82,89.32,5002,1342310
2021-10-14,89.52,88.1,89.76,88.5,2758,758840
