TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2014-06-09,144,143.03,146.2,144.4,32981,40347300
2014-06-10,144.31,142.67,144.76,144.75,34667,41460990
2014-06-11,145.2,143.9,146.4,146.4,35615,39418520
2014-06-16,144,142.58,145.27,145.2,54979,77165360
2014-06-17,145.3,143.72,146.37,144.77,37142,44370530
2014-06-18,144.79,144.43,146.19,145,31478,33270240
2014-06-19,146.4,145.04,147.69,145.2,44182,44670940
2014-06-20,145.05,144.28,145.88,145.6,27900,33779020
2014-06-23,146.2,145.07,147.27,147.17,33417,33923270
2014-06-24,147.65,147.56,153.42,153.25,79272,87546740
2014-06-25,152.48,149.01,154.21,149.26,51549,65879300
2014-06-26,149.63,147.02,150.44,147.44,45393,53026000
2014-06-27,148,147.22,149.88,149.39,35997,34563280
2014-06-30,149.81,146.58,150.18,148.96,33465,35020610
2014-07-01,148.51,146.65,149.5,148.97,31247,39080070
2014-07-02,149.09,148.9,151.95,151.95,44417,48839500
2014-07-03,152,151.41,153.66,152.3,38013,48933580
2014-07-04,153,148.25,153.09,149.13,33779,38192290
2014-07-07,149.1,149.09,151.4,150.31,34553,34302070
2014-07-08,150.53,150.52,153.53,151.43,48491,50005770
2014-07-09,151.11,149.01,151.77,150.4,37831,44106880
2014-07-10,150.8,147.1,151.52,148.79,52403,58690960
2014-07-11,148.85,146.91,149.25,148.15,34517,36005010
2014-07-14,148.42,146.51,148.8,147.5,34414,38407230
2014-07-15,147.8,146.52,148.37,146.52,42893,55159950
2014-07-16,140.35,140.1,143.1,142.5,52341,55942320
2014-07-17,140.23,138.23,141,140,50321,61550720
2014-07-18,138,136.5,139.41,139.26,45494,53377680
2014-07-21,140.3,135.2,140.44,136.01,43305,46735750
2014-07-22,136.82,136.05,138.87,137.75,35295,35508000
2014-07-23,138.2,135.2,139,136.29,34240,35700000
2014-07-24,136,135.15,137.36,136.9,26979,23345280
2014-07-25,136.5,134.22,136.83,135.12,37065,35511270
2014-07-28,134.54,130.9,134.73,132,39961,44904250
2014-07-29,132.08,130.55,133.73,131.31,38600,36865680
2014-07-30,130.47,130.1,135.41,133.4,39640,42608490
2014-07-31,134.12,131.21,135,132,37623,41187230
2014-08-01,130.95,130.21,131.99,131.5,29398,31759700
2014-08-04,132,128.25,132.79,129.5,40238,44534400
2014-08-05,129.99,126.28,130.1,126.57,40424,46432510
2014-08-06,126.11,123.23,126.5,124.7,54259,68355310
2014-08-07,124.02,122.79,128.77,126.92,56882,64225030
2014-08-08,126.48,126.33,129.37,126.55,67693,56280080
2014-08-11,128.01,127.84,130.45,128.3,51576,43145400
2014-08-12,128.95,127.24,129.95,128,34979,38147150
2014-08-13,127.8,127.7,131.84,131,47362,57387480
2014-08-14,131.2,130.34,132.49,131.41,36250,43412620
2014-08-15,131.02,130.62,133.47,132.67,31793,42674890
2014-08-18,132.82,132.11,134.4,134.29,24659,28598600
2014-08-19,134.29,134.28,136.4,136.2,34990,38645630
2014-08-20,136.2,135.16,136.8,136.7,21313,22419120
2014-08-21,136.51,135.55,137.69,136.49,34272,34863190
2014-08-22,136.56,134,137.2,135,33807,38272800
2014-08-25,135.06,135,136.46,136.09,21123,16639450
2014-08-26,136.19,134.71,136.99,135,25386,27154630
2014-08-27,135.9,135.12,136.67,135.51,23629,24990540
2014-08-28,135.51,131.94,135.74,133.8,43025,47627370
2014-08-29,133.5,131.81,134.17,131.95,30806,35728900
2014-09-01,132.71,131,134.75,132.32,38658,41613580
2014-09-02,132.68,131.34,133.32,133.32,22069,25543730
2014-09-03,133.42,133.33,139.63,138.26,66694,64491970
2014-09-04,138.3,136.8,139.29,138.15,39339,43311610
2014-09-05,137.28,136.36,140.13,139,37383,37267050
2014-09-08,138.79,136.87,139.38,139,29653,31454520
2014-09-09,139.29,138.86,140.82,139.02,26795,26611960
2014-09-10,138.39,137.62,139.4,139.2,21395,20441450
2014-09-11,139.69,136.51,140.28,136.65,38455,34559170
2014-09-12,136.5,136,138.56,137.56,33961,34988310
2014-09-15,137.26,135.35,138.12,136,40490,40717130
2014-09-16,136.01,135.26,139.58,138.56,44386,40431640
2014-09-17,138.5,136.05,139.34,137,35138,39757700
2014-09-18,137.25,136.51,138.4,138.2,24467,29247410
2014-09-19,138,134.48,138,135.99,42279,45103990
2014-09-22,135.76,134.6,136.83,135.05,27142,27258240
2014-09-23,135.55,135.47,137.2,136.5,27323,29141830
2014-09-24,136.99,136.88,138.65,137.8,28081,32271690
2014-09-25,138.28,136.52,138.96,136.92,25655,31511120
2014-09-26,136.51,135.71,137.95,137.11,30931,34925980
2014-09-29,138,135,138.57,135.77,34813,36985740
2014-09-30,136.27,135.14,139.13,137.9,46974,50261030
2014-10-01,137.5,137.12,139.86,137.26,30126,37398300
2014-10-02,136.8,133.7,137.44,134.25,41368,42243810
2014-10-03,134.97,134.87,138.07,135.8,32107,32174540
2014-10-06,136.61,136.61,139.63,138.9,34497,41322460
2014-10-07,139.01,136.8,139.5,137.1,26921,28875580
2014-10-08,136.19,134.61,137,134.61,34019,34466460
2014-10-09,136.2,134.55,137.26,135.64,37865,37768210
2014-10-10,134.3,132.09,134.6,133.21,38884,42598080
2014-10-13,133,132.32,136.4,135.25,32352,30923230
2014-10-14,135.3,134.51,136.92,135.5,35289,35709120
2014-10-15,134.9,134.25,136.48,134.5,35379,32324170
2014-10-16,135,131.93,135.59,132.41,50852,47983260
2014-10-17,133.5,133.01,135.4,134.6,33943,30074200
2014-10-20,135.2,133.14,136.18,134.1,36815,32118700
2014-10-21,134,132.94,134.95,134,29450,24848020
2014-10-22,134.51,132.25,134.66,133.5,35874,32439110
2014-10-23,132.51,131.42,134.15,133.5,38485,36223010
2014-10-24,133.5,132.35,134.3,133.99,23148,24372990
2014-10-27,135,133.5,136.05,134.07,33579,31605210
2014-10-28,134.62,134.1,136.14,135.75,27201,27903910
2014-10-29,136.21,135.67,139,138.5,49926,47956500
2014-10-30,138.09,137.62,139.9,139.5,53358,54633270
2014-10-31,140.5,139.49,141.5,141.5,72794,71971660
2014-11-03,141,140.26,144,143.39,21927,19660650
2014-11-05,143.01,141.11,143.82,143.2,47150,47075250
2014-11-06,143.35,143.05,146.25,144.1,53731,55716700
2014-11-07,143.5,142.73,147,144.5,84648,87793540
2014-11-10,145.45,144.35,146.46,145.22,33569,32004800
2014-11-11,145,143.01,145.69,143.71,36740,40466110
2014-11-12,144.14,143,145.6,143.57,30450,31585430
2014-11-13,143.7,141.51,144.45,141.84,33017,34181920
2014-11-14,141.5,141,143.35,142.49,35183,34971670
2014-11-17,142.47,141.91,143.48,142.67,23708,21473850
2014-11-18,143.1,141.53,144.01,143.2,32542,30196660
2014-11-19,143.21,142.67,144.38,143.98,21733,20225140
2014-11-20,144.22,143.22,145.11,144.48,30399,31754200
2014-11-21,144.51,143.61,145.99,145.01,37317,34146350
2014-11-24,145.76,143.82,146,144.7,29385,29558390
2014-11-25,144.5,143.59,145.39,144.13,24510,25545000
2014-11-26,144,143.68,145.5,145.5,27595,27683500
2014-11-27,145.33,143.12,145.89,143.19,39740,44326410
2014-11-28,143,142,144.2,142.86,44386,43623690
2014-12-01,142.4,142.37,146.12,144.1,64603,74522900
2014-12-02,144.41,143.55,146.41,144.91,46889,44697870
2014-12-03,145.53,144.42,146.4,146.23,49198,48469440
2014-12-04,146.5,144.5,147.95,144.5,51489,51131510
2014-12-05,144.5,140.5,144.91,140.5,36457,33668820
2014-12-08,141.23,134.02,142.76,135.05,51059,50861010
2014-12-09,135.15,133.54,136.83,135.24,39239,32667510
2014-12-10,135.91,135.67,139.3,136.09,37339,34416870
2014-12-11,136,133.6,136.9,134.01,42908,36618580
2014-12-12,133.17,130.51,137.53,134.49,44123,40757920
2014-12-15,135.19,127.55,135.87,130.29,57238,64239030
2014-12-16,129.5,113.73,134.21,131.4,106244,100754700
2014-12-17,130.05,125.25,139.96,131,103402,85486950
2014-12-18,132.36,132,139.7,137,71262,66286900
2014-12-19,137.15,131.3,139,138.7,51395,44317130
2014-12-22,138.92,135.7,140,136.49,52747,48457080
2014-12-23,136.8,132.51,137.77,133.4,42633,31443660
2014-12-24,133.4,132.66,135.25,134.28,30251,17416130
2014-12-25,133.43,133.1,135.12,134.8,19360,11172590
2014-12-26,135.2,134.51,136.28,134.6,28784,13334570
2014-12-29,134.8,133.08,139.43,135.5,45915,28351300
2014-12-30,134.5,129.74,134.79,130.31,35109,24784040
2015-01-05,129.5,129.15,133.95,133.95,27262,18223370
2015-01-06,133,132.71,138.92,138.92,30998,25297090
2015-01-08,140.05,140,147.5,146.46,46904,32604900
2015-01-09,146.48,139.9,147.08,141.7,44720,29508430
2015-01-12,141.34,139.72,143.44,140.22,37074,25292180
2015-01-13,140.01,139,143.81,142.64,46580,32919420
2015-01-14,142,141.99,147.5,146.3,43243,37856670
2015-01-15,147.51,145.5,149.89,147,42858,32851540
2015-01-16,146,145.5,150.2,149.6,36061,32688170
2015-01-19,149.55,147.59,152.83,148.11,52057,53470440
2015-01-20,148.2,145.72,149.72,145.75,42849,32734660
2015-01-21,146.9,145.92,149.51,148.8,40011,29863590
2015-01-22,149,148.65,152.69,151.5,56426,55809050
2015-01-23,152.44,150.36,152.93,152.83,45136,37332960
2015-01-26,151.93,146.75,152.46,148,40468,28744250
2015-01-27,146.51,146.11,152.45,150.9,42658,37768110
2015-01-28,151.4,147.5,154.47,147.7,46941,34641630
2015-01-29,147.14,144.49,149.2,145,43920,33421900
2015-01-30,145.75,142.13,146.82,143.82,57593,41074470
2015-02-02,144.7,137.43,145.2,138.18,73666,59503010
2015-02-03,139.2,138.25,142.3,140.35,64324,40922430
2015-02-04,141.2,139.43,143.8,142.6,45095,29511370
2015-02-05,141.99,140.34,147.74,147.6,55280,46332730
2015-02-06,148,147.13,152.2,151.6,68041,54186930
2015-02-09,151.78,147.7,153.95,149.3,60586,52256270
2015-02-10,148.56,148.07,151.9,149.31,41357,31210650
2015-02-11,150.31,149.88,153.83,150.55,54845,41847390
2015-02-12,152.5,149.5,157.98,157.7,99097,91174060
2015-02-13,158.2,158.16,162.75,162.4,77263,89594590
2015-02-16,162.4,158.2,163.44,160.19,42969,29826710
2015-02-17,160,156.3,164.2,159.2,74269,59453940
2015-02-18,160.62,160.4,166.94,163,67453,54933190
2015-02-19,163,157.07,165.44,160.9,57302,50885770
2015-02-20,161.5,156.61,162.39,158,42267,32440500
2015-02-24,154.82,152.82,155.75,154.99,35655,28730540
2015-02-25,154.99,149.22,155.15,150.7,48849,41502390
2015-02-26,151.08,149.1,153.77,151.65,60029,48571440
2015-02-27,151.48,149.76,153.4,152.95,47998,36636440
2015-03-02,152.5,152.5,155.83,155.5,41425,27953010
2015-03-03,155.3,153.5,160.6,159,55684,47144370
2015-03-04,159,153.82,160.14,154,44194,31928730
2015-03-05,154.89,152.63,157.75,154.8,55914,43688360
2015-03-06,155.47,151.47,156.13,152.12,34804,27154750
2015-03-10,151.31,148.05,151.7,148.05,45213,35185430
2015-03-11,148.05,145.95,149.6,145.99,48762,37555110
2015-03-12,147,144.7,147.47,144.7,40696,26620170
2015-03-13,145.03,141.14,146.12,141.8,44949,32674100
2015-03-16,141.06,139.75,142.89,139.75,50696,36741180
2015-03-17,140.67,138.55,141.63,139.7,35071,27156360
2015-03-18,140.1,138.7,141.45,140.25,31694,25263770
2015-03-19,141.11,136.8,142.62,136.81,52798,41086070
2015-03-20,137.68,134.51,138.59,136,67073,56234950
2015-03-23,137.01,133.43,137.57,134.61,40365,30167060
2015-03-24,134.05,133.41,138.14,137.15,44480,30858700
2015-03-25,137.22,133.81,138.33,134.9,42886,29356120
2015-03-26,136,131.7,136.69,132.2,51626,37575090
2015-03-27,132.67,132.2,134.98,134.88,47410,32414170
2015-03-30,134.5,134.24,137.88,137,38042,26571490
2015-03-31,136.85,136.6,139.19,138.9,42714,34740300
2015-04-01,138.45,137.57,143.2,143,58066,46798830
2015-04-02,143.83,142.32,144.88,143.9,45857,35121700
2015-04-03,144,143.02,145.65,143.94,25884,18623200
2015-04-06,144,143.36,145.7,145.7,36012,23383910
2015-04-07,145.4,144.8,147.35,146.2,46596,38094250
2015-04-08,145.83,145.13,147.3,147.27,38322,31102640
2015-04-09,147,143.72,148.74,148.1,73050,67748960
2015-04-10,148.17,147,151.9,148,66421,55406350
2015-04-13,148.06,146.3,150,148.8,41370,34995850
2015-04-14,148.13,143.9,148.4,144.4,46903,40092440
2015-04-15,144.49,144.25,150.1,150.1,41601,38670940
2015-04-16,150.62,149.12,152.87,152.4,51500,42835980
2015-04-17,152.41,149.3,153.55,149.3,59079,57089260
2015-04-20,150,148.73,154.7,153.96,56078,40542190
2015-04-21,153.5,153.47,156.2,155.35,41940,29331080
2015-04-22,155.22,150.08,155.27,150.8,47466,37562510
2015-04-23,151,146.62,151,150.15,57568,39578500
2015-04-24,150,149.67,154.14,153.89,45227,35747130
2015-04-27,153.98,152.05,155.18,152.05,34350,22004600
2015-04-28,151.77,149.7,153.14,152.79,34903,25942650
2015-04-29,152.8,151.75,154.99,152.5,43724,32127150
2015-04-30,152.54,151.06,154.2,153.5,40108,28723340
2015-05-05,154.52,153.32,158.7,156.33,53886,33638700
2015-05-06,156.35,153.3,156.39,155.25,39077,29799390
2015-05-07,154.52,150.81,154.59,152.1,42124,29201660
2015-05-08,152,151.7,155.65,155.52,29379,22300590
2015-05-12,155.51,152.1,157,154.2,54518,35162100
2015-05-13,154.3,151.6,154.5,151.74,32430,23735400
2015-05-14,151.78,151.05,153.68,151.8,34557,19561270
2015-05-15,152.49,151.5,154.1,152.98,26506,20562190
2015-05-18,153.01,151.64,154.28,151.9,25703,17709240
2015-05-19,151.71,148.62,152.4,149.85,39575,25123260
2015-05-20,150,146,150,146.35,44155,20494720
2015-05-21,146.35,144.45,148.28,147.16,35933,23101260
2015-05-22,147.19,146.95,149.85,148.8,39323,22212800
2015-05-25,148.76,145.22,148.8,146.69,27955,16151440
2015-05-26,147.3,144.87,147.85,145.25,40419,22484990
2015-05-27,145.58,144.19,147.7,147.66,40716,27887970
2015-05-28,147.61,146.11,149.5,146.11,46282,27132390
2015-05-29,146.3,139,148.9,139,66232,55832110
2015-06-01,140.13,139.25,141.79,139.4,46689,30804210
2015-06-02,139.89,138.23,141.75,140.75,46950,36308440
2015-06-03,141,138.8,144,140.71,54236,41054380
2015-06-04,140.95,139.3,142.39,140.2,49272,28168930
2015-06-05,140.38,139.4,142.52,142.4,46300,26887100
2015-06-08,142.55,141.5,144.49,142.66,31916,22878860
2015-06-09,142.99,141.8,146.4,146.17,33014,24963390
2015-06-10,146.44,145.31,147.7,145.6,54382,27929430
2015-06-11,146,144.05,146,145.4,28163,18761030
2015-06-15,144.5,142.35,145.8,144.95,43635,30948960
2015-06-16,144.95,144.87,147.15,146,40786,22745150
2015-06-17,146.31,145.56,148.48,147.6,31691,24445210
2015-06-18,147.9,146.2,149.17,147.15,27508,26805520
