TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2014-06-09,6974,6971,7076,7029,8870,212826
2014-06-10,7069,6900,7069,6900,11334,207612
2014-06-11,6895,6861,6940,6940,10938,207715
2014-06-16,6700,6548,6700,6649,21904,520423
2014-06-17,6640,6550,6682,6622,9859,219261
2014-06-18,6614,6586,6801,6780,12583,276596
2014-06-19,6845,6797,6895,6839,11281,188079
2014-06-20,6855,6805,6924,6865,12944,247349
2014-06-23,6887,6821,6940,6899,11871,195573
2014-06-24,6909,6848,6925,6895,10707,191568
2014-06-25,6863,6763,6906,6766,9749,191597
2014-06-26,6773,6678,6819,6720,11224,228827
2014-06-27,6805,6655,6805,6715,8396,120365
2014-06-30,6717,6660,6758,6719,8053,163975
2014-07-01,6721,6669,6799,6798,8209,132268
2014-07-02,6791,6791,6920,6920,10630,204711
2014-07-03,6948,6908,7020,7005,11613,231628
2014-07-04,6995,6941,7032,6971,9983,148269
2014-07-07,6977,6948,7149,7149,11433,184810
2014-07-08,7106,7106,7319,7280,20237,381218
2014-07-09,7254,7215,7325,7316,11304,167278
2014-07-10,7320,7184,7402,7210,18347,317565
2014-07-11,7218,7162,7275,7260,10309,158768
2014-07-14,7265,7232,7305,7263,7756,124991
2014-07-15,7267,7220,7319,7300,10475,204730
2014-07-16,7310,7142,7390,7160,14338,274249
2014-07-17,7025,6977,7148,7135,16782,342601
2014-07-18,7060,6968,7132,7010,17634,280507
2014-07-21,7010,6818,7010,6819,16505,254739
2014-07-22,6871,6850,7029,7009,13976,220574
2014-07-23,6999,6994,7193,7145,15393,206070
2014-07-24,7143,7092,7220,7219,9892,130980
2014-07-25,7186,6980,7200,7039,17579,275582
2014-07-28,6988,6901,7038,6981,11478,194139
2014-07-29,7000,6990,7116,7030,13374,186122
2014-07-30,7000,6991,7200,7083,14032,207320
2014-07-31,7091,7017,7180,7060,12118,163860
2014-08-01,7021,6876,7072,6953,12141,202172
2014-08-04,6965,6910,7029,7000,9115,178477
2014-08-05,7024,6851,7067,6856,11359,217880
2014-08-06,6840,6709,6937,6733,16436,273368
2014-08-07,6664,6631,6858,6800,14655,220177
2014-08-08,6766,6750,6950,6883,13886,189087
2014-08-11,6933,6933,7028,6995,9558,155984
2014-08-12,7004,6898,7010,6917,8652,140852
2014-08-13,6917,6889,7014,6980,12245,236680
2014-08-14,7001,6933,7044,6961,9308,182079
2014-08-15,6975,6932,7076,7025,8064,149909
2014-08-18,7029,6996,7065,7065,6173,92357
2014-08-19,7071,7070,7313,7300,12723,235034
2014-08-20,7310,7279,7447,7447,11855,225976
2014-08-21,7450,7382,7535,7445,11171,249759
2014-08-22,7430,7287,7438,7300,12381,174863
2014-08-25,7278,7278,7384,7342,5480,69782
2014-08-26,7329,7225,7376,7252,8737,147759
2014-08-27,7276,7243,7320,7300,7552,114514
2014-08-28,7295,7153,7295,7280,14799,225254
2014-08-29,7260,7230,7350,7230,11292,221671
2014-09-01,7281,7213,7357,7240,12371,192938
2014-09-02,7275,7155,7300,7177,9174,150051
2014-09-03,7182,7086,7365,7331,21321,392697
2014-09-04,7300,7280,7400,7309,12940,217143
2014-09-05,7304,7215,7535,7521,20073,433199
2014-09-08,7471,7471,7580,7510,11781,232197
2014-09-09,7495,7384,7533,7393,9745,165841
2014-09-10,7375,7344,7453,7380,10096,174874
2014-09-11,7400,7330,7449,7334,10807,180003
2014-09-12,7339,7310,7495,7400,12735,173654
2014-09-15,7400,7330,7465,7460,14617,270268
2014-09-16,7459,7440,7670,7625,15464,294756
2014-09-17,7600,7531,7706,7647,15068,276647
2014-09-18,7643,7588,7694,7647,8188,140846
2014-09-19,7643,7404,7646,7485,15938,270483
2014-09-22,7444,7150,7450,7160,17563,384981
2014-09-23,7163,7163,7298,7279,11049,177359
2014-09-24,7301,7283,7395,7325,9818,145576
2014-09-25,7357,7351,7469,7425,11963,242803
2014-09-26,7401,7396,7530,7498,9735,192481
2014-09-29,7495,7320,7539,7320,12956,212698
2014-09-30,7350,7239,7428,7320,15341,276646
2014-10-01,7303,7258,7419,7260,12515,266081
2014-10-02,7250,6950,7290,6996,21322,460432
2014-10-03,7085,6893,7099,6937,12568,211614
2014-10-06,6980,6975,7097,7048,13919,236392
2014-10-07,7025,6914,7090,7015,13213,312758
2014-10-08,6968,6811,6977,6811,16813,304818
2014-10-09,6898,6857,6989,6911,14306,320325
2014-10-10,6850,6780,6928,6800,14543,255162
2014-10-13,6799,6766,7083,6947,14631,278355
2014-10-14,6946,6946,7084,6956,14453,266850
2014-10-15,6985,6866,7080,7030,14289,248460
2014-10-16,7040,6957,7126,6990,15985,375968
2014-10-17,7058,7023,7166,7115,14285,261141
2014-10-20,7128,7084,7188,7165,13024,229162
2014-10-21,7129,7090,7550,7501,27237,661987
2014-10-22,7518,7511,7675,7630,24129,594555
2014-10-23,7615,7598,7886,7760,28133,596971
2014-10-24,7750,7655,7805,7740,12309,261652
2014-10-27,7800,7505,7890,7590,22335,410515
2014-10-28,7611,7510,7749,7580,22732,307982
2014-10-29,7624,7611,7806,7760,20132,392153
2014-10-30,7745,7600,7840,7689,21468,400597
2014-10-31,7740,7695,8033,8033,27079,531951
2014-11-03,8032,7978,8138,7996,8689,169555
2014-11-05,7919,7876,7997,7954,13985,238669
2014-11-06,7980,7980,8187,8041,16962,304794
2014-11-07,8066,7920,8217,8000,31530,523243
2014-11-10,8050,7912,8090,8048,16637,280324
2014-11-11,8048,8020,8127,8084,12633,214554
2014-11-12,8083,8023,8140,8103,10715,164723
2014-11-13,8110,8025,8163,8030,12743,230497
2014-11-14,8024,7982,8155,8152,12202,197362
2014-11-17,8111,8111,8300,8280,11359,225287
2014-11-18,8300,8216,8413,8395,16664,297264
2014-11-19,8395,8360,8493,8483,10580,169193
2014-11-20,8480,8416,8625,8510,11551,195057
2014-11-21,8523,8266,8570,8422,16646,282497
2014-11-24,8423,8306,8456,8430,12454,190143
2014-11-25,8420,8365,8562,8502,9218,178720
2014-11-26,8499,8484,8575,8561,12013,243859
2014-11-27,8550,8500,8695,8605,12845,279672
2014-11-28,8589,8588,8873,8820,17306,351972
2014-12-01,8850,8832,9702,9640,38695,816016
2014-12-02,9645,9580,9975,9814,31099,569154
2014-12-03,9878,9710,10027,9900,23333,399438
2014-12-04,9901,9815,10035,9835,20850,390661
2014-12-05,9835,9777,9985,9851,16846,251072
2014-12-08,9867,9512,9939,9596,17146,323060
2014-12-09,9592,9450,9690,9463,13322,255282
2014-12-10,9549,9489,9759,9528,13402,248449
2014-12-11,9521,9329,9631,9368,15503,294431
2014-12-12,9368,9255,9650,9470,19270,332776
2014-12-15,9500,9353,9766,9575,30980,647229
2014-12-16,9500,8900,11319,10805,40758,789005
2014-12-17,10871,9201,11295,9216,35110,618678
2014-12-18,9250,8911,9736,9193,30682,435792
2014-12-19,8750,8600,9220,8860,16705,297031
2014-12-22,8868,8610,9100,8799,18403,265270
2014-12-23,8732,7993,8787,8049,19284,289189
2014-12-24,8000,7962,8275,8168,15659,143963
2014-12-25,8100,7989,8175,8005,5887,63199
2014-12-26,8019,7989,8095,7990,6023,86546
2014-12-29,7993,7975,8600,8360,17984,217699
2014-12-30,8405,8011,8553,8080,13562,155255
2015-01-05,8111,8050,8590,8590,11670,132143
2015-01-06,8511,8511,9270,9101,18361,267759
2015-01-08,9200,9151,9565,9550,15500,233721
2015-01-09,9600,9505,9798,9740,14121,166479
2015-01-12,9778,9651,9927,9839,10895,124626
2015-01-13,9850,9755,10177,10025,16824,188403
2015-01-14,10011,9482,10125,9600,24871,369929
2015-01-15,9631,9220,9777,9290,21700,268153
2015-01-16,9270,9177,9620,9561,15326,171825
2015-01-19,9570,9415,9700,9417,14106,200594
2015-01-20,9419,9301,9640,9470,15566,235269
2015-01-21,9500,9456,9717,9675,11956,157702
2015-01-22,9699,9685,10450,10386,25604,398201
2015-01-23,10485,10261,10648,10400,19369,265557
2015-01-26,10300,10147,10755,10755,17380,246195
2015-01-27,10650,10650,11400,11179,24535,369558
2015-01-28,11180,11180,11642,11534,21034,283878
2015-01-29,11620,11319,11780,11450,19570,253431
2015-01-30,11499,11372,11700,11610,17789,245536
2015-02-02,11663,11252,11680,11280,14568,162507
2015-02-03,11282,10977,11432,10990,13989,150645
2015-02-04,10990,10700,11079,10750,14074,145151
2015-02-05,10901,10796,11215,11100,26115,331036
2015-02-06,11178,11061,11458,11394,18722,262558
2015-02-09,11448,11271,12000,11352,21361,295663
2015-02-10,11300,11201,11639,11345,16169,184783
2015-02-11,11500,11380,11778,11697,17481,208227
2015-02-12,11745,11421,12134,12037,29884,396436
2015-02-13,12104,11960,12247,12106,19820,239534
2015-02-16,12074,11677,12168,11900,11894,142184
2015-02-17,11900,11350,12121,11375,20704,229229
2015-02-18,11498,11072,11600,11140,19962,224242
2015-02-19,11150,10890,11360,11355,19208,209931
2015-02-20,11420,11152,11479,11330,10951,119680
2015-02-24,11136,11136,11447,11348,11565,110812
2015-02-25,11350,10906,11417,11061,14932,154312
2015-02-26,11100,10755,11170,11093,16133,176454
2015-02-27,11030,10895,11274,11182,13361,149551
2015-03-02,11221,11130,11340,11269,11374,119146
2015-03-03,11242,11081,11632,11480,18026,205261
2015-03-04,11500,11050,11503,11140,13119,141874
2015-03-05,11142,10880,11279,11180,19150,219284
2015-03-06,11154,10853,11238,10990,11148,128945
2015-03-10,10849,10333,10927,10425,19046,223751
2015-03-11,10400,10382,10750,10588,15539,175233
2015-03-12,10600,10410,10918,10730,15405,213017
2015-03-13,10731,10280,10731,10380,16067,224814
2015-03-16,10398,10230,10455,10298,14291,173739
2015-03-17,10352,10293,10711,10595,17587,200705
2015-03-18,10600,10563,10799,10692,11982,148046
2015-03-19,10750,10410,10870,10410,21388,285067
2015-03-20,10405,10307,10617,10501,12723,166255
2015-03-23,10555,10360,10637,10420,9855,138655
2015-03-24,10360,10276,10500,10330,14046,144495
2015-03-25,10346,10294,10530,10500,10993,143884
2015-03-26,10518,10300,10560,10310,12169,151642
2015-03-27,10308,9760,10339,9905,14317,232803
2015-03-30,9950,9950,10549,10530,16363,276497
2015-03-31,10540,10300,10789,10399,24055,361265
2015-04-01,10383,10223,10694,10539,17167,234662
2015-04-02,10500,10081,10500,10090,22375,364940
2015-04-03,10269,10102,10297,10237,10607,136662
2015-04-06,10245,10151,10385,10200,12784,148006
2015-04-07,10230,10035,10242,10125,14167,182283
2015-04-08,10100,9876,10100,9986,14875,190501
2015-04-09,9970,9510,9970,9740,23755,463092
2015-04-10,9700,9525,9977,9936,28663,443117
2015-04-13,9992,9802,10097,9839,23842,371322
2015-04-14,9813,9352,9818,9520,23511,396720
2015-04-15,9401,9275,9712,9632,25444,509307
