TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2024-08-16,,,,,0,0
2024-08-19,,,,,0,0
2024-08-20,,,,,0,0
2024-08-21,,,,,0,0
2024-08-22,,,,,0,0
2024-08-23,,,,,0,0
2024-08-26,,,,,0,0
2024-08-27,,,,,0,0
2024-08-28,,,,,0,0
2024-08-29,,,,,0,0
2024-08-30,,,,,0,0
2024-09-02,,,,,0,0
2024-09-03,,,,,0,0
2024-09-04,,,,,0,0
2024-09-05,,,,,0,0
2024-09-06,,,,,0,0
2024-09-09,,,,,0,0
2024-09-10,,,,,0,0
2024-09-11,,,,,0,0
2024-09-12,,,,,0,0
2024-09-13,,,,,0,0
2024-09-16,,,,,0,0
2024-09-17,,,,,0,0
2024-09-18,,,,,0,0
2024-09-19,,,,,0,0
2024-09-20,,,,,0,0
2024-09-23,,,,,0,0
2024-09-24,,,,,0,0
2024-09-25,,,,,0,0
2024-09-26,3899,3719,4095,3935,101339,2378148
2024-09-27,3949,3940,4258,4198,60931,1061293
2024-09-30,4250,4230,4498,4498,72235,982534
2024-10-01,4490,4281,4548,4281,67824,914313
2024-10-02,4299,4159,4400,4226,42665,587857
2024-10-03,4305,4264,4383,4280,90008,972765
2024-10-04,4285,4182,4305,4240,32205,405414
2024-10-07,4240,4103,4270,4164,28899,344630
2024-10-08,4150,4054,4256,4201,34183,497384
2024-10-09,4200,4160,4248,4170,12961,212420
2024-10-10,4191,4152,4219,4189,29920,208807
2024-10-11,4187,4102,4187,4140,9175,133935
2024-10-14,4150,4063,4189,4150,19708,288887
2024-10-15,4144,4119,4183,4149,19713,225349
2024-10-16,4160,4100,4218,4117,22876,246204
2024-10-17,4120,4095,4159,4113,34626,172738
2024-10-18,4113,4069,4131,4070,18512,157625
2024-10-21,4066,4031,4113,4060,21838,188408
2024-10-22,4059,3933,4059,3998,29387,368515
2024-10-23,3984,3911,4177,4090,46163,634616
2024-10-24,4100,4065,4231,4195,26561,382153
2024-10-25,4220,4010,4250,4160,34883,633291
2024-10-28,4136,4050,4136,4100,18995,277216
2024-10-29,4500,4186,4500,4312,91415,1669968
2024-10-30,4329,4275,4341,4290,25381,280974
2024-10-31,4250,4186,4270,4190,21290,229771
2024-11-01,4202,4194,4249,4228,13535,152088
2024-11-02,4233,4221,4269,4245,9496,91695
2024-11-05,4283,4246,4297,4262,17703,174821
2024-11-06,4300,4273,4343,4297,19820,314362
2024-11-07,4299,4276,4315,4313,8641,99728
2024-11-08,4320,4317,4400,4399,15690,207701
2024-11-11,4431,4370,4500,4400,28221,410165
2024-11-12,4400,4330,4416,4385,18775,231041
2024-11-13,4390,4362,4500,4498,27778,402641
2024-11-14,4465,4385,4544,4435,30688,532640
2024-11-15,4500,4402,4518,4466,22114,352899
2024-11-18,4400,4350,4480,4453,15969,223837
2024-11-19,4460,4285,4465,4360,22011,276265
2024-11-20,4360,4320,4409,4331,12759,171571
2024-11-21,4345,4210,4365,4240,17315,218013
2024-11-22,4300,4225,4330,4251,21220,186085
2024-11-25,4250,4101,4268,4155,25308,320981
2024-11-26,4131,4032,4175,4051,33858,380078
2024-11-27,4053,3965,4110,4055,36516,331122
2024-11-28,4170,4079,4174,4135,21978,171385
2024-11-29,4141,4080,4192,4159,12832,145014
2024-12-02,4200,4191,4300,4270,17461,264344
2024-12-03,4285,4200,4311,4233,14593,167553
2024-12-04,4233,4180,4262,4189,12346,143659
2024-12-05,4190,4170,4259,4247,12806,140794
2024-12-06,4298,4262,4317,4290,14614,203519
2024-12-09,4301,4281,4320,4313,19904,224011
2024-12-10,4325,4287,4330,4297,12796,191478
2024-12-11,4300,4212,4313,4231,18031,220078
2024-12-12,4250,4130,4278,4141,34073,296962
2024-12-13,4142,4000,4150,4010,37553,452192
2024-12-16,4012,3901,4062,3982,60596,752784
2024-12-17,3584,2983,3584,3060,79384,987771
2024-12-18,3070,3062,3177,3128,32071,289324
2024-12-19,3141,3138,3310,3310,21452,485494
2024-12-20,3299,3205,3497,3480,49953,896525
2024-12-23,3563,3491,3591,3541,44551,541711
2024-12-24,3540,3383,3543,3431,47750,443552
2024-12-25,3420,3370,3450,3426,23522,370411
2024-12-26,3440,3358,3448,3395,38833,404289
2024-12-27,3418,3395,3530,3496,24893,428756
2024-12-28,3500,3500,3685,3636,23190,448470
2024-12-30,3654,3650,3739,3710,18890,220494
2025-01-03,3725,3590,3738,3626,13591,163467
2025-01-06,3619,3553,3619,3599,9855,85647
2025-01-08,3617,3574,3632,3609,7367,76625
2025-01-09,3622,3504,3634,3514,13297,227412
