TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-07-08,,,,,0,0
2013-07-09,,,,,0,0
2013-07-10,,,,,0,0
2013-07-11,0.01292,0.012905,0.012925,0.01292,16,75000000
2013-07-12,,,,,0,0
2013-07-15,,,,,0,0
2013-07-16,,,,,0,0
2013-07-17,0.0133,0.010549,0.0133,0.010549,4,12700000
2013-07-18,0.013879,0.013828,0.013879,0.013828,19,65000000
2013-07-19,,,,,0,0
2013-07-22,,,,,0,0
2013-07-23,,,,,0,0
2013-07-24,,,,,0,0
2013-07-25,,,,,0,0
2013-07-26,,,,,0,0
2013-07-29,0.012857,0.011826,0.012857,0.012826,9,4000000
2013-07-30,,,,,0,0
2013-07-31,0.0126,0.0126,0.01263,0.01263,4,800000
2013-08-01,,,,,0,0
2013-08-02,,,,,0,0
2013-08-05,,,,,0,0
2013-08-06,,,,,0,0
2013-08-07,0.01235,0.01235,0.0125,0.0125,3,10700000
2013-08-08,0.01254,0.01254,0.0126,0.0126,2,1700000
2013-08-09,,,,,0,0
2013-08-12,,,,,0,0
2013-08-13,0.01305,0.01305,0.01305,0.01305,1,10000000
2013-08-14,,,,,0,0
2013-08-15,0.01292,0.012877,0.01292,0.012877,4,2200000
2013-08-16,0.01273,0.01251,0.01279,0.01251,5,2400000
2013-08-19,0.012592,0.012592,0.012592,0.012592,1,1700000
2013-08-20,,,,,0,0
2013-08-21,0.01243,0.01243,0.01243,0.01243,1,1100000
2013-08-22,,,,,0,0
2013-08-23,0.01257,0.01257,0.01257,0.01257,1,1100000
2013-08-26,0.012301,0.012301,0.012301,0.012301,1,200000
2013-08-27,0.012,0.012,0.01225,0.0122,8,2400000
2013-08-28,0.011703,0.011703,0.0125,0.012036,7,3200000
2013-08-29,,,,,0,0
2013-08-30,0.012198,0.01101,0.012295,0.011794,24,16700000
2013-09-02,0.011869,0.011683,0.012083,0.011707,1482,2120900000
2013-09-03,0.011809,0.011656,0.012045,0.011688,3115,4194800000
2013-09-04,0.011565,0.0115,0.011796,0.011534,4148,3157800000
2013-09-05,0.011652,0.011503,0.011736,0.011666,4042,6314700000
2013-09-06,0.011647,0.011417,0.011699,0.011492,5491,6290800000
2013-09-09,0.011548,0.011467,0.011645,0.011543,2558,4054700000
2013-09-10,0.01149,0.01149,0.011825,0.011665,3557,6862300000
2013-09-11,0.011844,0.011671,0.012144,0.011738,5727,19688100000
2013-09-12,0.011796,0.011451,0.011874,0.011599,4522,7902500000
2013-09-13,0.011503,0.011483,0.011673,0.0116,3498,4651900000
2013-09-16,0.0117,0.011592,0.011798,0.011697,3318,4151800000
2013-09-17,0.011639,0.011615,0.011862,0.011862,1568,3312800000
2013-09-18,0.011881,0.011861,0.011992,0.0119,2929,4219500000
2013-09-19,0.012101,0.0112,0.012148,0.0117,5550,9511600000
