TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-03-25,1951.7,1920.7,1963.7,1922,301,32441
2013-03-26,1920.5,1919.8,1944.5,1944.5,24,3653
2013-03-27,1942.3,1930,1971.2,1969.7,19,1924
2013-03-28,1958.8,1958.5,1994.6,1993.2,33,3398
2013-03-29,1999.1,1996.2,2003.7,2003.4,25,1908
2013-04-01,1993.4,1978.2,1998.4,1978.2,177,20889
2013-04-02,1983,1982.9,2002.2,2002.2,65,6961
2013-04-03,1990,1976,2001.1,1978.9,97,12895
2013-04-04,1970,1963.4,1984.3,1966.9,57,7302
2013-04-05,1967.3,1936.8,1977.2,1942.8,93,15492
2013-04-08,1948.9,1920,1957.5,1924.3,55,9019
2013-04-09,1927.2,1927.2,1965.9,1965.9,56,8348
2013-04-10,1963.7,1940,1967.7,1942.3,83,12695
2013-04-11,1947.9,1906.5,1947.9,1920,145,20008
2013-04-12,1923.4,1916.6,1935,1934.4,63,9880
2013-04-15,1931.4,1883,1931.4,1886,124,21683
2013-04-16,1884.3,1883.3,1909.3,1899.4,45,6545
2013-04-17,1894,1874.9,1900,1892.3,91,14082
2013-04-18,1915,1893.9,1920.3,1893.9,88,12015
2013-04-19,1900.5,1858.3,1904.3,1887.6,60,8647
2013-04-22,1898.9,1849.7,1906.5,1849.7,86,12325
2013-04-23,1853.6,1848.1,1898.9,1890.6,91,14752
2013-04-24,1903.8,1903.8,1964.4,1963.5,120,15746
2013-04-25,1965,1935,1965,1960,227,32809
2013-04-26,1950.6,1942.7,1978.1,1965.5,360,44675
2013-04-29,1965.3,1930.4,1972.7,1935.9,147,18158
2013-04-30,1934.9,1931.9,1974,1963.8,186,27747
2013-05-02,1972.3,1965.6,1993.5,1974.7,260,39271
2013-05-03,1995,1967.4,2008.7,2008.7,363,44545
2013-05-06,2007.3,2002.5,2016.8,2016.6,607,47547
2013-05-07,2011.2,2008.1,2038,2038,287,35459
2013-05-08,2039.3,2010.8,2039.5,2035,235,34866
2013-05-10,2029.2,1985,2030,2000.9,181,33350
2013-05-13,1977.7,1968.1,2007.9,2005,347,58822
2013-05-14,2007.8,2004.8,2037.1,2015.6,312,38112
2013-05-15,2023.8,1997.1,2029,2017,133,14004
2013-05-16,2020.1,2001.7,2020.1,2002,82,11364
2013-05-17,2004.3,1999.4,2040.5,2023,120,17794
2013-05-20,2029.8,2007.1,2032.5,2026,63,7764
2013-05-21,2022.8,2013.2,2049.6,2045.5,173,15646
2013-05-22,2045.5,2042.1,2084.5,2083.6,162,12914
2013-05-23,2051.8,2027.1,2058.6,2037.6,244,23116
2013-05-24,2037.2,1998.6,2037.2,2006.1,497,55627
2013-05-27,2020.3,1992,2020.3,1995.1,231,24155
2013-05-28,2005.6,2001.5,2024,2016,202,22300
2013-05-29,1996.2,1941.2,1997,1941.2,165,16536
2013-05-30,1937.3,1917.1,1962,1925.3,286,34050
2013-05-31,1933,1870.2,1938.6,1874.1,431,57090
2013-06-03,1860,1853,1912,1891,525,68268
2013-06-04,1891.6,1876.5,1914.6,1882.5,552,48960
2013-06-05,1870,1852,1907.7,1880.1,573,61943
2013-06-06,1876.6,1867,1889,1873.2,60,8790
2013-06-07,1889.5,1876.3,1940.4,1912.4,565,69165
2013-06-10,1914.5,1878.3,1942.5,1888,238,33966
2013-06-11,1881.7,1850.3,1905.9,1862.2,351,50560
2013-06-13,1825.9,1825.9,1869.4,1850.5,557,86940
2013-06-14,1860.8,1838.7,1872.8,1866.4,231,32553
2013-06-17,1871,1830,1897.3,1876.2,290,38152
2013-06-18,1883.9,1877.8,1901.4,1890,166,18780
2013-06-19,1897.2,1874,1897.9,1884.8,203,28990
2013-06-20,1859.8,1848.6,1891.1,1864.7,151,20945
2013-06-21,1864,1794.2,1877.9,1794.2,317,39161
2013-06-24,1788,1783.5,1814.8,1790.4,211,27864
2013-06-25,1800.5,1793.5,1836.5,1820,202,24402
2013-06-26,1822.5,1817.8,1867.6,1865,461,26519
2013-06-27,1864,1840.9,1869.3,1855.7,151,20572
2013-06-28,1862.1,1857.3,1894,1892.6,322,31908
2013-07-01,1889.3,1883.3,1911.6,1910.3,365,50998
2013-07-02,1912.4,1902.1,1920.5,1913.8,193,20002
2013-07-03,1903.5,1902.4,1942.5,1924.3,324,48844
2013-07-04,1935.3,1916.3,1935.3,1925.5,121,16935
2013-07-05,1932,1913.4,1945.9,1915.9,203,28714
2013-07-08,1911.2,1908.1,1936.4,1920,78,8351
2013-07-09,1922,1905.4,1924,1911.2,319,44918
2013-07-10,1917.2,1887.1,1918.3,1894.1,485,58145
2013-07-11,1908.1,1906,1957.3,1957.3,402,48576
2013-07-12,1965,1965,1992.7,1988,399,57085
2013-07-15,1995.4,1987.2,2001,1991.9,636,87308
2013-07-16,1996.7,1982.1,2006.7,1993.5,395,46941
2013-07-17,2003,1979.4,2003,1994.3,115,11123
2013-07-18,2000,1971.5,2017.9,1998.5,565,69752
2013-07-19,2005,1995.4,2020,2016.2,232,35470
2013-07-22,2023,1996.7,2023,2008.8,219,30679
2013-07-23,2012.4,2012.4,2028.5,2019.6,275,40268
2013-07-24,2012.2,1986.2,2022.6,2004.9,445,55483
2013-07-25,2001,1985.4,2002.3,1986.1,568,101835
2013-07-26,1999,1978.4,2005,1991.4,211,22603
2013-07-29,1991,1976.7,1997.4,1976.7,302,34285
2013-07-30,1989.9,1969.6,1997.7,1969.6,234,25368
2013-07-31,1975.3,1952.9,1977.5,1964.4,237,28326
2013-08-01,1965.3,1960.7,1979,1960.7,277,37443
2013-08-02,1975.3,1952.2,1975.7,1958.1,345,45188
2013-08-05,1963.8,1950.8,1968.1,1961,136,16512
2013-08-06,1958,1898,1959.3,1898,661,65648
2013-08-07,1893,1893,1919.8,1907,477,50421
2013-08-08,1915.3,1894.5,1915.3,1902.6,876,86397
2013-08-09,1912.2,1900.6,1927.1,1923.5,744,86578
2013-08-12,1922.4,1918.5,1938.3,1922.8,744,93858
