TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2014-06-09,6.84,6.674,6.989,6.835,2501,15012800
2014-06-10,6.843,6.72,6.857,6.762,1069,5229600
2014-06-11,6.796,6.731,6.843,6.77,1119,3083500
2014-06-16,6.755,6.671,6.979,6.848,6081,25659900
2014-06-17,6.519,6.519,6.955,6.857,2052,8682700
2014-06-18,6.857,6.774,6.917,6.8,1294,4635900
2014-06-19,6.888,6.718,6.888,6.773,1431,5620700
2014-06-20,6.786,6.658,6.786,6.728,1385,6668400
2014-06-23,6.733,6.594,6.888,6.601,1923,8332500
2014-06-24,6.601,6.59,6.699,6.699,1392,5763000
2014-06-25,6.671,6.545,6.671,6.56,1766,5652900
2014-06-26,6.58,6.521,6.63,6.628,1231,4385500
2014-06-27,6.65,6.63,6.72,6.67,828,3482000
2014-06-30,6.7,6.649,6.799,6.693,1222,6417200
2014-07-01,6.684,6.665,6.765,6.679,1276,6979500
2014-07-02,6.696,6.69,6.815,6.798,1882,8693100
2014-07-03,6.799,6.765,6.849,6.814,1500,7467100
2014-07-04,6.819,6.666,6.92,6.699,1387,6507900
2014-07-07,6.73,6.7,6.85,6.775,1266,7188500
2014-07-08,6.8,6.711,6.869,6.763,1333,7066800
2014-07-09,6.787,6.712,6.843,6.816,1637,8494600
2014-07-10,6.82,6.718,6.912,6.744,2775,15308400
2014-07-11,6.8,6.68,6.89,6.693,1642,8470700
2014-07-14,6.745,6.602,6.747,6.646,1436,4869300
2014-07-15,6.668,6.601,6.811,6.8,1365,5986300
2014-07-16,6.77,6.757,6.97,6.92,2742,12022000
2014-07-17,6.915,6.778,6.949,6.887,3253,18684300
2014-07-18,6.78,6.745,6.89,6.82,2884,11664200
2014-07-21,6.825,6.502,6.839,6.502,2446,15658100
2014-07-22,6.494,6.474,6.598,6.556,2397,11102200
2014-07-23,6.578,6.451,6.622,6.463,1564,10391000
2014-07-24,6.447,6.381,6.718,6.681,2401,16763400
2014-07-25,6.653,6.568,6.699,6.63,2088,10266100
2014-07-28,6.592,6.474,6.679,6.49,1695,9248700
2014-07-29,6.509,6.494,6.641,6.595,1685,9951000
2014-07-30,6.574,6.475,6.739,6.681,2288,13650100
2014-07-31,6.681,6.68,6.939,6.78,2451,15488700
2014-08-01,6.701,6.691,6.849,6.757,1756,10550100
2014-08-04,6.841,6.777,6.882,6.78,1300,9355600
2014-08-05,6.804,6.719,6.848,6.758,1027,5648300
2014-08-06,6.704,6.45,6.748,6.46,2906,15066000
2014-08-07,6.28,6.215,6.53,6.38,3294,17314800
2014-08-08,6.384,6.36,6.691,6.627,3092,23039200
2014-08-11,6.73,6.728,6.849,6.784,1811,10222500
2014-08-12,6.802,6.692,6.814,6.751,1201,5089000
2014-08-13,6.648,6.648,6.85,6.794,1921,9154900
2014-08-14,6.795,6.703,6.839,6.79,2115,10887400
2014-08-15,6.802,6.757,6.848,6.82,1100,7518500
2014-08-18,6.798,6.75,6.84,6.789,776,4928900
2014-08-19,6.825,6.778,6.899,6.871,1752,13875900
2014-08-20,6.897,6.868,7.422,7.42,5863,46342400
2014-08-21,7.49,7.385,7.61,7.418,4156,32041400
2014-08-22,7.725,7.205,7.725,7.35,2634,17351000
2014-08-25,7.368,7.368,7.56,7.55,1440,7457400
2014-08-26,7.555,7.366,7.592,7.396,2274,12323500
2014-08-27,7.38,7.369,7.526,7.439,1411,5924600
2014-08-28,7.449,7.28,7.489,7.334,3141,20475300
