TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2020-11-09,490,463.5,490,466.5,936,80940
2020-11-10,473,450.4,473,454,516,44870
2020-11-11,454.1,452,478.45,478.45,611,37140
2020-11-12,485,472,487.95,480.45,540,45530
2020-11-13,488,482.2,489.05,486.15,499,19310
2020-11-16,490.3,475,491,475,1101,28750
2020-11-17,475,471,484,472.2,458,14520
2020-11-18,474.65,470,476.85,471.75,471,18020
2020-11-19,474.4,471,474.9,472.75,249,8000
2020-11-20,487,469.25,487,474,198,4530
2020-11-23,470,470,479.95,470.5,239,5480
2020-11-24,470.55,470,472.4,471,198,5370
2020-11-25,470,468.9,471.05,469.8,234,9560
2020-11-26,470,464.5,470,465.2,247,10940
2020-11-27,465.2,464.8,473.95,470.1,313,8120
2020-11-30,470.65,466.5,473.9,469.2,294,6270
2020-12-01,464.05,464,472.35,470,168,6970
2020-12-02,468.1,467,470.1,467,128,3060
2020-12-03,464.75,455.4,468,455.6,507,15050
2020-12-04,471.8,456.55,472,458.2,467,13220
2020-12-07,469.7,456.4,469.7,457.5,287,11250
2020-12-08,465.65,455,465.65,455,239,6130
2020-12-09,462.65,455.5,462.65,456.05,202,5760
2020-12-10,454.15,452,458.75,455.05,262,9160
2020-12-11,458.3,449.9,458.3,455.6,320,9950
2020-12-14,455.7,450.6,461,457.9,329,18530
2020-12-15,462.05,458.8,467.15,466.95,199,5930
2020-12-16,468.75,455,468.75,456,230,10920
2020-12-17,456,447,458.25,450.25,615,26940
2020-12-18,449.6,449.25,451.7,451.65,159,3620
2020-12-21,450,448.05,451.6,451.4,209,4620
2020-12-22,449.25,446.55,452.45,451.7,246,10100
2020-12-23,455.7,450.7,455.7,451,115,2400
2020-12-24,451.8,447,452.2,451,206,8030
2020-12-25,450,447.6,453.9,452.05,128,2710
2020-12-28,452.95,449.05,452.95,451.6,197,4850
2020-12-29,457.8,447.35,461.95,451.55,303,13680
2020-12-30,451.6,451.6,460.4,457.4,244,6930
2021-01-04,453.95,450.4,460,460,206,14560
2021-01-05,461.7,452.85,469,462.25,340,11250
2021-01-06,454.2,454.2,468.65,461.95,256,24920
2021-01-08,462.8,462.8,468.05,465.5,221,4210
2021-01-11,465.5,464.9,471.9,471.85,366,12550
2021-01-12,460.3,455.1,474.9,467.25,277,11060
2021-01-13,475,464.05,475,464.05,184,4490
2021-01-14,465.3,462.25,472.65,463.7,184,6360
2021-01-15,464.75,460.7,466.85,463.55,189,6560
2021-01-18,461.25,461.05,468.1,465.05,264,5800
2021-01-19,470.55,459.65,494,490.9,1054,112200
2021-01-20,490,481.05,549,501.95,4402,312510
