TRADEDATE,SECID,CLOSE
2013-04-04,MOEX,48.13
2013-04-05,MOEX,47.69
2013-04-08,MOEX,47.54
2013-04-09,MOEX,47.48
2013-04-10,MOEX,46.96
2013-04-11,MOEX,45.73
2013-04-12,MOEX,45.63
2013-04-15,MOEX,45.59
2013-04-16,MOEX,43.43
2013-04-17,MOEX,43.43
2013-04-18,MOEX,42.63
2013-04-19,MOEX,43.46
2013-04-22,MOEX,43.65
2013-04-23,MOEX,43.95
2013-04-24,MOEX,44.52
2013-04-25,MOEX,44.22
2013-04-26,MOEX,44.68
2013-04-29,MOEX,44.61
2013-04-30,MOEX,44.91
2013-05-02,MOEX,44.42
2013-05-03,MOEX,44.55
2013-05-06,MOEX,46.1
2013-05-07,MOEX,47.2
2013-05-08,MOEX,48.7
2013-05-10,MOEX,48.6
2013-05-13,MOEX,48.74
2013-05-14,MOEX,48.87
2013-05-15,MOEX,50.26
2013-05-16,MOEX,50.27
2013-05-17,MOEX,49.3
2013-05-20,MOEX,48.72
2013-05-21,MOEX,51.4
2013-05-22,MOEX,53.75
2013-05-23,MOEX,53.85
2013-05-24,MOEX,53.32
2013-05-27,MOEX,53.29
2013-05-28,MOEX,53.93
2013-05-29,MOEX,53.68
2013-05-30,MOEX,53.46
2013-05-31,MOEX,53.73
2013-06-03,MOEX,52.85
2013-06-04,MOEX,52.33
2013-06-05,MOEX,52.58
2013-06-06,MOEX,53.19
2013-06-07,MOEX,53.56
2013-06-10,MOEX,53.6
2013-06-11,MOEX,52.59
2013-06-13,MOEX,52.11
2013-06-14,MOEX,51.14
2013-06-17,MOEX,52.56
2013-06-18,MOEX,52.79
2013-06-19,MOEX,51.98
2013-06-20,MOEX,51.31
2013-06-21,MOEX,50.22
2013-06-24,MOEX,50.71
2013-06-25,MOEX,51.65
2013-06-26,MOEX,52.17
2013-06-27,MOEX,52.61
2013-06-28,MOEX,52.98
2013-07-01,MOEX,53.8
2013-07-02,MOEX,53.82
2013-07-03,MOEX,53.41
2013-07-04,MOEX,53.58
2013-07-05,MOEX,53.6
2013-07-08,MOEX,53.77
2013-07-09,MOEX,53.7
2013-07-10,MOEX,53.04
2013-07-11,MOEX,53.9
2013-07-12,MOEX,53.91
2013-07-15,MOEX,53.98
2013-07-16,MOEX,53.98
2013-07-17,MOEX,53.94
2013-07-18,MOEX,53.9
2013-07-19,MOEX,53.78
2013-07-22,MOEX,53.79
2013-07-23,MOEX,54.19
2013-07-24,MOEX,54.24
2013-07-25,MOEX,54.25
2013-07-26,MOEX,54.19
2013-07-29,MOEX,55.06
2013-07-30,MOEX,56.04
2013-07-31,MOEX,56.23
2013-08-01,MOEX,59.25
2013-08-02,MOEX,59.09
2013-08-05,MOEX,59.07
2013-08-06,MOEX,55.99
2013-08-07,MOEX,56.05
2013-08-08,MOEX,55.93
2013-08-09,MOEX,56.1
2013-08-12,MOEX,56.07
2013-08-13,MOEX,56.78
2013-08-14,MOEX,57.18
2013-08-15,MOEX,56.11
2013-08-16,MOEX,56.19
2013-08-19,MOEX,56.31
2013-08-20,MOEX,56.07
2013-08-21,MOEX,56.21
2013-08-22,MOEX,56.98
2013-08-23,MOEX,57.01
2013-08-26,MOEX,57.28
2013-08-27,MOEX,58.28
2013-08-28,MOEX,59.24
2013-08-29,MOEX,60.6
2013-08-30,MOEX,60.96
2013-09-02,MOEX,61.05
2013-09-03,MOEX,61.65
2013-09-04,MOEX,61.91
2013-09-05,MOEX,62.84
2013-09-06,MOEX,64.87
2013-09-09,MOEX,64.91
2013-09-10,MOEX,65.85
2013-09-11,MOEX,65.59
2013-09-12,MOEX,65.45
2013-09-13,MOEX,64.82
2013-09-16,MOEX,66.99
2013-09-17,MOEX,66.26
2013-09-18,MOEX,65.7
2013-09-19,MOEX,65.55
2013-09-20,MOEX,63.25
2013-09-23,MOEX,62.41
2013-09-24,MOEX,63.2
2013-09-25,MOEX,60.35
2013-09-26,MOEX,60.26
2013-09-27,MOEX,60.64
2013-09-30,MOEX,62.05
2013-10-01,MOEX,64.77
2013-10-02,MOEX,64.85
2013-10-03,MOEX,65.31
2013-10-04,MOEX,65.86
2013-10-07,MOEX,64.9
2013-10-08,MOEX,65.97
2013-10-09,MOEX,66.8
2013-10-10,MOEX,67.2
2013-10-11,MOEX,67.5
2013-10-14,MOEX,67.74
2013-10-15,MOEX,68.27
2013-10-16,MOEX,68.07
2013-10-17,MOEX,67.75
2013-10-18,MOEX,68.1
2013-10-21,MOEX,68
2013-10-22,MOEX,67.98
2013-10-23,MOEX,66.99
2013-10-24,MOEX,65.89
2013-10-25,MOEX,66
2013-10-28,MOEX,65
2013-10-29,MOEX,63.65
2013-10-30,MOEX,62.9
2013-10-31,MOEX,61.23
2013-11-01,MOEX,61.4
2013-11-05,MOEX,60.9
2013-11-06,MOEX,61.01
2013-11-07,MOEX,60.98
2013-11-08,MOEX,61.45
2013-11-11,MOEX,62.49
2013-11-12,MOEX,64.8
2013-11-13,MOEX,64.51
2013-11-14,MOEX,64.77
2013-11-15,MOEX,64.92
2013-11-18,MOEX,65.02
2013-11-19,MOEX,65.39
2013-11-20,MOEX,65.35
2013-11-21,MOEX,65.55
2013-11-22,MOEX,67.15
2013-11-25,MOEX,67.5
2013-11-26,MOEX,67.45
2013-11-27,MOEX,67.4
2013-11-28,MOEX,66.54
2013-11-29,MOEX,67
2013-12-02,MOEX,66.57
2013-12-03,MOEX,65.5
2013-12-04,MOEX,65.15
2013-12-05,MOEX,62
2013-12-06,MOEX,63.3
2013-12-09,MOEX,63.03
