TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-07-08,,,,,0,0
2013-07-09,,,,,0,0
2013-07-10,,,,,0,0
2013-07-11,,,,,0,0
2013-07-12,,,,,0,0
2013-07-15,,,,,0,0
2013-07-16,,,,,0,0
2013-07-17,,,,,0,0
2013-07-18,,,,,0,0
2013-07-19,,,,,0,0
2013-07-22,,,,,0,0
2013-07-23,,,,,0,0
2013-07-24,,,,,0,0
2013-07-25,,,,,0,0
2013-07-26,,,,,0,0
2013-07-29,,,,,0,0
2013-07-30,,,,,0,0
2013-07-31,,,,,0,0
2013-08-01,1.001,1.001,1.001,1.001,1,1000
2013-08-02,,,,,0,0
2013-08-05,,,,,0,0
2013-08-06,,,,,0,0
2013-08-07,,,,,0,0
2013-08-08,,,,,0,0
2013-08-09,,,,,0,0
2013-08-12,,,,,0,0
2013-08-13,,,,,0,0
2013-08-14,,,,,0,0
2013-08-15,,,,,0,0
2013-08-16,,,,,0,0
2013-08-19,1.0005,1.0005,1.0005,1.0005,1,1000
2013-08-20,1.1148,0.7811,1.1148,1.1097,28,192000
2013-08-21,1.4441,1.0119,1.4441,1.4441,3,3000
2013-08-22,,,,,0,0
2013-08-23,,,,,0,0
2013-08-26,1.135,1.135,1.135,1.135,1,1000
2013-08-27,,,,,0,0
2013-08-28,1.15,1.15,1.15,1.15,1,1000
2013-08-29,,,,,0,0
2013-08-30,1.0918,1.0918,1.0918,1.0918,1,1000
2013-09-02,1.0909,1.0808,1.1185,1.0808,606,5526000
2013-09-03,1.09,1.0646,1.0994,1.0936,970,10279000
2013-09-04,1.0863,1.0825,1.0986,1.0844,1704,6430000
2013-09-05,1.093,1.075,1.0931,1.088,879,14547000
2013-09-06,1.089,1.064,1.09,1.0704,1247,15407000
2013-09-09,1.083,1.0773,1.0984,1.0935,1124,13983000
2013-09-10,1.1035,1.0851,1.12,1.1147,1703,21052000
2013-09-11,1.1199,1.1035,1.1349,1.1203,995,29596000
2013-09-12,1.121,1.0835,1.126,1.084,1283,17495000
2013-09-13,1.0806,1.08,1.093,1.0849,695,17868000
2013-09-16,1.0956,1.0722,1.0977,1.0967,1801,11224000
2013-09-17,1.0953,1.0802,1.0955,1.0831,1136,10021000
2013-09-18,1.082,1.0752,1.092,1.0849,1011,14147000
2013-09-19,1.0951,1.085,1.0987,1.0897,963,14116000
2013-09-20,1.0892,1.0832,1.096,1.0918,503,5453000
2013-09-23,1.0883,1.0708,1.0939,1.0739,1055,15652000
2013-09-24,1.0705,1.068,1.0759,1.0708,398,10988000
2013-09-25,1.0577,1.0577,1.088,1.0731,1647,47828000
2013-09-26,1.0791,1.0705,1.083,1.077,492,11954000
2013-09-27,1.1069,1.06,1.1069,1.064,664,24730000
2013-09-30,1.0635,1.037,1.064,1.0378,792,13691000
