TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-07-08,265.13,265.13,265.13,265.13,1,100
2013-07-09,,,,,0,0
2013-07-10,262.5,261.5,262.5,261.5,8,650
2013-07-11,,,,,0,0
2013-07-12,269,269,270,270,6,450
2013-07-15,273.6,271,273.6,271,3,400
2013-07-16,,,,,0,0
2013-07-17,267,267,275,273.6,6,450
2013-07-18,,,,,0,0
2013-07-19,270.32,270.03,271.53,270.03,5,450
2013-07-22,268.04,268.04,274.99,274.44,6,700
2013-07-23,,,,,0,0
2013-07-24,,,,,0,0
2013-07-25,282,282,283,283,15,5500
2013-07-26,,,,,0,0
2013-07-29,283,277.01,283,277.01,2,510
2013-07-30,278,278,279.79,278.6,37,16120
2013-07-31,276,272.1,279,275,49,5930
2013-08-01,279.99,279.99,282,282,10,1360
2013-08-02,281.9,281.7,286.49,286.49,13,4010
2013-08-05,,,,,0,0
2013-08-06,282.12,282.12,282.12,282.12,1,10
2013-08-07,,,,,0,0
2013-08-08,285,285,285.2,285.2,2,40
2013-08-09,290.4,290.4,290.4,290.4,11,4000
2013-08-12,,,,,0,0
2013-08-13,,,,,0,0
2013-08-14,294,294,295.49,295.49,2,400
2013-08-15,,,,,0,0
2013-08-16,284.27,284.26,285.7,285.7,5,880
2013-08-19,282.6,282.6,322,289.5,7,1340
2013-08-20,,,,,0,0
2013-08-21,297,297,298.4,298.4,3,540
2013-08-22,303.3,295.65,338,303.27,51,2570
2013-08-23,297.75,296.01,297.75,296.01,3,200
2013-08-26,303.32,298,303.33,300,4,300
2013-08-27,299,293.51,299.57,293.51,17,2940
2013-08-28,288.12,285,290.3,289.99,15,1070
2013-08-29,287,285.02,294.98,286.01,17,3610
2013-08-30,289.9,288,289.9,288,2,110
2013-09-02,290.4,282.7,293.89,283.01,3948,858920
2013-09-03,284.02,283.2,288.35,286,6184,1262180
2013-09-04,285,282.81,289,282.96,3958,1144650
2013-09-05,283.38,282.61,296.51,295,8241,2610880
2013-09-06,295.03,293.97,300.89,297.1,8654,1961150
2013-09-09,297.55,297.01,300.78,300.55,5627,1211130
2013-09-10,301,297.77,301.39,299.04,6819,2209760
2013-09-11,299.75,296.31,301,298.53,3905,1033210
2013-09-12,297.71,295,300.31,298.4,5304,1167800
2013-09-13,298.52,295.11,303.35,299.98,4885,1263890
2013-09-16,297.11,297.11,311.81,308.2,11019,3527720
2013-09-17,308.54,305.55,308.54,307.95,3601,1078420
2013-09-18,305.95,305.71,309.77,308.36,5495,1689590
2013-09-19,310.47,310.14,314.88,313.5,11529,3059660
2013-09-20,313.11,310.1,313.32,311.8,4373,1413830
2013-09-23,311.3,306,311.55,307.13,4675,1652000
2013-09-24,305.6,305.14,311,311,5642,1541980
2013-09-25,310.85,308.9,316.46,316.32,7574,1983000
2013-09-26,317.9,314.62,321.3,319.5,7333,2053420
2013-09-27,319.94,317.01,321.99,321.05,5885,1417270
2013-09-30,319.45,319,323.49,323,7930,1174590
2013-10-01,324.62,322,328.48,327.96,6463,1629450
2013-10-02,328,323.51,329.21,324,8505,2074890
2013-10-03,325.5,321.01,325.69,324.24,4708,1246790
2013-10-04,324.04,323.34,328.75,327.92,4520,1028910
2013-10-07,327.91,326.6,330.91,330.06,5174,1288290
2013-10-08,330.03,328,332.5,329.97,6564,1572640
2013-10-09,328.84,327.5,330.5,328.9,6344,1719110
2013-10-10,328.74,328.74,334.44,333.73,10066,1168470
2013-10-11,333.77,331,336.51,336.21,4621,953520
2013-10-14,336.21,334.06,338,336.8,4056,1419020
2013-10-15,337.5,337.5,346,344.8,9553,2094080
2013-10-16,345,341.51,353.77,351.5,9289,1607710
2013-10-17,353.47,339,353.5,343,7078,1641740
2013-10-18,344.08,337.59,349.51,348.5,8254,1759270
2013-10-21,349.04,340.35,349.8,341,5553,1213640
2013-10-22,339.01,338.6,348.88,345.39,4903,1440030
2013-10-23,345,338.1,345,338.5,4749,1146630
2013-10-24,338.5,336,342.88,339.21,6144,1719590
2013-10-25,339.15,335,340.97,336.39,5051,1197780
2013-10-28,337.01,333.63,340.58,337.8,5531,1440220
2013-10-29,337,335.29,341.84,341.54,3728,805170
2013-10-30,341.04,337.5,344.23,339.97,6525,1722940
2013-10-31,338.37,335.1,340,340,6347,1801640
2013-11-01,338.7,336.67,339.49,338.4,4426,1063960
2013-11-05,339.93,334,339.93,335.27,3270,632550
2013-11-06,335.6,328.79,336.01,329.53,9070,1819520
2013-11-07,328.36,325.5,331.99,330.09,6071,1891250
2013-11-08,326,323.8,329.71,328.69,5814,1250410
2013-11-11,329.05,325.25,331.38,326,3051,795020
2013-11-12,326.01,321.21,326.9,326.09,6140,1550370
2013-11-13,325,315.73,325.25,318,7128,1602590
2013-11-14,321,320,325.91,320.03,5024,1531070
2013-11-15,322,321.56,329.25,326.35,5773,1903430
2013-11-18,327.27,326.5,331.46,329.03,4266,985860
2013-11-19,329.02,326.74,331.27,329.5,4310,998630
2013-11-20,328.25,320.2,328.44,321.5,8819,1379110
2013-11-21,319.95,313.57,321.74,314.56,8804,1505950
2013-11-22,317.3,310.4,318.27,317.99,9496,2132790
2013-11-25,318.49,313,323,314,5335,1624440
2013-11-26,314.42,311.1,319.88,318.05,10340,1770820
2013-11-27,318.09,310.2,318.99,310.2,6152,1163270
2013-11-28,311.9,309.01,313.94,310.5,4729,1186030
2013-11-29,310.5,308,313.98,313.05,6974,1091960
2013-12-02,313.08,310.01,314.94,312.12,4456,974640
2013-12-03,311.52,301.4,312.58,309.06,11193,2633810
2013-12-04,309.1,306.5,309.74,308.28,8020,2981190
2013-12-05,308.13,305,310.35,305,7237,1925900
2013-12-06,305.1,304.24,319.2,317.53,11551,2784830
2013-12-09,317.87,315.01,326,324.83,8984,3160510
2013-12-10,324.64,320,324.64,320.61,6548,2245890
2013-12-11,320.31,316.4,324.91,322.47,6149,1945460
2013-12-12,318,314.1,320.98,317.01,9143,2344530
2013-12-13,315.81,315.56,322,319.51,6158,1787420
2013-12-16,318.53,318.14,323.6,320.49,11138,2581510
2013-12-17,319.58,319.51,322.01,319.64,7132,2060120
2013-12-18,320,318.2,321.8,319.02,10338,1806120
2013-12-19,321.99,321,328.99,324.31,9425,2175810
2013-12-20,324.18,322.12,325.5,324.2,6229,1401360
2013-12-23,324.2,324.2,330,329.49,5713,1564430
2013-12-24,329,327.01,329.49,329.06,2244,588860
2013-12-25,329.53,325.02,329.8,325.28,2655,778440
2013-12-26,317.75,317.75,327.6,327.6,2272,844290
2013-12-27,327.6,324.11,327.6,326.1,1974,522860
2013-12-30,325.05,323.01,329,328.29,3243,775700
2014-01-06,322.19,313.66,325.45,315.02,9584,1595690
2014-01-08,315.51,311.6,317.95,314.63,6452,1150950
2014-01-09,314.92,311.61,317.2,312.04,5802,1172270
2014-01-10,311.52,304.41,314.43,313.43,13484,2447770
2014-01-13,312,311.1,323.3,317.08,8926,2471820
2014-01-14,315.9,309.27,315.9,314.51,17529,2383710
2014-01-15,315.42,312.1,321.58,317.95,8348,1880460
2014-01-16,318.59,310.85,319.5,312.6,7366,1843310
2014-01-17,312.56,310.41,316.16,311.28,8590,2166260
2014-01-20,310,305.72,313.28,312.09,11926,1359680
2014-01-21,313.45,312.11,315.39,312.17,4877,1020390
2014-01-22,312.4,306.23,312.4,307.31,6415,2391790
2014-01-23,307.31,306.12,308.68,307.52,5723,1392490
2014-01-24,305.73,301.4,308.99,305.6,10695,3080730
2014-01-27,303.4,297.16,305.84,298.75,13831,4037270
2014-01-28,298.72,297.38,304.3,299.5,7818,2147280
2014-01-29,300.9,291.2,304.21,293.02,10147,3730470
2014-01-30,293.02,289.1,295.8,291.29,23296,2774920
2014-01-31,297.18,285.55,297.18,287.87,7620,1752000
2014-02-03,289.46,285.55,291.2,289.03,8624,2523080
2014-02-04,287.29,286.06,302.48,296.98,14728,4356690
2014-02-05,297.99,294,302.48,297.99,12313,3581400
2014-02-06,297.95,295.7,304,296,10121,2682040
2014-02-07,297.69,297.41,301.73,299,7435,2216450
2014-02-10,299.1,298.68,303.72,299.55,5148,1375100
2014-02-11,299.98,299.5,305.2,302.5,9344,2058100
2014-02-12,305,301.5,305.88,303.1,5609,1539580
2014-02-13,301.99,294.07,302.12,294.72,12869,2325910
2014-02-14,295.4,295.3,298.36,296.4,5254,1623570
2014-02-17,296.85,296.68,300.04,297.34,6253,1347820
2014-02-18,297.91,293.51,299.4,295.5,7721,2128080
2014-02-19,294.28,287.01,296.32,287.39,13384,3524400
2014-02-20,285,281.29,285.44,282.01,13051,4443170
2014-02-21,284.54,283.5,288.89,285.59,8520,2390770
2014-02-24,285.54,283.03,288.1,285.54,6016,1568550
2014-02-25,285.98,279.03,287,281.79,13467,2606070
2014-02-26,283.13,275.7,283.18,276.21,13018,3060850
2014-02-27,277.21,263.2,279.55,271.39,19543,5053350
2014-02-28,272.51,267.37,277,276.2,14652,3039390
2014-03-03,260.19,228.12,264,239.63,28127,9753250
