TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2014-06-09,49.59,49.09,49.74,49.42,3275,1740420
2014-06-10,49.35,47.78,49.35,48.6,5341,2858080
2014-06-11,48.56,48.2,49.25,48.33,4227,1747920
2014-06-16,47.9,46.83,48.94,48.3,11135,5256360
2014-06-17,48.3,47.61,48.89,48.39,4507,2565250
2014-06-18,48.53,48.2,49.5,49.17,5174,2450060
2014-06-19,49.6,48.7,50.3,48.97,4796,2394930
2014-06-20,49.17,47.8,49.17,47.8,3186,1778640
2014-06-23,48,46.29,48.32,46.85,4397,2543640
2014-06-24,47.02,46.81,47.6,47.46,4522,2674080
2014-06-25,47.32,45.65,47.32,45.8,4413,2119910
2014-06-26,46.03,45.52,46.2,45.75,3541,1407260
2014-06-27,45,44.9,47,47,5353,2929670
2014-06-30,47.33,46.41,47.67,47.38,4499,2318460
2014-07-01,47.29,46.9,47.9,47.72,3568,1775530
2014-07-02,47.72,47.6,48.99,48.8,7514,3193780
2014-07-03,48.57,48.57,49.87,49.69,6027,3029540
2014-07-04,49.69,48.66,49.96,49.09,6454,2445850
2014-07-07,49.14,48.7,50.3,50.1,5299,2148360
2014-07-08,50.42,49.62,50.92,49.97,7128,2735300
2014-07-09,49.92,49.3,50.45,49.53,5156,1785330
2014-07-10,49.58,48.01,50,48.4,7752,3045780
2014-07-11,48.46,48.06,48.98,48.9,4796,1700610
2014-07-14,48.86,48.45,49.42,48.9,3778,1241680
2014-07-15,48.9,48.6,50.13,49.47,5198,2223530
2014-07-16,49.44,49.21,50.7,49.99,5962,2633430
2014-07-17,50,49.05,50,49.9,6239,2905070
2014-07-18,49.18,48.53,49.6,48.79,4445,1923620
2014-07-21,48.9,46.28,48.91,46.28,5815,2743290
2014-07-22,46.55,46.55,48.27,47.72,5266,2558050
2014-07-23,47.86,47.11,48.45,47.36,3592,1454180
2014-07-24,47.04,46.8,48,47.92,2965,1179190
2014-07-25,47.86,46.9,47.86,47.27,3975,1688440
2014-07-28,47.34,45.8,47.47,46.2,3818,1670640
2014-07-29,46.35,46.23,47.85,47.65,4663,2063050
2014-07-30,47.25,47.22,49.45,47.6,5253,2236890
2014-07-31,47.53,47.5,48.73,47.5,4417,1930820
2014-08-01,47.51,46.57,47.73,47.3,4156,1456370
2014-08-04,47.41,47.39,48.14,47.73,3184,1906860
2014-08-05,47.8,47,48.03,47,2129,903880
2014-08-06,46.91,46.13,47.95,46.62,4975,2267070
2014-08-07,46.42,46.23,47.83,46.83,5465,3224810
2014-08-08,46.84,46.63,48.69,48.32,5350,2360780
2014-08-11,48.53,48.52,50.5,49.5,4204,2079710
2014-08-12,49.14,48.6,49.74,48.99,3149,1330410
2014-08-13,48.89,48.71,51.35,51.33,5429,3244390
2014-08-14,51.75,50.46,51.87,50.81,5708,3144340
2014-08-15,50.5,50.36,51.62,51.4,3757,1512450
2014-08-18,51,50.63,51.61,51.28,3152,1629420
2014-08-19,51.29,51.29,53,52.83,3851,1775460
2014-08-20,52.97,52.52,54,53.93,4494,2038350
2014-08-21,54,53.34,54.54,53.9,5936,2843590
2014-08-22,53.58,53.09,54.1,54.1,3529,1927700
2014-08-25,54,53.66,54.73,54.29,2493,1105340
2014-08-26,54.25,53.7,54.43,53.83,2213,973870
