TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-03-25,,,,,0,0
2013-03-26,,,,,0,0
2013-03-27,,,,,0,0
2013-03-28,,,,,0,0
2013-03-29,,,,,0,0
2013-04-01,,,,,0,0
2013-04-02,,,,,0,0
2013-04-03,,,,,0,0
2013-04-04,,,,,0,0
2013-04-05,,,,,0,0
2013-04-08,,,,,0,0
2013-04-09,,,,,0,0
2013-04-10,317.74,317.74,317.74,317.74,1,30
2013-04-11,,,,,0,0
2013-04-12,,,,,0,0
2013-04-15,,,,,0,0
2013-04-16,,,,,0,0
2013-04-17,310,310,310,310,3,1000
2013-04-18,,,,,0,0
2013-04-19,,,,,0,0
2013-04-22,,,,,0,0
2013-04-23,,,,,0,0
2013-04-24,,,,,0,0
2013-04-25,,,,,0,0
2013-04-26,,,,,0,0
2013-04-29,,,,,0,0
2013-04-30,,,,,0,0
2013-05-02,,,,,0,0
2013-05-03,,,,,0,0
2013-05-06,,,,,0,0
2013-05-07,,,,,0,0
2013-05-08,,,,,0,0
2013-05-10,,,,,0,0
2013-05-13,,,,,0,0
2013-05-14,310,310,310,310,1,10
2013-05-15,,,,,0,0
2013-05-16,,,,,0,0
2013-05-17,,,,,0,0
2013-05-20,277.72,277.72,277.72,277.72,1,350
2013-05-21,307,307,307,307,5,350
2013-05-22,,,,,0,0
2013-05-23,,,,,0,0
2013-05-24,293,293,293,293,1,10
2013-05-27,,,,,0,0
2013-05-28,,,,,0,0
2013-05-29,,,,,0,0
2013-05-30,,,,,0,0
2013-05-31,,,,,0,0
2013-06-03,,,,,0,0
2013-06-04,,,,,0,0
2013-06-05,,,,,0,0
2013-06-06,,,,,0,0
2013-06-07,,,,,0,0
2013-06-10,,,,,0,0
2013-06-11,,,,,0,0
2013-06-13,,,,,0,0
2013-06-14,,,,,0,0
2013-06-17,,,,,0,0
2013-06-18,,,,,0,0
2013-06-19,,,,,0,0
2013-06-20,,,,,0,0
2013-06-21,,,,,0,0
2013-06-24,350,349,365.68,349,3,50
2013-06-25,317.58,317.58,340,323.02,3,40
2013-06-26,311.5,311.5,311.5,311.5,1,10
2013-06-27,,,,,0,0
2013-06-28,,,,,0,0
2013-07-01,,,,,0,0
2013-07-02,,,,,0,0
2013-07-03,,,,,0,0
2013-07-04,,,,,0,0
2013-07-05,,,,,0,0
2013-07-08,,,,,0,0
2013-07-09,,,,,0,0
2013-07-10,,,,,0,0
2013-07-11,,,,,0,0
2013-07-12,,,,,0,0
2013-07-15,362,361,366,365,27,270
2013-07-16,,,,,0,0
2013-07-17,368,365,368,365,2,290
2013-07-18,366,365.01,366,365.01,2,150
2013-07-19,,,,,0,0
2013-07-22,355.01,355.01,355.69,355.69,3,100
2013-07-23,360.94,360.94,360.94,360.94,1,60
2013-07-24,,,,,0,0
2013-07-25,,,,,0,0
2013-07-26,,,,,0,0
2013-07-29,,,,,0,0
2013-07-30,,,,,0,0
2013-07-31,,,,,0,0
2013-08-01,,,,,0,0
2013-08-02,361,361,361,361,1,60
2013-08-05,,,,,0,0
2013-08-06,,,,,0,0
2013-08-07,341,341,341,341,1,40
2013-08-08,,,,,0,0
2013-08-09,,,,,0,0
2013-08-12,348.4,347.87,352.4,349,4,850
2013-08-13,,,,,0,0
2013-08-14,,,,,0,0
2013-08-15,,,,,0,0
2013-08-16,,,,,0,0
2013-08-19,359,359,359,359,2,200
2013-08-20,,,,,0,0
2013-08-21,,,,,0,0
2013-08-22,,,,,0,0
2013-08-23,367,367,367,367,1,100
2013-08-26,,,,,0,0
2013-08-27,364.77,364.77,365.4,365.4,7,3060
2013-08-28,,,,,0,0
2013-08-29,391.97,359.77,391.97,365,7,350
2013-08-30,363.33,358.02,363.33,361.02,5,200
2013-09-02,362,359.51,364,362.09,2773,298560
2013-09-03,363.27,362.55,372.53,369.33,6229,723620
2013-09-04,371.18,367.57,373.74,373.09,7983,652040
2013-09-05,374,372.46,389.5,388.77,7870,2167020
2013-09-06,389.05,385.51,394.48,387.46,6466,1391350
2013-09-09,385.9,383.3,392.26,386.96,9000,1142020
2013-09-10,388.13,380.35,391.97,385.3,5765,1208670
2013-09-11,385.62,385,393.93,392.7,6553,1319160
2013-09-12,394.82,388.07,394.97,393.17,4351,850910
2013-09-13,391.35,381.11,393,385,6063,1073760
2013-09-16,385,385,394.9,391.65,11788,2615200
2013-09-17,389.05,389.05,393.59,392.13,3079,729000
2013-09-18,395.03,386.99,395.03,387.97,4191,1231650
2013-09-19,393.55,383.8,397.99,386.03,10840,2190000
2013-09-20,383.59,379.05,389.47,379.5,5189,1005410
2013-09-23,379.01,372.99,380,373.1,5232,1207860
2013-09-24,373.03,372.54,378.9,377.83,4271,1033460
2013-09-25,377.83,375.04,382.5,379.81,4439,617790
2013-09-26,382.44,381.11,387.69,386,6023,1080770
2013-09-27,388.43,380.26,388.43,382.92,4218,552800
2013-09-30,382.41,381,387,386.01,3766,733770
2013-10-01,385.08,381.51,388.35,382.56,3641,473800
2013-10-02,382.56,372.96,385.66,373.2,6606,1146910
2013-10-03,375.53,372.16,378.92,376,4371,647940
2013-10-04,376.15,373.07,379.99,379.75,3039,419530
