TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2020-11-24,2674.5,2674.5,3192.5,3033,106028,1751752
2020-11-25,3102,2888,3282,2954,99257,1285058
2020-11-26,3002,2900.5,3002,2944,22603,194320
2020-11-27,2967.5,2913,3082,3025,24688,336314
2020-11-30,2999.5,2967.5,3140,3071,20002,210260
2020-12-01,3048,3000.5,3097,3059.5,15295,150540
2020-12-02,3030,3003,3230,3184,16661,264443
2020-12-03,3120.5,3085.5,3649,3614.5,75694,914180
2020-12-04,3566.5,3428.5,3984,3556,102182,1103055
2020-12-07,3570,3351.5,3675,3422,45127,404941
2020-12-08,3425,3260,3495,3471,31444,320213
2020-12-09,3549.5,3300,3600,3301,44725,450862
2020-12-10,3349.5,3267.5,3380,3294,23365,230675
2020-12-11,3300,3106,3340,3164.5,26042,249633
2020-12-14,3195,3012.5,3238,3069,32920,315680
2020-12-15,3094,3040.5,3208.5,3201,21346,186180
2020-12-16,3215,3168,3369,3357,24037,270373
2020-12-17,3339,3181.5,3398.5,3211.5,21397,248005
2020-12-18,3200.5,3119.5,3296,3264.5,24144,275422
2020-12-21,3283,3178,3346.5,3264,29584,335810
2020-12-22,3263,3209,3415,3231,33255,424456
2020-12-23,3265,3131,3270,3222,25682,318660
2020-12-24,3220,3108,3243,3149,17663,193821
2020-12-25,3152.5,3130,3164,3150.5,5693,44910
2020-12-28,3168,3142.5,3290.5,3290,21483,276042
2020-12-29,3293,3170,3327.5,3232,18248,208916
2020-12-30,3241,3202,3348,3289.5,17179,220590
2021-01-04,3269.5,2996,3278,3229.5,28291,363380
2021-01-05,3239,3209.5,3380.5,3348.5,20192,281386
2021-01-06,3345,3220,3369.5,3257,15032,156698
2021-01-08,3325,3270,3500,3376.5,31008,414915
2021-01-11,3365,3330,3426,3382,15891,143916
2021-01-12,3375,3345,3572,3530.5,28465,316288
2021-01-13,3501.5,3460,3600,3491,18884,192042
2021-01-14,3527.5,3460.5,3696,3636.5,25702,286347
2021-01-15,3620,3485,4002.5,3805.5,33987,423632
2021-01-18,3815,3722.5,3839.5,3795,14530,126271
2021-01-19,3874.5,3814.5,4150,3972,38738,526867
2021-01-20,3943.5,3943.5,4190,4001,38906,461149
2021-01-21,4025,3872.5,4199,4057,36658,416744
2021-01-22,4069.5,3850,4165,3980,34686,472816
2021-01-25,3999.5,3930,4189,4014.5,30912,367099
2021-01-26,4025,3900,4089,3901,25358,271878
2021-01-27,3929.5,3532.5,3952,3560.5,49178,639444
2021-01-28,3585,3512.5,3881.5,3846,45138,596055
2021-01-29,3815.5,3568,3869,3662,23794,322851
2021-02-01,3700,3678,3877,3867.5,21828,267601
2021-02-02,3880,3877.5,4045,4016,28215,343341
2021-02-03,4002,3978,4064,4023,16182,183970
2021-02-04,4025,3991.5,4186.5,4185.5,27998,336131
2021-02-05,4200,4190,4667,4650,58953,562715
2021-02-08,4680.5,4680,5086.5,4969,90792,866315
2021-02-09,5025,4650,5181,4665,79628,741529
2021-02-10,4642.5,4642.5,4977.5,4883,60413,586491
2021-02-11,4930,4700,4962,4726.5,29023,283344
2021-02-12,4760,4536,4821,4753,27785,305281
2021-02-15,4797,4676,4891,4739,24299,229898
2021-02-16,4764,4654,4844,4765,26035,318557
2021-02-17,4751,4400,4847,4420,80981,1180629
2021-02-18,4503,4486.5,4657,4573.5,52635,721095
2021-02-19,4575,4492,4949,4884.5,36667,468481
2021-02-20,4840.5,4770,4932,4864,11532,90264
2021-02-22,4884,4755.5,5022,4938,29503,306439
2021-02-24,4775,4512.5,4818,4557.5,37113,515119
2021-02-25,4566.5,4275,4697.5,4330,36628,439450
2021-02-26,4349.5,4200,4525,4480,34706,408891
2021-03-01,4467,4444.5,4739,4703.5,21412,238493
2021-03-02,4690,4602,4811,4602,24748,307563
2021-03-03,4640,4482,4736,4490.5,26782,336771
2021-03-04,4497.5,4079.5,4543.5,4226.5,43848,536341
2021-03-05,4210,3882,4290,4073,46545,568563
2021-03-09,3913,3743,3948.5,3831,55851,678227
2021-03-10,3885,3824,4023,3844,46256,583088
2021-03-11,3865,3851,4085,4064,28085,360453
2021-03-12,4062.5,3960.5,4155,4114,34266,524088
2021-03-15,4178,4144.5,4266,4201,26739,356891
2021-03-16,4226,4060,4258,4147.5,23364,283888
2021-03-17,4147.5,3981,4219,4170,23993,284018
