TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-07-08,,,,,0,0
2013-07-09,,,,,0,0
2013-07-10,,,,,0,0
2013-07-11,,,,,0,0
2013-07-12,,,,,0,0
2013-07-15,,,,,0,0
2013-07-16,,,,,0,0
2013-07-17,,,,,0,0
2013-07-18,,,,,0,0
2013-07-19,,,,,0,0
2013-07-22,,,,,0,0
2013-07-23,,,,,0,0
2013-07-24,,,,,0,0
2013-07-25,,,,,0,0
2013-07-26,,,,,0,0
2013-07-29,,,,,0,0
2013-07-30,,,,,0,0
2013-07-31,,,,,0,0
2013-08-01,,,,,0,0
2013-08-02,,,,,0,0
2013-08-05,,,,,0,0
2013-08-06,,,,,0,0
2013-08-07,,,,,0,0
2013-08-08,,,,,0,0
2013-08-09,,,,,0,0
2013-08-12,,,,,0,0
2013-08-13,,,,,0,0
2013-08-14,623.9,623.9,623.9,623.9,1,2
2013-08-15,621.7,621.7,1371.8,1371.8,6,30
2013-08-16,,,,,0,0
2013-08-19,,,,,0,0
2013-08-20,,,,,0,0
2013-08-21,,,,,0,0
2013-08-22,,,,,0,0
2013-08-23,,,,,0,0
2013-08-26,,,,,0,0
2013-08-27,,,,,0,0
2013-08-28,,,,,0,0
2013-08-29,,,,,0,0
2013-08-30,,,,,0,0
2013-09-02,995,922,995,929.9,155,4587
2013-09-03,929.9,918.1,935.9,928,480,17285
2013-09-04,817.6,817.6,944.7,937.7,354,10996
2013-09-05,930,930,947,946.8,411,4909
2013-09-06,944.1,930.3,948.8,944.9,730,10736
2013-09-09,931,928,955,932,943,11373
2013-09-10,938.8,930.7,959.9,951,597,7878
2013-09-11,954.8,930,958,938.5,611,7706
2013-09-12,944.7,921.5,944.8,935.3,407,5304
2013-09-13,782.9,782.9,964.7,949,512,8824
2013-09-16,944.4,938.5,989.5,976.9,3144,23038
2013-09-17,973.1,960.9,981.9,962,336,11383
2013-09-18,953.1,953.1,973,955,257,8940
2013-09-19,977.5,952,984,957.9,597,12639
2013-09-20,951,951,980,965,894,7945
2013-09-23,965,933.3,980,944.8,307,4557
2013-09-24,941.8,940.5,959,957.5,258,7192
2013-09-25,950.2,940.4,959.8,955.2,305,3863
2013-09-26,957.4,948.2,979,976.3,604,9472
2013-09-27,966.2,958.9,979.6,976.7,536,17451
2013-09-30,972.9,968.8,978.8,969.3,291,3953
2013-10-01,967,966.7,997.8,988.9,376,3622
2013-10-02,986,954.7,993.6,966,817,9962
2013-10-03,966.7,959.8,978.6,964,725,8087
2013-10-04,969.7,960.2,977.7,977.6,267,4240
2013-10-07,979.8,967,981.8,967.1,308,2162
2013-10-08,971.5,968.2,1005.7,983.6,576,26794
2013-10-09,980.4,979,1003,998.5,379,3321
2013-10-10,997.1,997,1039.3,1023,1187,23668
2013-10-11,1029,1000,1070,1020,548,10852
