TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-07-08,,,,,0,0
2013-07-09,,,,,0,0
2013-07-10,,,,,0,0
2013-07-11,,,,,0,0
2013-07-12,,,,,0,0
2013-07-15,,,,,0,0
2013-07-16,,,,,0,0
2013-07-17,,,,,0,0
2013-07-18,,,,,0,0
2013-07-19,,,,,0,0
2013-07-22,,,,,0,0
2013-07-23,,,,,0,0
2013-07-24,,,,,0,0
2013-07-25,,,,,0,0
2013-07-26,,,,,0,0
2013-07-29,,,,,0,0
2013-07-30,,,,,0,0
2013-07-31,,,,,0,0
2013-08-01,,,,,0,0
2013-08-02,,,,,0,0
2013-08-05,,,,,0,0
2013-08-06,,,,,0,0
2013-08-07,,,,,0,0
2013-08-08,,,,,0,0
2013-08-09,,,,,0,0
2013-08-12,,,,,0,0
2013-08-13,,,,,0,0
2013-08-14,,,,,0,0
2013-08-15,,,,,0,0
2013-08-16,,,,,0,0
2013-08-19,,,,,0,0
2013-08-20,,,,,0,0
2013-08-21,,,,,0,0
2013-08-22,,,,,0,0
2013-08-23,,,,,0,0
2013-08-26,,,,,0,0
2013-08-27,,,,,0,0
2013-08-28,,,,,0,0
2013-08-29,,,,,0,0
2013-08-30,,,,,0,0
2013-09-02,64.8,63.52,65,64.07,415,68460
2013-09-03,63.63,63.2,65.3,63.42,318,25100
2013-09-04,63.37,62.1,63.37,62.69,231,74880
2013-09-05,62.94,62.5,63.45,63.44,213,58120
2013-09-06,66.7,62.51,66.7,62.51,413,50660
2013-09-09,62.87,62.62,65,63.16,683,49620
2013-09-10,63.98,63.09,65.93,63.84,705,60670
2013-09-11,63.58,63,64.08,63.01,362,54270
2013-09-12,63.01,62.07,63.84,63.71,398,49030
2013-09-13,63.8,62.54,64.5,63.97,365,45670
2013-09-16,64.32,63.49,65.83,64.55,2446,287790
2013-09-17,64.99,63.77,65.25,64.09,228,20270
2013-09-18,63.67,62.68,64.01,63.68,963,138740
2013-09-19,63.23,63,63.8,63.02,632,202290
2013-09-20,63.44,62.74,63.44,63.17,361,71280
2013-09-23,64.98,62.23,64.98,62.52,225,41270
2013-09-24,62.61,59.59,62.98,62.2,724,120160
2013-09-25,62.1,61.55,63.51,63.3,1331,1076960
2013-09-26,63.29,63.29,65,64.27,593,309480
2013-09-27,64.27,63.63,64.47,64.41,429,179700
2013-09-30,63.96,63.57,64.55,63.73,232,141040
2013-10-01,63.69,63.69,64.37,64.15,167,210980
2013-10-02,63.95,63.5,64.33,63.5,312,84050
2013-10-03,63.1,62.99,64.1,63,255,284220
2013-10-04,63.47,63.11,64.4,64,254,207610
2013-10-07,63.34,63,64.92,63.61,330,218460
2013-10-08,64.08,63.41,64.3,63.8,300,138170
2013-10-09,63.67,63.14,64.44,64.3,443,118870
2013-10-10,63.86,63.11,64.44,63.35,560,93190
