TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2014-06-09,514.7,510.1,514.9,511.6,323,7686
2014-06-10,513.3,504,513.9,507,631,11410
2014-06-11,508,507,525,512.8,631,24528
2014-06-16,477.6,477.6,525,517,570,13178
2014-06-17,549,512,549,513.1,339,7502
2014-06-18,513.1,507.4,513.3,511.2,558,13739
2014-06-19,511.5,502.5,515,502.5,938,37300
2014-06-20,505,501,513,504.6,1869,40861
2014-06-23,505,501,508.9,502,506,12107
2014-06-24,509,493,509,499.7,910,26728
2014-06-25,502,481.1,502,484.8,1532,43112
2014-06-26,484.8,473.3,489.9,478.9,1280,44231
2014-06-27,479.8,477.8,488,483,594,13604
2014-06-30,487.1,477.1,487.1,482,382,5049
2014-07-01,478.8,478.8,487.4,485.2,478,18706
2014-07-02,493.1,480,493.1,482,373,10889
2014-07-03,483.2,478,484.8,479.7,479,10749
2014-07-04,478.1,475,481.7,478,417,8652
2014-07-07,480.7,475.3,481.4,481.3,426,7128
2014-07-08,482.8,479.3,484,480.1,420,10475
2014-07-09,480.6,476.2,481.6,481.2,318,4176
2014-07-10,480.4,476.4,481.9,477.2,525,11920
2014-07-11,478.5,476.6,479.6,477.2,201,3126
2014-07-14,527.3,472,527.3,473,466,9688
2014-07-15,472.1,454,474.5,465.9,1177,34082
2014-07-16,462.8,462.2,506.5,506,1647,85087
2014-07-17,500.1,481.1,524,524,2118,62470
2014-07-18,521.8,513,541.5,519.9,1739,47762
2014-07-21,516.4,495,528.8,496,965,22948
2014-07-22,505.1,490,505.1,504.7,505,9839
2014-07-23,507.6,504.5,515,515,485,15225
2014-07-24,511.7,490.1,515,500.8,474,12757
2014-07-25,503.8,497.5,504.8,500.5,221,3343
2014-07-28,493.3,489.4,508.4,490.4,540,10875
2014-07-29,493.6,480,493.6,489.7,590,8208
2014-07-30,489.9,480.2,491.6,481.2,487,4902
2014-07-31,481.6,478,487.9,482.1,453,6359
2014-08-01,480,478.4,483.7,481.5,341,8050
2014-08-04,480.2,480,487.8,485.5,308,4330
2014-08-05,490,482.5,490,488,253,2959
2014-08-06,485.6,480,498,496.5,514,6395
2014-08-07,496.2,480,498.8,485.6,569,12848
2014-08-08,487.9,485,492,489.1,238,4971
2014-08-11,489.6,489.6,504.9,495.4,375,6491
2014-08-12,496,490,496,490,246,2663
2014-08-13,489.1,489.1,497.5,497.5,246,4522
2014-08-14,496.5,491.3,496.5,496,183,3580
2014-08-15,495.9,490.1,496,492.9,234,8129
2014-08-18,494.8,488.1,495.9,489,177,2278
2014-08-19,489.1,487,492.5,488.7,196,3761
2014-08-20,500.3,490,500.3,494.5,190,4121
2014-08-21,479.9,479.9,496.6,493,250,5076
2014-08-22,491.4,490.2,503,496,280,6028
2014-08-25,497.8,486,499.8,494.5,362,7437
2014-08-26,493.5,488.2,495.9,493.3,186,4641
2014-08-27,494.6,491.1,498.5,498.5,293,5362
2014-08-28,505,494.1,511.4,500,568,15165
2014-08-29,501,494.3,502,498,382,5808
2014-09-01,498,498,508.8,502,288,4517
2014-09-02,504.9,496.1,505.5,499.5,289,3404
2014-09-03,500.9,496.1,501.9,500.5,295,5091
2014-09-04,514,494,514,499.3,233,7285
2014-09-05,500,498,502,499.2,177,5393
2014-09-08,494.7,494.7,515,500,287,5713
2014-09-09,501.9,498.1,503.6,499.4,165,2908
2014-09-10,499.2,498.3,502,498.9,122,2743
2014-09-11,502,496.9,502,498.8,164,3276
2014-09-12,497.5,495,500.8,498.9,210,5608
2014-09-15,496.8,495,500,495.6,146,2420
2014-09-16,496.1,491,497.7,496.5,314,4713
2014-09-17,495,485.5,495,490.1,509,9673
2014-09-18,495,483,495,487.5,302,5357
2014-09-19,485.1,484.5,509,509,1493,12501
2014-09-22,501.3,490.2,502.9,493.9,332,10505
2014-09-23,494,491,504,496.1,390,15230
2014-09-24,497,495.2,502.9,502,274,8405
2014-09-25,503,496.8,503,499.1,222,3960
2014-09-26,499,491.7,502.1,497,287,4261
2014-09-29,495.2,494.7,498.9,496.8,204,3334
2014-09-30,498.7,491,498.7,493.9,256,3605
2014-10-01,494,491,497,492.5,202,3441
2014-10-02,491,490,494,491.5,204,4008
2014-10-03,491.5,489,495,494,147,1862
2014-10-06,493.5,491,495,494,177,2987
2014-10-07,496,489,496,490,230,2532
2014-10-08,489.5,483.5,500,487.5,367,7099
2014-10-09,493,489.5,493,490,147,1590
2014-10-10,490.5,475.5,492,483.5,221,5128
