TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2021-12-17,770,700,1238.2,994.8,17549,461323
2021-12-20,1000,960,1043,980,10910,167540
2021-12-21,999.4,920,1000,922.4,5831,65707
2021-12-22,945,828,945,915,12303,168904
2021-12-23,916,870.2,944,904,2729,26867
2021-12-24,910.2,884,928.8,896.2,2339,18220
2021-12-27,917.6,870,917.6,875.8,3248,29883
2021-12-28,887,872,898,876,2058,19887
2021-12-29,876,851,889.6,859.4,2386,17153
2021-12-30,865,835.2,868.8,840,3357,30692
2022-01-03,862.8,845,868.8,849.4,2576,21000
2022-01-04,859.2,837.2,859.4,844,3176,24930
2022-01-05,848.2,835.2,848.2,838,1554,11910
2022-01-06,840,820,844.6,830,2152,14241
2022-01-07,,,,,0,0
2022-01-10,840,772,847,784,6371,84506
2022-01-11,783.8,770,795,779.6,2569,31182
2022-01-12,784.8,769.6,803,800,2411,38671
2022-01-13,805,775,809,775.4,1980,21211
2022-01-14,800,770,810.6,788.8,2251,22570
2022-01-17,804.6,770,809.8,781.8,1677,14199
2022-01-18,799.8,730,799.8,743,2465,19211
2022-01-19,742.6,735.4,777,754.8,1507,13733
2022-01-20,762.4,745,779.8,757,1105,8355
2022-01-21,757,730,757,731.4,1314,8274
2022-01-24,743,605,765.6,643,4834,71634
2022-01-25,660.8,603.8,686.4,616,2416,36933
2022-01-26,625,611,635,618,2084,28440
2022-01-27,618.4,618,760,700,3228,46432
2022-01-28,735,699,800,728,3209,51077
2022-01-31,730,704,770,714,1368,15926
2022-02-01,723,690,740,700.2,1441,17394
2022-02-02,700.2,666,718.8,684.6,1300,10336
2022-02-03,686,640.8,691.8,667.8,1481,19691
2022-02-04,685,667.8,696,684.6,1109,8860
2022-02-07,698.8,680,705.4,688.2,759,5209
2022-02-08,680.2,660,698.8,698.8,667,6291
2022-02-09,704,692.4,729.6,706,1191,10975
2022-02-10,711.8,690,711.8,700,815,4557
2022-02-11,704.6,680,709,689.8,818,5042
2022-02-14,680.8,655.2,705.8,685.6,1124,8243
2022-02-15,706,680.2,711,700,819,5895
2022-02-16,711,698.2,712.4,709.8,833,9144
2022-02-17,671.6,671.6,704.8,688.8,807,12135
2022-02-18,674.2,657,720,680,929,6584
2022-02-21,685.8,605,718,619.2,2342,22385
2022-02-22,557.4,550,630,620,2298,24910
2022-02-23,,,,,0,0
2022-02-24,599,405,599,477.4,2325,25054
2022-02-25,481,481,599.8,560.4,1483,19116
2022-02-28,,,,,0,0
2022-03-01,,,,,0,0
2022-03-02,,,,,0,0
2022-03-03,,,,,0,0
2022-03-04,,,,,0,0
2022-03-09,,,,,0,0
2022-03-10,,,,,0,0
2022-03-11,,,,,0,0
2022-03-14,,,,,0,0
2022-03-15,,,,,0,0
2022-03-16,,,,,0,0
2022-03-17,,,,,0,0
2022-03-18,,,,,0,0
2022-03-21,,,,,0,0
2022-03-22,,,,,0,0
2022-03-23,,,,,0,0
2022-03-24,,,,,0,0
2022-03-25,,,,,0,0
2022-03-28,619.4,619.4,783.6,783.6,6542,134810
2022-03-29,862,862,1095.8,1095.8,21180,327041
2022-03-30,1125,840,1200,970.6,17662,241944
2022-03-31,1060,940,1060,996,10778,123282
2022-04-01,998,980,1032.8,1002.2,6858,64348
2022-04-04,1100,1012.2,1175,1175,18982,303588
2022-04-05,1199.6,1062.2,1350,1187,67036,1278485
2022-04-06,1250,1068.4,1250,1104,25859,407701
2022-04-07,1103,1001.4,1103,1063.2,17619,270291
2022-04-08,1080,1031,1096,1056.6,7941,81825
2022-04-11,1059.4,1010,1074.8,1025,8751,91583
2022-04-12,1035,925,1044,955,14296,164592
2022-04-13,950,919,1037.6,995,19191,295063
2022-04-14,990,932.8,1020,958,7063,63784
2022-04-15,958,935,969,944,4981,52987
2022-04-18,944,944,988,947.4,5381,40779
2022-04-19,948,900,958.8,925.2,6475,55717
2022-04-20,940,892.2,940.8,910,5868,73639
2022-04-21,910.2,851.8,917,858.4,7652,71410
2022-04-22,863,821.2,925,898.8,8671,103460
2022-04-25,916.8,845,918.8,860,5155,49210
2022-04-26,872.6,824,894,881.8,4011,42227
2022-04-27,897,882.2,925,917,5112,61060
2022-04-28,920.4,905,980,912.6,8321,82318
2022-04-29,940,900,940,917,3875,32360
2022-05-04,970,911.2,970,926,6252,73833
2022-05-05,915,905,955,935.8,4043,45040
2022-05-06,945,913.4,945,926,2981,27350
2022-05-11,930.4,930,958.8,950,4292,40876
2022-05-12,961,947.2,1010,965.6,9888,118738
2022-05-13,965.6,910.4,972.4,949,5894,67136
2022-05-16,978,942.8,978,960,3505,41495
2022-05-17,960.2,955,968.8,963.6,2461,26511
2022-05-18,963.6,921.2,970,955,3823,51926
2022-05-19,954,932.8,955,951,2451,22929
2022-05-20,952,915,955,920,4837,53884
2022-05-23,939.8,886,939.8,912.2,4419,45016
2022-05-24,915.8,896,922.6,908,2629,19463
2022-05-25,916,886.2,917.8,913,2842,21092
2022-05-26,913,892.4,915,904,3076,27596
2022-05-27,904,895,911.8,905.6,2268,20374
2022-05-30,908.4,900,927,900.6,2544,19280
2022-05-31,906,871.8,907.6,888,2386,20941
2022-06-01,880,880,909.8,890.4,2240,22332
2022-06-02,894.8,880,894.8,882.2,1891,14885
2022-06-03,879.4,866,937,879.8,6933,140176
2022-06-06,880,853.6,907,860,4768,102012
2022-06-07,869.6,843.6,888,850,4122,67330
2022-06-08,850,850,881,861.8,2907,40611
2022-06-09,863.2,854.2,881,859,2567,39277
2022-06-10,868.4,841.4,874.4,847,3417,23290
2022-06-14,857,839.4,859.4,848.6,2530,16124
2022-06-15,852,841,875,849.6,3262,27795
2022-06-16,849.8,842.8,852,846,2554,25800
2022-06-17,849,837,854.6,844.4,2826,39800
2022-06-20,844.6,841.4,860,855,2722,27834
2022-06-21,860.6,860,888.2,876,3852,44983
2022-06-22,876.8,864.4,897.8,871.4,3129,37063
2022-06-23,878,870.8,919.6,894.8,3711,38287
2022-06-24,900,895.6,938,914,4361,43468
2022-06-27,928.8,872.2,928.8,891.6,4233,41158
2022-06-28,892,885,908.6,899.2,2465,30233
2022-06-29,905,874,905,883,2613,21342
2022-06-30,886.8,850.2,919,868,4656,47477
2022-07-01,860.4,851.2,900,890,2891,30874
2022-07-04,893,860,893,868.4,3270,32944
2022-07-05,862,862,919.6,877,5529,110445
2022-07-06,879,851.8,898,865,3506,51934
2022-07-07,874.8,855.2,875.8,864,2349,24088
2022-07-08,855.2,850,883,869.6,2773,44514
2022-07-11,874,860,880,862.2,2073,14343
2022-07-12,868.8,841.4,868.8,850,2987,26320
2022-07-13,858,853.6,867.2,863.6,1569,20401
2022-07-14,864.8,854.2,864.8,860,1541,15019
2022-07-15,860,856,875.2,870,1781,14735
2022-07-18,868,854,877,863.8,1974,20963
2022-07-19,870.2,857,873,870,2471,18859
2022-07-20,875,866.4,886.8,886.8,2568,26279
2022-07-21,900,877.2,924.8,895,5439,67950
2022-07-22,881.6,878.6,899.2,886.4,2060,14876
2022-07-25,890.6,882.4,939.8,888.8,5414,89060
2022-07-26,889,889,915,910,3151,34489
2022-07-27,910,907.8,935,934.8,3659,45282
2022-07-28,939.8,930.2,975,968.2,8635,105944
2022-07-29,968.2,968.2,1000,990,9605,108058
2022-08-01,991,963,1009.8,988,7858,97614
2022-08-02,999.8,965,1070,1040.6,7420,136645
2022-08-03,1064.2,1040,1087.8,1057,13502,170303
2022-08-04,1057.6,1011,1071.8,1030,7910,109181
2022-08-05,1040,1000.8,1054.8,1009.6,5918,71242
2022-08-08,1015.2,1015.2,1055,1040.2,5126,68088
2022-08-09,1044.8,1040,1069,1058,4593,50808
2022-08-10,1060,1045,1161.8,1161.8,12676,193840
2022-08-11,1161.6,1142,1249,1170,23867,348596
2022-08-12,1188,1180,1200,1197,5071,99118
2022-08-15,1235,1077.8,1275,1129,33636,550161
2022-08-16,1139,1129,1190,1151.6,15726,265176
2022-08-17,1150,1150,1189.8,1169.8,7570,123898
2022-08-18,1169,1141,1194,1159.4,5448,75807
2022-08-19,1159.4,1130.2,1160,1144,5062,61735
2022-08-22,1144,1121,1159.8,1142,6025,74031
2022-08-23,1150,1143.2,1168.8,1156.8,3504,51496
2022-08-24,1156.6,1147,1161.8,1150,3090,36518
2022-08-25,1147,1146.2,1158.2,1152,1683,19083
2022-08-26,1154,1145,1167,1152,2000,23837
2022-08-29,1153,1148,1162,1158.4,3167,39960
2022-08-30,1159,1148.8,1180,1150,5083,59247
2022-08-31,1035,999.2,1185,1165,7153,101855
2022-09-01,1167.8,1165.4,1248.8,1220,13932,190277
2022-09-02,1222,1217.6,1250,1220,6961,83460
