TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2021-10-20,,,,,0,0
2021-10-21,125,116.15,149.56,118,25124,4863470
2021-10-22,118.49,111.9,118.8,115,18262,2982260
2021-10-25,114.99,112.04,118.03,116,15151,1776080
2021-10-26,115.96,111.81,117.55,113,14881,1787510
2021-10-27,114.88,108.8,114.88,112.96,10483,1206110
2021-10-28,110.6,109.15,112.7,110,6896,842130
2021-10-29,110.8,109,117,112,10710,812270
2021-11-01,114.99,110,116.42,114,5587,418830
2021-11-02,113.98,112.05,117.48,112.5,6901,861540
2021-11-03,112.9,111.5,115,113,4280,349540
2021-11-05,113.68,111.6,116.88,115,8930,882120
2021-11-08,118.78,113.1,118.78,113.15,8517,631830
2021-11-09,113.04,111.8,115,112,8143,869720
2021-11-10,112.97,109.01,113.44,113,16599,1199120
2021-11-11,113,111.54,115,115,8092,529340
2021-11-12,114.61,110.55,115.99,115,18295,912870
2021-11-15,115,112.33,116,116,13425,963950
2021-11-16,116,113.65,116.65,116,15803,876910
2021-11-17,114.02,113.43,116,116,22503,1259900
2021-11-18,116.2,113.8,116.2,114.17,10393,680600
2021-11-19,114.42,113.4,119,119,19341,4463790
2021-11-22,119.4,112.07,120.64,113.51,5682,545560
2021-11-23,113.6,111.69,114.74,114.32,7599,606550
2021-11-24,114.32,111.5,116.82,111.5,2309,217340
2021-11-25,113.22,111.5,114.43,113.35,5792,341140
2021-11-26,112.75,101.7,115.76,106.2,11316,1167950
2021-11-29,107.01,106.02,111.99,109.96,6208,571080
2021-11-30,109.85,106.01,115,112.12,20520,1333160
2021-12-01,114.34,112.03,116.55,113,4128,555590
2021-12-02,114.56,112.02,115.4,112.02,2902,222660
2021-12-03,112.52,112.52,118.94,113.11,6133,336700
2021-12-06,114.2,111.12,115.55,112.01,2148,181560
2021-12-07,112.48,111,114.88,114.2,1389,190010
2021-12-08,113.8,110.5,113.97,110.5,1044,100580
2021-12-09,111.11,110.04,112.4,111.3,1407,196150
2021-12-10,112,110.11,112,112,760,141920
2021-12-13,111.96,106.21,111.96,107.01,838,144020
2021-12-14,104.86,102,110.4,109.59,6525,549390
2021-12-15,109.6,106,111,106.1,1463,195930
2021-12-16,108.3,105.31,108.3,105.8,1791,307980
2021-12-17,104.66,103.8,108.04,103.86,2171,352960
2021-12-20,102.6,100.04,106.75,101.97,1934,274940
2021-12-21,102.78,98.62,103.44,101.47,2997,343060
2021-12-22,100.98,98.8,106.07,101.9,2396,390350
2021-12-23,101.45,95.8,102.91,98.03,2163,225550
2021-12-24,99.91,96.9,99.91,98,1614,468210
2021-12-27,97.99,96.22,100,98.26,1914,439790
2021-12-28,96.95,96.25,98.49,96.25,1810,439660
2021-12-29,95.39,95.05,98.2,96.92,853,176670
2021-12-30,96.65,96.15,101.01,101,2588,504030
2022-01-03,102.19,98.81,102.21,98.81,800,85630
2022-01-04,98.92,97.6,100.51,98,1172,111810
2022-01-05,96.9,96.9,99.5,96.95,856,67350
2022-01-06,94.21,94.03,97.22,94.03,1284,110710
2022-01-07,,,,,0,0
2022-01-10,93.6,92.54,95.39,93.01,1247,145370
2022-01-11,93.43,90.18,94.21,94,1106,169620
2022-01-12,93.5,93,95.49,93,863,559870
2022-01-13,92.68,90.54,94.8,91.2,1086,168760
2022-01-14,91.27,87,94.5,89.22,1880,232580
2022-01-17,93,81.9,94,82.75,2972,981500
2022-01-18,81.55,72.08,83.4,76,2977,815710
2022-01-19,75.99,71.2,78.45,73.53,2748,966130
2022-01-20,75.11,73.52,75.87,75.02,2312,1006790
2022-01-21,72.06,70.5,74.98,70.5,2334,641560
2022-01-24,70.5,62.34,74.48,66.03,3102,589410
2022-01-25,66.06,62.93,69.4,65.38,1971,334330
2022-01-26,66.08,63.4,71,65.23,2524,680790
2022-01-27,66.52,63.55,67.95,67.95,1924,339470
2022-01-28,68.86,64.05,68.86,66,1221,241130
2022-01-31,68.01,68,73.2,69.5,3525,594000
2022-02-01,71.12,67,73.8,67.56,2428,462060
2022-02-02,68.2,67.11,70.96,67.68,4630,574810
2022-02-03,69,67,69.68,67.44,1330,166780
2022-02-04,67.65,66.58,68.5,67.23,1310,191870
2022-02-07,68.18,66.85,69.95,68.34,763,64550
2022-02-08,68.65,67,69.41,67.62,1590,302140
2022-02-09,67.92,67.1,70.62,70.62,1826,552930
2022-02-10,70.62,67.18,71,68,1717,257220
2022-02-11,68,65.66,68,65.91,1356,159120
2022-02-14,66,63.04,66.91,64,2372,277910
2022-02-15,64.64,61.43,64.75,62.55,4279,1183030
2022-02-16,62.99,61.95,64.55,62.2,2119,196770
2022-02-17,62.7,59.13,63.15,60.19,2635,385420
