TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2014-06-09,238.08,237.02,241.79,240.36,13527,6373420
2014-06-10,246.48,239.65,246.48,242.8,14123,5042580
2014-06-11,242.41,242.12,249.66,249.66,24571,12959310
2014-06-16,249.01,245.67,254.87,253.3,36954,19174760
2014-06-17,253.25,250.1,257.3,251.59,17967,7504200
2014-06-18,251.52,249.23,252.58,250.87,14877,7890720
2014-06-19,253,249.24,254.23,249.89,17593,8963490
2014-06-20,250.65,248.07,251.84,250.11,16511,6944910
2014-06-23,250.28,250,253.3,252.3,12614,4943100
2014-06-24,253.05,252.7,258.3,257.81,18260,6899670
2014-06-25,256.36,248.74,257.69,250,15939,6756610
2014-06-26,251.25,248.5,252.44,249.24,15468,4648100
2014-06-27,249.9,247.11,251.24,249.49,13590,4764260
2014-06-30,249.67,246.35,250.11,249.3,10021,3782240
2014-07-01,248.95,247.17,250.35,250.16,7907,2410840
2014-07-02,250.52,249.72,255.29,255.19,14884,6029760
2014-07-03,255.1,255.1,258.55,257.7,12770,5029670
2014-07-04,256.85,253.9,259,253.9,16532,5432990
2014-07-07,244,241.12,248.99,248.99,18596,6265420
2014-07-08,248.9,248.64,254.5,249.99,25917,7000330
2014-07-09,249,245.32,249.9,247.95,14531,4485820
2014-07-10,248.1,242.2,249.72,244.95,20833,7532330
2014-07-11,245.9,242.61,246.65,246.01,16240,4108780
2014-07-14,246.48,241.57,247.88,242,12097,3311240
2014-07-15,242.58,240.5,244.44,241.92,16589,5356490
2014-07-16,241.9,240.73,245.3,244.18,15378,4088830
2014-07-17,237,229.02,237,233.7,22217,10709070
2014-07-18,229.02,229.02,232.18,231.75,20244,7864560
2014-07-21,220.83,220.83,231.48,225.91,17160,5478310
2014-07-22,227.76,226.23,229.5,226.76,16988,7344200
2014-07-23,229.52,220.11,229.52,221.8,17962,6242370
2014-07-24,222,220.21,222.45,222.45,14967,5698180
2014-07-25,222.38,219.65,223.99,220.84,20069,8196760
2014-07-28,220.61,214.39,220.97,218.21,21050,8812750
2014-07-29,218.7,217.06,221.44,220.3,16266,6805200
2014-07-30,218.95,217.01,226.87,224,19368,9399760
2014-07-31,224.99,222.12,226.72,223,12964,5640440
2014-08-01,222.09,219.42,224,221.79,19192,5781690
2014-08-04,221.33,219,223.38,219.9,11543,3908940
2014-08-05,221.01,219.08,221.78,220,12402,3604190
2014-08-06,219.9,218.55,223.76,219.55,16495,5711540
2014-08-07,218.79,218.68,222.99,221,23086,7628050
2014-08-08,221.33,219.51,222.55,219.54,13423,3810580
2014-08-11,224.9,221.21,225.64,221.38,12626,4453750
2014-08-12,221.71,219.75,223.2,221.65,11497,3489390
2014-08-13,221.45,221.45,227.33,225.99,19163,6812810
2014-08-14,229.26,224.57,229.26,226.3,14957,4673440
2014-08-15,226,224.65,226.91,225,9413,3531470
2014-08-18,225,223.66,226.64,224.68,7360,2300560
2014-08-19,224.87,224.87,227.71,227.4,10500,5336200
2014-08-20,227.71,226.83,231.8,231.54,11822,8633490
2014-08-21,231.1,231.1,234.7,233,11106,3762610
2014-08-22,234,228,234,230.03,11630,3994060
2014-08-25,230.22,229.36,232.2,231.69,8063,1977830
2014-08-26,232,229.22,232.65,229.22,6589,1947630
2014-08-27,230.1,229.73,233,231.69,9104,3600420
2014-08-28,231.69,226.06,232,228.99,14235,5338320
2014-08-29,228.53,226,231.44,226,9607,3224570
2014-09-01,226.25,226.25,232,229,18534,4709250
2014-09-02,229.55,227.94,231,230.5,9067,2884730
2014-09-03,230.5,229.92,236.9,236.13,22761,8965910
2014-09-04,235.99,233.13,237.97,236.54,9847,3670470
2014-09-05,234.95,234.51,239.09,238,13801,4843110
2014-09-08,236.4,232.23,238.85,234.02,14012,4822180
2014-09-09,234.01,233.92,235.92,234.55,8460,2511410
2014-09-10,234.49,232.71,236,234.9,7529,2041280
2014-09-11,234.79,230.01,236.35,230.01,14503,3762330
2014-09-12,230,228.51,234.2,233.2,15986,4158350
2014-09-15,233,231.21,234.02,232.19,18856,5924820
2014-09-16,234.67,232.48,241.62,240.5,20432,6048810
