TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-07-08,,,,,0,0
2013-07-09,105,103,105,103,8,1800
2013-07-10,113.6,102,113.6,102,8,1200
2013-07-11,103.08,103.08,103.17,103.17,2,60
2013-07-12,103.38,103.38,107.5,107.5,7,1400
2013-07-15,110,109.8,110,109.8,3,400
2013-07-16,112.26,111.52,112.98,112.98,4,2810
2013-07-17,114.3,114.3,115.05,115.05,4,1600
2013-07-18,115.6,115.6,115.6,115.6,1,100
2013-07-19,,,,,0,0
2013-07-22,,,,,0,0
2013-07-23,,,,,0,0
2013-07-24,117.08,117.08,117.08,117.08,1,180
2013-07-25,117.32,116.07,117.32,116.07,3,280
2013-07-26,,,,,0,0
2013-07-29,,,,,0,0
2013-07-30,,,,,0,0
2013-07-31,132.97,112.01,132.97,112.01,3,2000
2013-08-01,112,112,113.17,113.17,11,4500
2013-08-02,,,,,0,0
2013-08-05,,,,,0,0
2013-08-06,,,,,0,0
2013-08-07,106.74,106.74,111.75,111.58,7,5680
2013-08-08,,,,,0,0
2013-08-09,,,,,0,0
2013-08-12,130.16,113.6,130.16,113.6,16,6160
2013-08-13,,,,,0,0
2013-08-14,,,,,0,0
2013-08-15,,,,,0,0
2013-08-16,112,109.56,120.52,109.56,28,16060
2013-08-19,110.81,107.25,121,112.73,24,7550
2013-08-20,117.99,112.61,117.99,112.61,5,1980
2013-08-21,112.38,112.37,115.21,114,12,2160
2013-08-22,115.49,113.75,117,115,13,7050
2013-08-23,114.15,113.34,119,114.21,13,2200
2013-08-26,116.7,113.64,116.7,113.64,7,430
2013-08-27,112.01,110,112.01,110,28,14800
2013-08-28,110.51,107.66,110.51,108.72,33,7130
2013-08-29,110.27,107.57,110.27,107.6,20,6930
2013-08-30,107,101.01,107.9,101.01,125,73640
2013-09-02,101.98,97.5,103.28,99.02,7573,4954080
2013-09-03,99.49,99.07,102.86,102.09,10555,5477600
2013-09-04,102.3,99.15,103.9,101.2,8820,4313800
2013-09-05,101.55,100.05,103.3,103,8599,5078780
2013-09-06,103.05,100.31,104.9,100.79,9534,5505020
2013-09-09,101,100.78,104.9,104.44,13526,7365430
2013-09-10,105,104.92,109.6,107.22,12229,7569540
2013-09-11,107.5,106.8,109.25,108.08,11809,4826890
2013-09-12,108.61,104.49,110.9,105,16009,9494810
2013-09-13,104.52,104.03,106.9,104.84,9740,4912740
2013-09-16,105.5,105.41,107.43,107.26,9061,4508500
2013-09-17,106.77,106.21,107.89,107.47,4581,2164600
2013-09-18,107.28,105.59,107.6,106.5,5728,2607580
2013-09-19,108,103.31,108.9,105,13018,7021790
2013-09-20,104.45,101.4,105.83,101.6,12028,7413720
2013-09-23,101.63,101.01,102.95,101.6,9432,3998340
2013-09-24,101.38,101.12,102.5,102.2,6449,3102560
2013-09-25,102.19,101.94,103.44,102.58,8093,3940270
2013-09-26,103.31,102.77,104.3,103.8,9407,4743840
2013-09-27,104,103.01,104.28,103.5,5750,2487120
2013-09-30,103.1,101.2,104.32,101.61,6256,3095400
2013-10-01,103.06,101.54,103.9,103.84,7678,3035600
2013-10-02,104,103.7,108.49,106.7,18956,10530680
2013-10-03,107,105.56,107.87,105.81,12027,4072880
