TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2015-03-30,37,37,37.34,37.34,86,539200
2015-03-31,36.85,36.35,37,36.79,46,484000
2015-04-01,36,35.805,36.45,35.825,81,319000
2015-04-02,36.005,35.8,36.56,36.45,42,233600
2015-04-03,36,35.95,36.72,36.72,60,265200
2015-04-06,36.4,36.1,36.81,36.8,51,408400
2015-04-07,36.29,35.9,36.66,36.66,29,443200
2015-04-08,36.7,36.7,37.49,37.49,61,437300
2015-04-09,36.9,35.39,36.9,36.55,55,490700
2015-04-10,35.9,34,36.2,35.38,140,559000
2015-04-13,34.5,34.25,34.79,34.79,54,470600
2015-04-14,33,33,34.49,34.49,49,509500
2015-04-15,33.15,33.1,34.7,34.7,32,458400
2015-04-16,33.1,33.1,34.6,34.6,34,452800
2015-04-17,33.6,33.4,34.66,34.54,24,379200
2015-04-20,34,31,34,32.845,108,653100
2015-04-21,31.2,30.8,32.5,31.98,96,681000
2015-04-22,31.5,31.5,32.195,31.99,148,394200
2015-04-23,31.205,30.41,31.205,31,66,470500
2015-04-24,31.985,29.8,31.985,30.2,113,859500
2015-04-27,30.795,30.15,30.8,30.325,86,679300
2015-04-28,30.75,30.7,31.9,31.77,75,448900
2015-04-29,31.595,31.13,31.8,31.13,41,384700
2015-04-30,31.1,31.005,31.41,31.41,110,466700
2015-05-05,31,30.41,31.94,31.21,203,930900
2015-05-06,31.68,31,31.69,31.3,59,297600
2015-05-07,31.2,30.52,31.2,30.72,79,365900
2015-05-08,30.51,30.5,31.59,31.59,50,412200
2015-05-12,31.57,30.7,31.57,31,75,375400
2015-05-13,31.99,30.73,32.94,30.8,126,657100
2015-05-14,31,30.8,31.3,31.3,82,789500
2015-05-15,32.18,30.9,32.18,31.03,60,505600
2015-05-18,30.82,30.55,30.85,30.74,38,345700
2015-05-19,30.78,30.07,30.78,30.4,50,483700
2015-05-20,29.99,29.23,30.15,29.7,95,761100
2015-05-21,29.8,29.2,29.9,29.4,58,878300
2015-05-22,29.35,28.8,29.36,28.9,75,370600
2015-05-25,29.13,28.75,29.13,29,49,362100
2015-05-26,29.1,29.05,29.2,29.05,24,367600
2015-05-27,28.82,28.5,29.19,29,58,367800
2015-05-28,28.95,28.91,29.54,29.38,49,398300
2015-05-29,28.87,28.78,29.55,28.78,53,367900
2015-06-01,28.64,28.55,29,28.75,28,381700
2015-06-02,28.75,28.75,29.1,29,26,371500
2015-06-03,29.06,28.6,29.08,28.8,30,388300
2015-06-04,28.99,28.99,29.35,29.2,29,377700
2015-06-05,29.3,29.23,29.6,29.26,22,352300
2015-06-08,29.8,29.6,30.5,30.38,57,545900
2015-06-09,29.7,29.7,30.35,30.3,36,458200
2015-06-10,30.1,29.99,30.3,30,42,370200
2015-06-11,29.55,29.55,29.86,29.86,25,849000
2015-06-15,29.51,29.5,29.55,29.55,23,356500
2015-06-16,29.57,29.35,29.57,29.47,18,359300
2015-06-17,29.2,29.01,29.3,29.21,32,367400
2015-06-18,29.35,29.22,29.36,29.31,14,353400
2015-06-19,30.09,29.86,30.15,29.99,57,427100
2015-06-22,29.89,29.89,30.01,30,18,364700
2015-06-23,29.69,29.5,29.87,29.87,21,342400
2015-06-24,29.5,29.35,29.85,29.85,16,350300
2015-06-25,29.07,29,29.32,29.25,39,353600
2015-06-26,29.03,29,29.22,29.22,26,348600
2015-06-29,28.57,28.45,28.7,28.67,38,350800
2015-06-30,28.67,28.67,28.73,28.73,19,350300
2015-07-01,28.64,28.55,28.78,28.55,22,350000
2015-07-02,27.51,26.73,28.01,27.18,188,1070200
2015-07-03,26.8,26.8,27.45,27.3,26,382100
2015-07-06,27.02,26,27.02,26.49,141,539700
2015-07-07,25.79,25.3,26.5,25.5,194,788000
2015-07-08,24.98,23.55,24.98,24.2,246,1040900
2015-07-09,24.6,23.5,24.61,24.44,182,1183500
2015-07-10,24.76,24.75,25.6,25.42,304,735700
2015-07-13,25.5,25.5,25.99,25.98,57,700200
2015-07-14,26.75,26.44,27.75,27.75,616,807600
2015-07-15,28.3,28.3,29.35,29.2,720,1466700
2015-07-16,29.1,28.5,29.1,28.79,91,808300
2015-07-17,28.8,28.45,28.98,28.5,35,400200
2015-07-20,28.41,28.2,28.5,28.44,32,391300
2015-07-21,28.96,28.78,29.2,28.78,73,528900
2015-07-22,29,28.71,29.6,29,42,511000
2015-07-23,28.71,28.6,28.77,28.75,33,356500
2015-07-24,28.85,28.85,29.6,29.3,61,547500
2015-07-27,28.35,27.75,28.35,28,55,784100
2015-07-28,28,28,28.4,28.39,26,383900
2015-07-29,28.5,28.29,28.75,28.47,56,375600
2015-07-30,28.47,28.02,28.47,28.15,36,356200
2015-07-31,28.15,28.15,28.5,28.5,32,360100
2015-08-03,28.7,28.6,28.94,28.88,38,372600
2015-08-04,30,29,30,29.26,57,396100
2015-08-05,29.27,28.58,29.51,29.45,51,350800
2015-08-06,29.05,29.05,29.44,29.44,30,350800
2015-08-07,29.41,29.4,30.1,30.09,53,348000
2015-08-10,30.25,29.9,30.27,30.19,42,386100
2015-08-11,30.49,29.85,30.99,29.95,92,442500
2015-08-12,30.65,29.21,30.65,29.8,106,627700
2015-08-13,29.64,29,29.64,29.3,55,419500
2015-08-14,29.7,29.27,31,30.75,437,1752900
2015-08-17,31.2,31.2,33,32.85,270,1733900
2015-08-18,33.05,31.5,35.4,31.77,232,1472100
2015-08-19,33.1,30.5,33.1,31,141,1333600
2015-08-20,31.3,29.6,32.5,31.85,157,1483100
2015-08-21,31,30.31,31.19,30.9,162,1883300
2015-08-24,27.97,27.97,32,30,211,1457100
2015-08-25,30.17,30.02,31,30.9,220,1381100
2015-08-26,30.75,29.95,31.28,30.8,218,1203000
2015-08-27,32,30.14,32.33,30.54,178,975600
2015-08-28,30.4,30.1,31.59,30.41,164,764700
2015-08-31,30.6,30.14,30.79,30.39,107,824300
2015-09-01,30.21,29,30.25,29.89,103,602200
2015-09-02,29.99,29.35,29.99,29.8,129,654000
2015-09-03,30,29.77,30.65,30.48,79,743700
2015-09-04,30.25,30.03,30.39,30.03,55,350900
2015-09-07,30.72,30.3,30.75,30.3,69,365900
2015-09-08,30.2,30.15,30.48,30.2,118,359600
2015-09-09,30.04,29.99,30.2,30.2,211,437900
2015-09-10,30.45,30.44,31.69,31.38,256,2274600
2015-09-11,31.38,31.1,31.79,31.18,147,983300
2015-09-14,31.75,31.25,31.75,31.25,110,1058900
2015-09-15,31.36,30.38,31.36,30.41,172,1036700
2015-09-16,30.43,30,31.08,30.3,121,405500
2015-09-17,30.3,30.3,30.75,30.61,88,610200
2015-09-18,30.69,30.03,30.69,30.1,128,610700
2015-09-21,29.81,29.51,30.15,29.89,103,386000
2015-09-22,30,29.16,30,29.22,97,800600
2015-09-23,29.1,27.77,29.1,27.78,320,1143500
2015-09-24,27.9,27,27.9,27.1,401,648000
2015-09-25,27.49,27.23,27.7,27.4,112,482900
2015-09-28,27.41,26.2,27.6,27,92,736500
2015-09-29,26,25.6,26.15,25.6,321,877900
2015-09-30,25.87,25.86,26.5,26.1,121,863700
2015-10-01,26.49,26.06,26.49,26.14,85,692500
2015-10-02,26,25.6,26.8,26.15,206,620900
2015-10-05,26.4,26.3,27.3,27.05,113,458300
2015-10-06,27.16,26.56,27.3,27,128,451300
2015-10-07,26.66,26,26.8,26.29,115,375000
2015-10-08,26.41,26.4,27,26.8,108,677900
2015-10-09,26.55,26.55,28.26,28.15,152,1086800
2015-10-12,27.69,26.99,27.69,27,187,781900
2015-10-13,27.1,26.69,27.25,27.04,259,491000
2015-10-14,26.05,26.05,27.14,26.8,187,642900
2015-10-15,26.51,26.51,27,26.6,119,428500
2015-10-16,26.6,26.2,30.69,26.35,272,908600
2015-10-19,26.61,25.74,26.61,25.89,127,607500
2015-10-20,25.7,25.55,26.3,25.9,179,691700
2015-10-21,25.88,25.51,25.88,25.74,124,434900
2015-10-22,25.71,25.7,26.1,25.8,163,513100
2015-10-23,25.64,25.6,26.35,26.25,112,588700
2015-10-26,26.48,26.01,26.8,26.1,107,414600
2015-10-27,25.9,25.84,26.5,26.5,133,655500
2015-10-28,25.61,25.21,25.7,25.6,175,778500
2015-10-29,25.7,25.5,25.8,25.76,43,394000
2015-10-30,26,25.35,26,25.6,93,560600
2015-11-02,25.38,25.11,25.38,25.35,87,283900
2015-11-03,25.15,25,25.19,25,110,513800
2015-11-05,25.14,24.56,25.14,24.58,299,787300
2015-11-06,24.5,24.32,25.34,24.95,363,790100
2015-11-09,24.9,24.66,25.14,25.05,97,746700
2015-11-10,24.99,24.62,24.99,24.71,82,429800
2015-11-11,24.55,24.14,24.55,24.3,187,610400
2015-11-12,24.7,24.11,24.7,24.56,56,375500
2015-11-13,24.4,24.08,24.43,24.26,223,461400
2015-11-16,24.2,23.5,24.24,23.5,151,385900
2015-11-17,24.03,23.64,24.17,24.1,183,550200
2015-11-18,24.16,23.72,24.16,23.75,201,774900
2015-11-19,23.85,23.71,24.09,23.72,333,771000
2015-11-20,23.85,23.73,23.9,23.76,142,639300
2015-11-23,23.9,23.5,24.55,24.55,222,535900
2015-11-24,24.35,23.94,24.35,23.96,202,640300
2015-11-25,23.64,23.25,23.72,23.58,424,927100
2015-11-26,23.58,23.31,23.6,23.57,230,468600
2015-11-27,23.5,23.48,23.75,23.7,140,426900
2015-11-30,23.73,23.51,23.73,23.52,72,395800
2015-12-01,23.53,23.31,23.6,23.31,155,479500
2015-12-02,23.32,23.22,23.43,23.24,132,487000
2015-12-03,23.49,23.31,23.79,23.4,234,383100
2015-12-04,23.55,23.23,23.56,23.35,69,419400
2015-12-07,23.6,23.23,23.6,23.4,146,596800
2015-12-08,23.13,23.01,24.98,23.55,572,528100
2015-12-09,23.5,23.02,23.59,23.08,1040,621900
2015-12-10,23.29,23.29,23.58,23.3,164,432300
2015-12-11,23.36,23.15,23.4,23.31,561,560200
2015-12-14,23.34,23.31,23.53,23.36,401,476100
2015-12-15,23.46,23.2,23.46,23.29,591,457800
2015-12-16,23.2,22.7,23.2,22.85,363,839500
2015-12-17,22.7,22.11,22.7,22.24,348,735700
2015-12-18,22.2,21.82,22.4,22.1,412,737400
2015-12-21,22.1,21.89,22.15,22.15,99,476800
2015-12-22,21.94,21.46,21.97,21.46,200,524400
2015-12-23,21.81,21.7,21.99,21.8,143,480200
2015-12-24,21.85,21.76,22.4,22.23,230,520600
2015-12-25,22.12,22.01,22.53,22.3,219,482300
2015-12-28,22.25,21.75,22.25,21.87,198,554100
2015-12-29,22,21.85,22.1,22.1,149,493200
2015-12-30,22.05,21.9,22.51,22.5,263,783700
2016-01-04,22,21.9,22.5,22.49,131,350100
2016-01-05,22.49,22.49,23.87,23.1,200,367200
2016-01-06,23.7,22.63,23.7,22.99,86,91800
2016-01-11,22.4,22.23,22.7,22.3,374,485400
2016-01-12,22.1,21.9,22.79,22.4,352,535900
2016-01-13,22.6,22.45,22.75,22.45,129,475500
2016-01-14,22.75,22.51,23.59,22.9,387,594800
2016-01-15,23,22.11,23,22.33,306,524200
2016-01-18,22.11,22.11,22.4,22.39,260,673600
2016-01-19,22.4,22.2,23.4,22.4,371,502800
2016-01-20,22.12,21.73,22.27,22.24,309,519500
2016-01-21,22.25,22.1,22.6,22.51,383,542800
2016-01-22,22.45,22.2,22.7,22.58,517,480100
2016-01-25,22.73,22.39,22.73,22.53,63,456500
2016-01-26,22.53,22.27,22.6,22.6,78,443700
2016-01-27,22.68,22.3,22.78,22.5,165,458800
2016-01-28,22.5,22.3,22.7,22.55,222,546000
2016-01-29,22.85,22.5,22.95,22.53,91,496600
2016-02-01,22.56,22.56,23,22.86,169,478800
2016-02-02,22.87,22.81,23.74,23.3,330,492700
