TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-03-25,96,96,101.14,98.79,140,593680
2013-03-26,98.58,97.08,99.31,97.2,183,1283550
2013-03-27,97.9,95.39,98,96.75,176,1261950
2013-03-28,96.38,95.72,98.66,98.59,299,1971410
2013-03-29,98.6,98.32,99.09,98.76,121,782000
2013-04-01,98.37,97.55,99.43,98.07,441,2279650
2013-04-02,98.12,98.04,99.45,98.93,740,3555020
2013-04-03,98.9,98.69,99.71,99.59,839,3757240
2013-04-04,98.86,98.5,101.13,99.91,1009,5172930
2013-04-05,99.88,98.4,100.84,99.38,1164,5229210
2013-04-08,99.97,99.83,100.78,100.43,645,5080400
2013-04-09,101.24,100.7,102.62,102.53,843,6539720
2013-04-10,102.79,99.81,102.79,100.56,987,6477440
2013-04-11,100.78,99.45,100.79,100.31,1489,9738330
2013-04-12,99.67,98.2,100.14,98.34,1201,8770130
2013-04-15,97.68,95.05,97.69,95.48,1213,9476270
2013-04-16,94.73,94.73,96.88,95.92,926,8746220
2013-04-17,96.62,93.72,96.62,94.58,1383,12318170
2013-04-18,94.7,94.26,96.49,95.35,1436,11438210
2013-04-19,96.3,95.67,96.86,96.22,1449,10456040
2013-04-22,97.21,94.79,97.95,95.1,1605,8487550
2013-04-23,94.44,94.05,96.5,96.46,1193,9918070
2013-04-24,97.14,96.51,98.75,97.89,2221,10809260
2013-04-25,98.17,93,99.35,96.11,4080,17508370
2013-04-26,95.87,95.01,96.94,95.6,4279,12505810
2013-04-29,95.69,94.7,96.8,94.83,2301,9543700
2013-04-30,94.8,94.65,99.3,99.3,3856,9242730
2013-05-02,98.75,98.75,101.29,100.84,3234,8247370
2013-05-03,101.64,100.33,103,102.92,1828,6583590
2013-05-06,103.29,102.03,103.29,102.28,1034,5184770
2013-05-07,102.14,101.68,105.66,105.14,1757,7598890
2013-05-08,105.37,104.23,105.83,105.81,1400,7983670
2013-05-10,105.26,103.59,105.86,103.78,1075,7276960
2013-05-13,103.55,101.95,103.86,103.34,1772,8107650
2013-05-14,103.79,102.86,104.78,103.84,3313,13107770
2013-05-15,104.33,102.4,104.39,103.22,1678,8940580
2013-05-16,103.27,102.35,103.91,102.45,1553,4241390
2013-05-17,101.9,101.8,105.28,105.17,1021,5862860
2013-05-20,105.66,105.23,107.13,106.49,2101,5986790
2013-05-21,106.21,105.89,109.42,108.9,2411,7682260
2013-05-22,109.18,108.93,111.42,110.73,3194,12471940
2013-05-23,108.6,105.61,108.6,105.61,2984,10928200
2013-05-24,106.25,102.47,106.57,102.97,4447,17144980
2013-05-27,103.62,102.15,103.83,102.86,2204,9630270
2013-05-28,103.5,103.41,104.97,104,2316,8500810
2013-05-29,103.29,99.9,103.42,99.9,3289,13256870
2013-05-30,99.67,98.83,100.92,99.98,3655,16543730
2013-05-31,100.55,97.75,100.61,99,4266,17383700
2013-06-03,97.85,96.79,100.68,98.8,4782,16609480
2013-06-04,100,98.71,101.52,98.71,2656,7214140
2013-06-05,98.32,97.3,99.28,97.5,7457,11474200
2013-06-06,97.29,96.26,98.17,96.91,2490,9679300
2013-06-07,97.96,96.95,99.52,98.92,3660,12679660
2013-06-10,99.73,97.3,100.63,97.9,2780,10230620
2013-06-11,97.16,94.06,98.43,94.7,4476,15916610
2013-06-13,93.52,90.47,93.52,91.85,5097,17814630
2013-06-14,92.92,91.41,94,93.64,2901,12751180
2013-06-17,94.2,93.92,95.85,95.74,3065,12357410
2013-06-18,95.45,95.12,96.87,96.36,2518,9357570
2013-06-19,96.32,94.11,96.55,94.63,2527,8536010
2013-06-20,92.99,91.16,93,91.56,3727,12178180
2013-06-21,90.68,90.68,93.28,91.24,3582,12067320
2013-06-24,90.94,88.56,91.73,88.66,3925,10446770
2013-06-25,89.25,89.16,90.69,89.74,2711,8425930
2013-06-26,89.9,89.36,92.71,92.67,2324,8379260
2013-06-27,92.98,91.9,93.74,93.2,2740,9403380
2013-06-28,93.62,92.32,94.62,93.5,2527,9615000
2013-07-01,93.74,93.11,95.67,95.4,2025,7557200
2013-07-02,95.4,94.09,95.75,94.59,1648,5917590
2013-07-03,93.69,92.69,93.98,93.18,1693,6582450
2013-07-04,93.59,92.4,94.6,94,1870,7533240
2013-07-05,94.15,92.65,94.95,93.3,2511,10199020
2013-07-08,92.78,91.89,93.41,93,1783,6539950
2013-07-09,93.2,92.06,93.46,92.41,1480,5403870
2013-07-10,92.35,90.76,92.73,91.03,1902,7726190
2013-07-11,92.38,92.38,95.55,95.55,2332,10015130
2013-07-12,96,95.2,98.99,98.4,3036,12641780
2013-07-15,98.58,98.43,100.39,99.87,3143,13124880
2013-07-16,99.95,99.14,101.34,99.35,2246,10637740
2013-07-17,99.42,98.79,101.31,101.11,2047,7595970
2013-07-18,101.2,97.87,101.74,98.47,3910,16686810
2013-07-19,97.77,97.77,101.3,99.9,4002,18103710
2013-07-22,100.67,97.82,100.67,97.82,2924,12091270
2013-07-23,98.46,96.76,99.05,96.97,2060,9312920
2013-07-24,96.9,95.72,97.5,96.16,3742,18586270
2013-07-25,96.32,95.57,96.91,95.78,2603,12669090
2013-07-26,96.5,94.74,96.7,94.76,1819,7874710
2013-07-29,94.78,94.15,95.57,94.17,2048,7598660
2013-07-30,94.53,93.74,95.02,94.13,1735,6955980
2013-07-31,94.26,93.73,95.54,95.3,2499,10145400
2013-08-01,95.54,95.54,96.97,96.95,1770,7567370
2013-08-02,97.49,95.72,97.88,96.98,2468,9822160
2013-08-05,97.1,96,97.49,96.25,1753,5124110
2013-08-06,95.71,94.69,96.16,94.72,2174,7514500
2013-08-07,94.36,94.1,95.29,94.48,2360,8209740
2013-08-08,95,93.32,95.15,94.09,2401,9466140
2013-08-09,94.48,93.95,95.74,95.7,2514,9079150
2013-08-12,95.8,94.78,96.4,96.22,2451,8553960
2013-08-13,95.93,95.93,97.93,97.4,2194,9427240
2013-08-14,97.65,97.22,98.24,98.07,2041,10053300
2013-08-15,97.6,95.31,97.88,95.31,3738,20310500
2013-08-16,95.59,93.56,95.73,93.8,3364,12709740
2013-08-19,93.71,93.24,94.45,93.66,3540,13349120
2013-08-20,92.94,91.49,92.94,91.74,2892,13056740
2013-08-21,91.6,89.89,92.6,90.52,4417,16134210
2013-08-22,90.25,90,92.56,92.28,4099,16084620
2013-08-23,92.3,91.65,92.83,91.9,3464,10351540
2013-08-26,93.88,90.83,93.88,91.25,2395,7768500
2013-08-27,90.49,89.67,90.95,90.16,2931,9475660
2013-08-28,89.72,88.63,90.39,89.4,5210,16377380
2013-08-29,89.48,89.33,90.67,89.68,3988,12086030
2013-08-30,90.1,87.67,90.1,88.15,4434,13959510
2013-09-02,88.96,88.53,90.04,89.48,26138,46206200
2013-09-03,89.99,89.61,91.12,90.45,46577,87953920
2013-09-04,90.09,89.4,90.57,90.33,30892,52920680
2013-09-05,90.8,90.21,93.18,92.78,65676,113375290
2013-09-06,92.73,91.77,95,92.47,84461,167514290
2013-09-09,93.01,93.01,95.06,94.81,61040,127372070
2013-09-10,95.49,94.88,96.92,96.55,60788,118417470
2013-09-11,96.45,95.25,96.73,95.5,45774,68867470
2013-09-12,95.98,94.24,96.14,95.53,48752,80569980
2013-09-13,95,94.64,95.89,95.82,43497,57993190
2013-09-16,96.76,96.71,99.04,98.97,62872,112092070
2013-09-17,98.38,97.89,99.6,99.6,45496,69417120
2013-09-18,99.6,99.03,100.63,99.79,59150,109579560
2013-09-19,102.5,101.89,103.63,102.33,73104,160727340
2013-09-20,101.63,101.37,102.61,102.36,55935,80174540
2013-09-23,102.12,101.3,102.43,101.82,40032,79846990
2013-09-24,101.3,100.37,101.56,100.5,42512,81642090
2013-09-25,100.31,100.1,102.19,101.95,50747,76053110
2013-09-26,102.05,101.01,102.69,101.67,38937,74163010
2013-09-27,101.8,98.58,101.8,98.59,56112,90396330
2013-09-30,97.74,97.1,98.39,97.86,34867,71124930
2013-10-01,97.8,97.75,99.34,99.16,46808,74492480
2013-10-02,98.94,97.27,99.4,97.74,44141,79877890
2013-10-03,98.13,97.51,98.8,98.24,40263,77836460
2013-10-04,98,97.68,100.4,100.39,46081,81230790
2013-10-07,99.7,99.12,100.5,100.3,42573,84643630
2013-10-08,100.3,99.9,102.26,102.11,57512,113584170
2013-10-09,101.79,101.05,103.01,101.48,55590,99305220
2013-10-10,102.04,101.85,104.36,103.43,49463,111791100
2013-10-11,104,102.42,104.16,102.87,57191,91915670
2013-10-14,102.4,101.71,103,102.93,34414,66291240
2013-10-15,103.91,103.52,104.89,104.55,53968,103099720
2013-10-16,104.05,103.6,105.09,104.05,47788,84614620
2013-10-17,104.2,102.36,104.37,103.33,44225,83012030
2013-10-18,103.98,103.61,105.64,105.14,54124,115501360
2013-10-21,105.56,104.88,105.95,105.43,43059,63746540
2013-10-22,105.23,104.55,105.81,105.4,43514,71694660
2013-10-23,104.89,103.03,105.08,103.29,58752,78066510
2013-10-24,103.5,102.63,103.86,102.86,38112,68751720
2013-10-25,102.61,102.02,103.61,102.99,38759,78521210
2013-10-28,103.6,102.5,104.18,102.84,36349,71025060
2013-10-29,102.75,102.12,103.48,102.8,45163,65077430
2013-10-30,103.2,102.74,104.14,103.11,44368,82968330
2013-10-31,102.57,101.7,103.08,102.74,47027,87954830
2013-11-01,102.74,102.5,103.77,103.65,29340,62858850
2013-11-05,104.06,102.4,104.43,102.47,38705,61356730
2013-11-06,103,102.26,103.09,102.59,30208,66133090
2013-11-07,102.31,102.1,103.87,103.55,32742,76238840
2013-11-08,102.41,101.57,102.66,101.86,48442,89014360
2013-11-11,102.51,101.48,102.59,101.77,24245,53096350
2013-11-12,101.96,101.74,104.26,104.25,55037,112492620
2013-11-13,103.81,101.11,104.98,101.81,62815,135946290
2013-11-14,102.81,102.81,103.98,103.7,43191,93686490
2013-11-15,104.3,103.24,104.7,103.69,40189,96819500
2013-11-18,103.99,103.6,105.54,105.5,43864,92184970
2013-11-19,105.4,105.4,106.8,106.19,46117,100547410
2013-11-20,105.89,105.11,106.32,106,42589,79936140
2013-11-21,105.11,104.69,105.56,104.78,30240,77524160
2013-11-22,105.23,104.25,105.48,105.1,34707,70239230
2013-11-25,105.51,105.21,106.2,105.31,35573,72178650
2013-11-26,105.35,103.01,105.35,103.02,40850,93845310
2013-11-27,103.5,102.62,104.14,102.77,34496,80453800
2013-11-28,103.3,102.33,103.78,102.69,25577,64879430
2013-11-29,102.71,101.84,103.29,103.07,36521,79612660
2013-12-02,103.16,102.31,103.66,102.36,27430,61527830
2013-12-03,102.2,100,102.48,100.24,59126,123406320
2013-12-04,100.3,98.74,100.78,98.95,42472,96070960
2013-12-05,99.28,97.95,99.94,98.25,51276,94786250
2013-12-06,98.49,97.88,100,99.9,54441,107963460
2013-12-09,100.32,99.55,101.07,101,50975,95366620
2013-12-10,100.97,99.72,101.39,100.16,51161,91125870
2013-12-11,99.91,99.13,100.94,100.65,58080,85886120
2013-12-12,99.5,98.44,100.3,98.96,54486,103712820
2013-12-13,98.96,98.58,99.6,98.94,41541,79694090
2013-12-16,98.4,98.12,99.93,99.85,66307,87234110
2013-12-17,100.53,99.61,100.81,100.15,45831,72704270
2013-12-18,100.15,99.82,100.71,100.18,51299,59591350
2013-12-19,101.23,100.8,102.3,101.78,56224,105506160
2013-12-20,101.85,101.31,102.25,102.2,37659,75647410
2013-12-23,102.45,102.05,102.83,102.45,39231,67006350
2013-12-24,102.5,101.75,102.54,101.96,20618,40338120
2013-12-25,102.31,101.53,102.31,101.62,13450,22183040
2013-12-26,101.62,101.45,102.18,101.95,9860,22250510
2013-12-27,102,100.65,102.21,100.68,19021,37103790
2013-12-30,100.51,100.45,101.39,101.17,14466,34310640
2014-01-06,100.2,98.62,100.31,98.91,22830,31691800
2014-01-08,99.1,97.85,99.41,98.19,35633,42372290
