TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-03-25,75.02,73.21,75.05,73.35,55,120300
2013-03-26,72.64,71.34,74.06,72.3,106,209100
2013-03-27,73.04,71.85,73.04,72.28,38,76900
2013-03-28,72.9,72.73,75.16,75.12,96,211700
2013-03-29,75.28,74.97,75.28,75.11,42,91800
2013-04-01,74.9,74.63,75.85,75.04,86,208200
2013-04-02,74.87,74.2,75.44,74.62,125,300500
2013-04-03,75.09,74.64,75.11,74.64,90,211800
2013-04-04,74.3,72.36,75.81,74.87,370,836800
2013-04-05,74.89,73.21,74.89,73.57,318,696800
2013-04-08,73.99,72.01,74.29,72.7,97,216600
2013-04-09,73,72.48,73.77,73.58,346,812400
2013-04-10,72,71.1,73,71.42,308,617100
2013-04-11,71.52,69.32,71.71,69.32,373,751600
2013-04-12,69.29,68.32,69.88,69.47,165,314200
2013-04-15,68.47,66.54,68.49,67.77,313,648600
2013-04-16,67.08,67,68.18,67.59,205,450700
2013-04-17,68.12,67.48,68.63,67.67,159,339500
2013-04-18,67.93,67.55,69.72,68.39,328,781400
2013-04-19,69.27,68.82,70.3,70.3,187,434800
2013-04-22,70.83,69.65,71.42,69.65,166,395400
2013-04-23,69.42,68.86,70.05,70.05,98,247000
2013-04-24,70.7,70.41,71.5,70.53,81,191900
2013-04-25,70.76,70.66,72.15,70.93,270,699800
2013-04-26,70.24,69.42,70.74,70.32,149,349600
2013-04-29,70.45,69.77,71.06,69.87,72,190200
2013-04-30,69.65,69.1,72.21,72.21,225,425900
2013-05-02,72.37,71.54,72.62,72.24,270,667800
2013-05-03,72.8,71.88,73.23,72.77,222,468200
2013-05-06,72.9,72.9,73.66,73.35,196,470000
2013-05-07,73.22,73.19,74.91,74.73,119,214300
2013-05-08,74.88,74.87,75.83,75.83,68,147300
2013-05-10,75.84,73.05,75.84,75.39,162,333900
2013-05-13,74.71,74.48,75.81,75.81,241,467100
2013-05-14,75.43,75.28,76.95,75.57,255,523300
2013-05-15,75.87,74.7,75.93,75.27,210,402900
2013-05-16,75.42,74.86,75.56,75.16,141,266800
2013-05-17,75.36,74.89,76.48,75.91,138,313500
2013-05-20,76.48,76.07,77.42,77.2,103,211800
2013-05-21,76.9,76.35,78.16,78.13,92,172000
2013-05-22,78.23,78.09,79.65,79.65,54,114400
2013-05-23,77.41,75.82,77.57,76.5,144,308700
2013-05-24,76.9,75.08,77.31,75.54,234,541100
2013-05-27,76.4,75.11,76.4,75.49,166,348900
2013-05-28,76,76,77.59,77.49,113,229800
2013-05-29,77.13,75.69,77.13,76.08,409,775200
2013-05-30,75.96,75.27,78.54,77.1,1021,2047700
2013-05-31,77.5,72.2,77.5,72.2,936,1540200
2013-06-03,72.32,70.61,72.89,72.05,761,1201800
2013-06-04,72.31,71.76,73.07,71.76,208,237600
2013-06-05,71.36,70.38,71.86,70.7,346,538800
2013-06-06,70.41,70.1,72.12,72.12,282,346300
2013-06-07,72.12,70.01,74.12,73.41,211,310700
2013-06-10,73.72,72.96,74.18,73.27,139,274200
2013-06-11,72.79,70.25,73.59,70.59,341,626300
2013-06-13,69.24,68.48,69.7,69,241,483300
2013-06-14,69.92,69.36,70.44,70.23,202,443200
2013-06-17,70.61,70.61,71.91,71.61,413,619300
2013-06-18,71.57,71.45,72.88,72.39,833,760200
2013-06-19,72.76,71.13,72.76,71.47,174,210600
2013-06-20,70.36,69,70.36,69.19,209,332500
2013-06-21,69.16,69,70.11,69,155,325000
2013-06-24,68.64,67.76,69.28,67.76,157,261600
2013-06-25,68.63,68.07,69,68.07,219,463100
2013-06-26,68.18,67.9,69.95,69.86,319,457600
2013-06-27,70.4,69.28,70.62,69.5,300,449200
2013-06-28,70.32,67.36,70.5,67.36,220,241800
2013-07-01,69.91,69.79,71.4,71.26,208,214100
2013-07-02,71.09,70.63,71.73,70.82,82,145400
2013-07-03,70.39,69.22,70.39,69.57,117,142300
2013-07-04,70,69.5,70.81,70.81,117,160700
2013-07-05,71.27,70.18,71.52,70.22,154,164800
2013-07-08,70.04,69.97,70.51,70.41,61,73600
2013-07-09,70.88,69.75,70.88,69.75,55,120300
2013-07-10,69.62,69.39,70.05,69.64,186,303300
2013-07-11,70.54,70.53,75.22,72.9,240,353400
2013-07-12,72.83,72.62,74.62,74.62,434,808500
2013-07-15,75.12,74.64,76.8,76.8,308,598100
2013-07-16,73.5,73.5,77.19,76.36,252,497500
2013-07-17,76.1,76,77.92,77.5,346,563100
2013-07-18,77.2,74.89,77.21,75.41,264,526700
2013-07-19,75.76,75.01,76.7,76.1,168,320800
2013-07-22,75.7,74.76,75.96,75,208,391400
2013-07-23,75.48,74.4,75.75,74.4,378,555300
2013-07-24,74.06,73.75,75.14,74.08,431,752000
2013-07-25,74.15,73.45,74.69,73.45,300,592600
2013-07-26,73.83,72.94,73.98,72.94,181,321500
2013-07-29,72.73,72.73,73.42,73.09,194,308700
2013-07-30,73.71,73.06,74.31,74.14,228,280100
2013-07-31,73.98,70.36,75.13,74.76,287,388600
2013-08-01,75.29,74.67,75.44,74.94,171,291400
2013-08-02,74,74,75.45,75.45,185,286100
2013-08-05,75.13,75.13,76.12,75.35,174,316300
2013-08-06,75.49,73.48,75.51,73.48,272,343600
2013-08-07,73.03,72.15,73.39,72.51,521,888800
2013-08-08,73.17,72.11,73.25,72.49,364,757000
2013-08-09,72.44,72.13,73.16,73.16,312,460900
2013-08-12,73.13,72.27,73.42,73.22,275,332000
2013-08-13,73.66,73.04,74.41,74.35,271,486400
2013-08-14,74.2,74.14,74.94,74.85,308,587500
2013-08-15,74.39,72.5,74.51,72.62,1225,2490800
2013-08-16,72.59,71.66,72.83,72.12,571,956500
2013-08-19,71.97,71.72,74.26,72.9,708,1123200
2013-08-20,72.29,71.52,72.3,71.75,411,971000
2013-08-21,71.87,71.01,72.43,71.67,450,499400
2013-08-22,71.48,71.39,72.78,72.59,377,572700
2013-08-23,72.53,72.24,72.64,72.41,244,287200
2013-08-26,72.85,71.8,72.97,72.07,246,373500
2013-08-27,71.61,70.52,72.46,70.88,419,651800
2013-08-28,70.21,69.29,75.26,69.82,723,1161800
2013-08-29,70.02,69.52,70.55,70.17,279,482100
2013-08-30,69.96,68.56,70.24,70.2,700,987500
2013-09-02,70.49,69.62,70.88,70,2678,4234800
2013-09-03,70.25,70.05,70.94,70.4,6525,8066600
2013-09-04,70.75,69.99,70.75,70.29,2954,3718500
2013-09-05,70.49,70.1,71.6,71.39,8378,10677200
2013-09-06,71.8,70.5,73.02,70.81,11086,14888600
2013-09-09,70.66,70.66,73.56,73.51,9439,12815700
2013-09-10,73.75,73.75,76.67,75.68,15835,25451100
2013-09-11,75.8,74.5,75.98,74.88,8786,8148500
2013-09-12,74.93,74.19,75.28,74.71,6503,7436000
2013-09-13,74.42,74.14,74.94,74.44,4403,4842100
2013-09-16,75.03,75,77.04,76.94,9237,10526000
2013-09-17,76.62,76.2,77.6,77.32,6236,8081300
2013-09-18,77.88,76.3,77.88,76.37,6318,6708300
2013-09-19,78,77.77,78.99,78,11865,15695500
2013-09-20,77.59,77.32,78.13,77.79,4742,5297600
2013-09-23,77.61,76.65,77.98,76.8,6678,7055300
2013-09-24,76.51,76.01,76.73,76.71,6043,6880200
2013-09-25,76.44,76.2,77.9,77.9,6556,7261100
2013-09-26,77.85,77.41,78.33,77.9,5271,5688200
2013-09-27,78.29,75.59,78.29,75.7,9476,11916200
2013-09-30,75.28,74.3,75.56,74.7,5936,7825100
2013-10-01,74.68,74.61,76.4,76.3,8486,9530200
2013-10-02,76.35,75.17,76.36,75.33,8278,9028000
2013-10-03,75.87,75.21,76.34,75.65,6260,8134300
2013-10-04,78.66,75.27,78.66,76.44,5093,6491800
2013-10-07,76.13,75.52,76.26,75.95,5072,5777500
2013-10-08,75.95,75.86,77.8,77.73,7224,10628100
2013-10-09,77.37,76.92,79.41,77.6,13246,21456500
2013-10-10,77.29,77.29,79.05,78.8,6687,10600500
2013-10-11,79.22,78.12,79.39,78.61,5908,7104200
2013-10-14,78.5,77.75,78.83,78.6,4505,5400100
2013-10-15,79,78.91,79.92,79.88,7874,9927600
2013-10-16,79.51,79.26,80.12,79.99,9409,12296200
2013-10-17,80.45,78.61,80.45,79.4,9906,11245800
2013-10-18,79.98,79.72,81.4,81.15,10916,14383500
2013-10-21,81.34,81.01,82.6,82.33,8971,11700200
2013-10-22,81.97,81.8,83.05,82.67,8444,12846600
2013-10-23,82.01,80.53,82.33,80.84,12586,15369400
2013-10-24,80.89,80.2,81.22,80.58,7489,8954800
2013-10-25,80.54,79.9,81.67,81.34,8825,11737900
2013-10-28,81.51,81.06,82.3,81.6,8806,9628600
2013-10-29,81.19,81.01,83.18,82.68,13436,18894600
2013-10-30,82.73,82.33,83.32,82.54,8677,8130500
2013-10-31,82,81.7,83.17,82.98,9760,11351100
2013-11-01,82.88,82.74,83.82,83.61,8813,10176100
2013-11-05,83.61,81.87,84.28,82.09,8794,8001100
2013-11-06,82.3,82.02,83.38,83.22,10501,11670900
2013-11-07,83.14,82.7,84.17,83.55,9891,11857100
2013-11-08,82.58,82.12,82.97,82.94,7429,9623600
2013-11-11,83,82.15,83.23,82.36,5466,6491100
2013-11-12,83.43,82.34,83.43,83.05,8990,12186100
2013-11-13,83.33,81.7,83.69,82.68,12969,14763100
2013-11-14,83,82.51,83.56,83.24,12218,11954000
2013-11-15,83.52,82.95,83.75,83.09,5827,6365700
2013-11-18,83.41,83.03,83.9,83.89,4455,4841400
2013-11-19,83.7,83.7,84.7,84.55,6852,11063700
2013-11-20,84.21,83.93,85.48,85.35,7794,10793000
2013-11-21,85.03,84.64,85.23,84.97,5380,8272700
2013-11-22,85.2,84.52,85.85,85.55,8157,9482100
2013-11-25,85.66,85.35,86.13,85.6,5561,6993800
2013-11-26,85.5,84.81,85.7,85.16,7943,10241400
2013-11-27,85.19,84.17,85.77,85.15,9418,14960700
2013-11-28,85.34,85,85.58,85.17,3736,5664100
2013-11-29,85.17,84.61,85.55,84.85,4921,5814000
2013-12-02,84.88,84.4,85.16,84.61,5483,5984600
2013-12-03,84.4,82.74,84.6,82.77,9630,11697100
2013-12-04,82.85,81.73,83.18,82,11376,13246200
2013-12-05,82.18,80.12,82.27,80.15,10017,16109600
2013-12-06,80.15,80.1,81.26,81.09,9700,11637000
2013-12-09,81.4,81.01,81.75,81.35,8901,9939200
2013-12-10,81.5,80.61,82.04,81.15,7568,7892100
2013-12-11,80.74,80.51,81.35,80.98,6305,6374000
2013-12-12,80.4,79.98,80.83,80.79,7640,9653800
2013-12-13,78.66,78.66,81.32,80.12,8805,10644600
2013-12-16,80,79.62,80.44,80.14,11178,9878900
2013-12-17,80.12,79.53,80.95,79.53,9490,12950800
2013-12-18,79.91,78.71,79.91,79.71,10122,11817200
2013-12-19,80.49,79.41,80.82,80.06,9077,13116600
2013-12-20,80.06,79.55,81.16,80.57,9074,13292200
2013-12-23,81,80.47,81.34,81.05,6203,7934300
2013-12-24,81.05,80.38,81.24,80.58,3620,5231400
2013-12-25,80.87,80.16,80.87,80.33,2374,2620300
2013-12-26,80.31,80.01,80.7,80.11,2206,3264900
2013-12-27,80.32,79.55,80.36,79.55,4611,4989900
2013-12-30,79.5,79.45,80.21,80.21,4680,5874700
2014-01-06,79.5,79.01,79.72,79.5,3132,3002200
2014-01-08,79.7,78,79.79,78.05,5434,8051300
2014-01-09,78.12,77.72,78.47,77.86,5608,6474100
2014-01-10,77.63,77.23,78.39,78.16,5326,6480900
2014-01-13,78.25,78.01,79.5,79.35,5416,7949400
2014-01-14,78.8,78.23,78.95,78.26,5798,5767600
2014-01-15,78.51,78.48,79.43,79.19,5527,7294500
2014-01-16,79.28,79.01,79.69,79.02,4914,4609700
2014-01-17,79.01,78.72,80.18,79.83,7866,8074300
2014-01-20,79.64,79.57,81.42,81.18,5822,8270500
2014-01-21,81.55,80.91,81.71,81.23,3946,5548500
2014-01-22,81.28,80.57,81.38,81.26,4327,6797100
2014-01-23,80.96,80.73,81.84,81.06,4832,5629400
2014-01-24,80.72,79.3,80.8,79.49,7101,8055600
2014-01-27,78.99,77.13,79.81,77.2,13822,21172100
2014-01-28,77.35,76.26,78.21,76.61,15153,12522000
2014-01-29,77.2,76.01,77.92,76.16,10310,12797300
2014-01-30,76.27,74.85,76.55,75.5,11170,14554700
2014-01-31,75.6,74.9,76.3,75.09,12988,12128600
2014-02-03,75.28,74.65,75.8,74.98,7151,9537000
2014-02-04,74.22,73.75,75.05,75,8741,10889200
2014-02-05,75.67,74.83,76.17,75.81,6305,9174200
2014-02-06,76.01,75.8,77.09,76.75,6673,9034400
2014-02-07,77.2,77,78.14,77.7,9143,10546100
2014-02-10,78.21,77.17,78.22,77.27,6312,7885100
2014-02-11,77.35,77.35,78.79,78.69,8217,8995500
2014-02-12,79,78.95,80.35,80.25,9650,17565800
2014-02-13,79.69,78.53,80.17,78.76,9038,12907800
2014-02-14,79.26,78.36,79.46,78.87,6623,10598000
2014-02-17,78.94,78.94,79.66,79.43,4301,6320500
2014-02-18,78.99,78.65,79.89,78.93,5978,9657100
2014-02-19,78.75,77.21,78.75,77.69,6644,9661500
2014-02-20,77.1,76.34,77.66,76.99,12987,9470600
2014-02-21,77.63,77.12,78.08,77.77,5804,8484200
2014-02-24,77.52,77.18,77.9,77.45,3725,4573800
2014-02-25,77.63,77.39,78.1,78.09,6428,9364200
2014-02-26,78.08,77.5,78.48,78.03,7726,10792000
2014-02-27,77.99,76.04,78.15,76.19,10028,14348200
2014-02-28,76.48,74.5,76.56,75.44,14410,19922900
2014-03-03,71.06,60.06,72.99,66.14,35172,47305600
2014-03-04,66.8,66.39,71.69,71.45,29684,39625900
2014-03-05,71.8,70.78,74.26,73.36,26629,37700100
