TRADEDATE,SECID,CLOSE
2014-06-09,SNGS,26.942
2014-06-10,SNGS,27.394
2014-06-11,SNGS,27.559
2014-06-16,SNGS,27.351
2014-06-17,SNGS,27.792
2014-06-18,SNGS,28.184
2014-06-19,SNGS,27.248
2014-06-20,SNGS,27.186
2014-06-23,SNGS,27.275
2014-06-24,SNGS,27.8
2014-06-25,SNGS,26.717
2014-06-26,SNGS,26.5
2014-06-27,SNGS,26.6
2014-06-30,SNGS,26.436
2014-07-01,SNGS,26.673
2014-07-02,SNGS,27.484
2014-07-03,SNGS,27.26
2014-07-04,SNGS,26.595
2014-07-07,SNGS,27
2014-07-08,SNGS,26.791
2014-07-09,SNGS,26.99
2014-07-10,SNGS,26.652
2014-07-11,SNGS,26.9
2014-07-14,SNGS,26.38
2014-07-15,SNGS,26.022
2014-07-16,SNGS,25.965
2014-07-17,SNGS,25.59
2014-07-18,SNGS,24.811
2014-07-21,SNGS,24.555
2014-07-22,SNGS,24.851
2014-07-23,SNGS,24.92
2014-07-24,SNGS,24.882
2014-07-25,SNGS,24.86
2014-07-28,SNGS,24.586
2014-07-29,SNGS,24.821
2014-07-30,SNGS,24.792
2014-07-31,SNGS,24.86
2014-08-01,SNGS,25.511
2014-08-04,SNGS,26.435
2014-08-05,SNGS,25.365
2014-08-06,SNGS,25.108
2014-08-07,SNGS,25.072
2014-08-08,SNGS,25.269
2014-08-11,SNGS,25.47
2014-08-12,SNGS,25.355
2014-08-13,SNGS,25.874
2014-08-14,SNGS,26.25
2014-08-15,SNGS,26.116
2014-08-18,SNGS,26.038
2014-08-19,SNGS,26.59
2014-08-20,SNGS,26.859
2014-08-21,SNGS,27.15
2014-08-22,SNGS,26.583
2014-08-25,SNGS,26.65
2014-08-26,SNGS,26.5
2014-08-27,SNGS,26.64
2014-08-28,SNGS,26.2
2014-08-29,SNGS,25.525
2014-09-01,SNGS,25.601
2014-09-02,SNGS,25.995
2014-09-03,SNGS,26.323
2014-09-04,SNGS,26.775
2014-09-05,SNGS,26.766
2014-09-08,SNGS,26.526
2014-09-09,SNGS,26.811
2014-09-10,SNGS,27.06
2014-09-11,SNGS,26.94
2014-09-12,SNGS,26.95
2014-09-15,SNGS,27.044
2014-09-16,SNGS,27.38
2014-09-17,SNGS,27.35
2014-09-18,SNGS,27.31
2014-09-19,SNGS,27.136
2014-09-22,SNGS,26.8
2014-09-23,SNGS,27.263
2014-09-24,SNGS,27.459
2014-09-25,SNGS,26.93
2014-09-26,SNGS,26.977
2014-09-29,SNGS,26.384
2014-09-30,SNGS,26.04
2014-10-01,SNGS,26.055
2014-10-02,SNGS,25.48
2014-10-03,SNGS,26.01
2014-10-06,SNGS,26.55
2014-10-07,SNGS,26.55
2014-10-08,SNGS,26.01
2014-10-09,SNGS,26.1
2014-10-10,SNGS,25.75
2014-10-13,SNGS,26.475
2014-10-14,SNGS,26.64
2014-10-15,SNGS,26.4
2014-10-16,SNGS,26.2
2014-10-17,SNGS,26.965
2014-10-20,SNGS,26.55
2014-10-21,SNGS,26.47
2014-10-22,SNGS,26
2014-10-23,SNGS,25.995
2014-10-24,SNGS,26.215
2014-10-27,SNGS,26.69
2014-10-28,SNGS,26.845
2014-10-29,SNGS,27.4
2014-10-30,SNGS,27.48
2014-10-31,SNGS,28.795
2014-11-03,SNGS,28.23
2014-11-05,SNGS,28.475
2014-11-06,SNGS,28.195
2014-11-07,SNGS,27.765
2014-11-10,SNGS,28.64
2014-11-11,SNGS,28.815
2014-11-12,SNGS,28.815
2014-11-13,SNGS,28.305
2014-11-14,SNGS,28.95
2014-11-17,SNGS,29.005
2014-11-18,SNGS,29.165
2014-11-19,SNGS,29.885
2014-11-20,SNGS,30.06
2014-11-21,SNGS,29.7
2014-11-24,SNGS,29.545
2014-11-25,SNGS,29.44
2014-11-26,SNGS,29.435
2014-11-27,SNGS,28.755
2014-11-28,SNGS,29.2
2014-12-01,SNGS,30.285
2014-12-02,SNGS,30.79
2014-12-03,SNGS,31.27
2014-12-04,SNGS,30.8
2014-12-05,SNGS,29.85
2014-12-08,SNGS,28.895
2014-12-09,SNGS,28.62
2014-12-10,SNGS,28.31
2014-12-11,SNGS,27.22
2014-12-12,SNGS,26.45
2014-12-15,SNGS,25.1
2014-12-16,SNGS,24.62
2014-12-17,SNGS,23.54
2014-12-18,SNGS,24.66
2014-12-19,SNGS,24.42
2014-12-22,SNGS,24.785
2014-12-23,SNGS,24.62
2014-12-24,SNGS,24.5
2014-12-25,SNGS,24.025
2014-12-26,SNGS,24.3
2014-12-29,SNGS,24.52
2014-12-30,SNGS,23.52
2015-01-05,SNGS,24.24
