TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2014-06-09,27.5,27.313,27.59,27.48,3810,12674200
2014-06-10,27.394,27.311,27.58,27.55,8798,14035900
2014-06-11,27.472,27.444,28.15,28.15,9358,27208800
2014-06-16,28.3,27.87,28.3,28.27,25833,68059900
2014-06-17,28.986,28.2,28.986,28.2,9308,22101600
2014-06-18,28.2,28.2,29.1,29.1,12454,37906800
2014-06-19,29.475,28.364,29.475,28.411,11068,29664000
2014-06-20,28.551,27.859,28.551,27.859,8789,21161600
2014-06-23,28.001,27.998,28.489,28.25,6697,20111600
2014-06-24,26.994,26.994,28.979,28.75,11886,28189100
2014-06-25,28.502,28.126,29.099,28.16,7303,18307800
2014-06-26,28.381,27.962,28.59,28.185,8562,19616400
2014-06-27,28.499,28.044,28.499,28.255,6881,14263700
2014-06-30,27.983,27.472,28.283,28,8444,23086700
2014-07-01,27.965,27.611,28.08,27.811,6276,15362300
2014-07-02,27.875,27.824,28.22,28.19,11054,21503300
2014-07-03,28.2,28.14,28.493,28.28,5721,15931500
2014-07-04,28.272,27.712,28.384,27.786,7546,16341700
2014-07-07,28.555,27.8,28.555,28,9748,24238300
2014-07-08,28.074,28,28.42,28.223,10524,25781900
2014-07-09,28.25,28.065,28.667,28.62,9677,26436500
2014-07-10,28.811,28.322,28.946,28.74,19087,51506600
2014-07-11,28.568,28.555,28.848,28.706,14189,45210400
2014-07-14,28.708,28.708,29.02,28.92,12301,51528700
2014-07-15,26.855,26.32,27.058,26.85,17946,55166400
2014-07-16,26.711,26.707,27.2,27.127,17232,36150800
2014-07-17,25,24.905,27.027,26.888,11536,27099200
2014-07-18,26.46,26.35,26.85,26.61,14001,30469900
2014-07-21,26.61,25.125,26.684,25.25,18571,41965100
2014-07-22,25.719,25.469,26.298,26.289,13600,28014900
2014-07-23,26.31,25.953,26.5,26.5,8185,20330500
2014-07-24,26.587,26.277,26.587,26.5,8441,18913700
2014-07-25,26.575,26.128,26.78,26.26,7288,9249700
2014-07-28,26.158,25.4,26.158,25.4,9496,17578400
2014-07-29,25.499,25.216,25.721,25.5,9454,18515400
2014-07-30,25.48,25.372,26.477,26,11408,28554700
