TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2023-12-15,14.6,12.33,14.9,12.505,80082,235374000
2023-12-18,12.6,12.55,13.1,12.9,38732,122471200
2023-12-19,12.925,12.55,13.06,12.61,15543,40704700
2023-12-20,12.64,12.55,12.905,12.805,10447,30497500
2023-12-21,12.805,12.71,13.29,13.16,14246,52074600
2023-12-22,13.24,13.16,13.795,13.71,21541,55191300
2023-12-25,13.8,13.31,14.335,13.5,21252,53860800
2023-12-26,13.75,13.4,13.765,13.52,8389,16156300
2023-12-27,13.65,13.505,13.7,13.655,7161,15586800
2023-12-28,13.66,13.5,13.9,13.605,10233,28859900
2023-12-29,13.665,13.6,13.785,13.7,5456,9784100
2024-01-03,13.71,13.71,14.3,14.245,9453,15686700
2024-01-04,14.5,14.045,14.5,14.155,6468,9865300
2024-01-05,14.195,14.05,14.3,14.185,4268,6228600
2024-01-08,14.18,14.135,14.46,14.315,7368,13652800
2024-01-09,14.39,14.105,14.39,14.15,10713,12704800
2024-01-10,14.19,14.135,14.4,14.2,9451,20891800
2024-01-11,14.34,13.7,14.34,13.995,11840,24124100
2024-01-12,14,13.705,14.08,13.81,13826,23023400
2024-01-15,13.85,13.76,13.96,13.805,8559,13083600
2024-01-16,13.805,13.56,13.86,13.755,11664,20835400
2024-01-17,13.795,13.63,13.9,13.85,7182,15155000
2024-01-18,13.9,13.7,13.9,13.7,4997,9904100
2024-01-19,13.765,13.5,13.78,13.7,8269,13604100
2024-01-22,13.71,13.635,14.045,13.9,9211,24588100
2024-01-23,14.1,13.935,14.95,14.895,44836,132442400
2024-01-24,14.97,14.66,15.59,14.78,62427,164047600
2024-01-25,14.88,14.6,15.19,14.975,20008,45665400
2024-01-26,15.13,14.83,15.34,14.965,18849,41773600
2024-01-29,15,14.875,15.165,15.05,13040,25012600
2024-01-30,15.105,15.05,15.6,15.28,28228,68644700
2024-01-31,15.42,15.235,15.835,15.465,25712,64351200
2024-02-01,15.56,15.315,15.67,15.34,13727,27503500
2024-02-02,15.34,15.02,15.4,15.3,17102,30495100
2024-02-05,15.37,15.22,15.475,15.405,10642,27669400
2024-02-06,15.445,15.415,16.165,16.065,25708,61259500
2024-02-07,16.07,16.065,18.25,17.69,123610,347733900
2024-02-08,17.795,17.78,18.94,18.06,92577,263518900
2024-02-09,18.3,17.07,18.3,17.355,55584,113769800
2024-02-12,17.4,16.855,17.48,17.21,29387,55526300
2024-02-13,17.25,17.22,17.97,17.8,36380,87905900
2024-02-14,17.9,17.445,17.955,17.54,16080,31862700
2024-02-15,17.585,17.2,17.76,17.51,18614,39025000
2024-02-16,17.6,17.285,17.875,17.48,30662,72599400
2024-02-19,18.575,17.8,18.86,18.85,92406,221001600
2024-02-20,18.865,17.67,19.15,18.25,57929,138571800
2024-02-21,18.2,17.7,18.45,18.19,37096,84738500
2024-02-22,18.2,18.005,18.35,18.17,18118,39798400
2024-02-26,18.3,18.27,18.78,18.645,23406,52137800
2024-02-27,18.76,18.25,18.76,18.475,14375,33259300
2024-02-28,18.525,18.07,18.525,18.285,17988,28203200
2024-02-29,18.32,18.225,18.58,18.475,18324,38746400
2024-03-01,18.475,18.475,19.3,19.28,59619,158723800
2024-03-04,19.385,18.92,19.48,19.17,40774,96795200
2024-03-05,19.2,18.92,19.33,19.28,15842,33942000
2024-03-06,19.35,19.155,19.695,19.565,34775,74222000
2024-03-07,19.62,19.5,19.815,19.59,24289,56524200
2024-03-11,19.695,18.58,19.77,19.4,23874,49216400
2024-03-12,19.45,18.6,19.45,19.215,19756,45409900
2024-03-13,19.265,19.1,19.44,19.175,12863,28328500
2024-03-14,19.18,18.66,19.225,19.03,20669,45681800
2024-03-15,19.225,18.86,19.295,18.97,17871,35708000
2024-03-18,19.06,18.65,19.47,19.32,21760,55892200
2024-03-19,19.3,18.8,19.44,19.06,17545,38955700
2024-03-20,19.125,18.735,19.165,18.865,12993,24715200
2024-03-21,18.95,18.815,19.115,19.1,8252,17555600
2024-03-22,19.155,18.45,19.225,18.79,16863,38661700
2024-03-25,18.77,18.655,19,18.905,10809,21496100
2024-03-26,18.91,18.88,19.175,19.03,8391,17292700
2024-03-27,19.05,18.77,19.085,18.94,6648,12169600
2024-03-28,18.965,18.81,18.98,18.955,7440,13051200
2024-03-29,18.97,18.97,19.445,19.35,20741,47889700
2024-04-01,19.3,19.3,20,19.905,35580,86280800
2024-04-02,19.91,19.58,19.95,19.76,14593,28718100
2024-04-03,19.78,19.71,20.3,20.255,59210,96927200
2024-04-04,20.255,19.955,20.26,20.05,13128,25923800
2024-04-05,20.05,19.815,20.17,19.98,14716,19276900
2024-04-08,20,19.86,20.05,20.01,10234,16881600
2024-04-09,20.02,19.505,20.02,19.685,16679,31837300
2024-04-10,19.695,19.42,19.95,19.545,13173,26101900
2024-04-11,19.58,19.21,19.68,19.285,13725,20254300
2024-04-12,19.285,19.16,19.445,19.23,13569,20158400
2024-04-15,19.3,19.25,19.615,19.41,13572,21926800
2024-04-16,19.455,19.225,19.49,19.27,8436,10446300
2024-04-17,19.37,19.1,19.37,19.145,8769,10991300
2024-04-18,19.12,18.86,19.15,19.08,12908,16485900
2024-04-19,19.1,18.94,19.19,19.165,7413,10629000
2024-04-22,19.17,19.035,19.4,19.125,10068,16949100
2024-04-23,19.185,18.92,19.25,18.985,8859,13243500
2024-04-24,18.99,18.84,19.115,19.035,7582,11485100
2024-04-25,19.055,18.92,19.145,19.07,5524,10165200
2024-04-26,19.07,19,19.19,19.075,7752,12909700
2024-04-27,19.085,19.045,19.25,19.14,6121,11597300
2024-04-29,19.14,19.015,19.175,19.15,4285,5671500
2024-04-30,19.18,19.02,19.18,19.05,3355,5303000
2024-05-02,19.03,18.875,19.065,18.935,6863,6828800
2024-05-03,19,18.035,19,18.61,49338,79383100
2024-05-06,18.515,18.225,18.545,18.265,20143,22266600
2024-05-07,18.265,18.22,18.89,18.65,16518,27636900
2024-05-08,18.8,18.55,19.29,19.24,17797,30784400
2024-05-10,19.235,19.195,19.71,19.695,16343,27182600
2024-05-13,19.9,19.875,20.245,20.2,39752,52600500
2024-05-14,20.34,19.715,20.495,19.8,56146,63717000
2024-05-15,19.795,19.4,19.965,19.82,30739,50192700
2024-05-16,19.38,18.8,19.65,19.36,63284,126112700
2024-05-17,19.36,19.005,19.445,19.24,12323,19859500
2024-05-20,19.3,18.58,19.3,18.825,36307,40621900
