TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2024-11-28,2390,2330.4,2416.6,2367,226765,9862491
2024-11-29,2362,2351.2,2424,2387.8,174566,7774611
2024-12-02,2404,2388.4,2430.6,2392.2,171477,6214953
2024-12-03,2397.8,2340,2402.6,2352,147966,6196687
2024-12-04,2354,2272,2386,2288.6,202449,8309368
2024-12-05,2295,2283,2374.6,2371,244240,9736023
2024-12-06,2376,2336,2390,2350,183491,8375821
2024-12-09,2382.8,2365,2410,2395,145719,6292380
2024-12-10,2397.4,2342,2398,2345.2,161651,6593828
2024-12-11,2346,2328.4,2351.2,2346.4,117118,5209213
2024-12-12,2351,2302.2,2358.6,2305.4,112146,4913532
2024-12-13,2305.2,2285.8,2312.8,2289,98057,4275645
2024-12-16,2284.6,2180.2,2287.2,2182,179518,8219587
2024-12-17,2194.6,2192,2221.6,2221.4,149225,6763471
2024-12-18,2223.2,2207,2268,2260.2,135396,7497003
2024-12-19,2260,2244.4,2299.8,2272,206715,9957933
2024-12-20,2272,2263.4,2600,2543,331477,16773829
2024-12-23,2601.6,2572.2,2640,2624.4,257280,12442170
2024-12-24,2621,2565.2,2628.2,2569.6,178428,9703547
2024-12-25,2562.2,2556,2641.8,2634.4,210054,11111715
2024-12-26,2642,2622.2,2659,2625.8,140462,7248883
2024-12-27,2630.2,2617,2645,2637,81514,4518292
2024-12-28,2640,2638.4,2665.2,2662.8,71129,4057613
2024-12-30,2687.4,2677.6,2752.2,2752.2,97354,5333925
2025-01-03,2755,2678,2765,2687.6,96207,4642298
2025-01-06,2660,2645,2717.2,2714,108391,5521016
2025-01-08,2707.6,2705,2759,2750.6,83495,4910929
2025-01-09,2752.8,2712.8,2792.6,2734,197832,11102461
2025-01-10,2755,2738.2,2900,2900,307942,16996299
2025-01-13,2967.6,2874,2999,2891.6,313036,16744413
2025-01-14,2873,2864.6,2959.4,2938,212171,11165469
2025-01-15,2937.4,2906.6,2995.4,2985.6,135173,7182072
2025-01-16,2995,2965.4,3012.2,2980.8,105174,4857781
2025-01-17,2985,2962,3053,3052.8,94581,5197476
2025-01-20,3090,2936.8,3108,2969.8,131901,6848888
2025-01-21,2988,2970,3057.6,3041.8,77104,3969570
2025-01-22,3044.6,2990,3075.4,3005.8,81487,4169278
2025-01-23,3007,2976.4,3025,3022.2,59034,2892449
2025-01-24,3022.8,2996,3039,3009.6,52728,2554246
2025-01-27,3011.2,2903.2,3016.4,2912.8,69246,2939497
2025-01-28,2912.8,2881,3013,3004.6,97874,4782338
2025-01-29,3003,2990.8,3045,3020.2,73906,3914518
2025-01-30,3021,3021,3067.8,3057,65879,3548643
2025-01-31,3059.6,3037.4,3098.8,3041.8,74481,3858582
2025-02-03,3035.2,2990.8,3049,3036.2,72327,3068200
2025-02-04,3037.2,2992.8,3056.8,3000.6,55616,2577578
2025-02-05,3003,2982.6,3086,3079.8,97451,5044981
2025-02-06,3079.8,3079.8,3135,3103,89310,4290878
2025-02-07,3107.4,3098,3123,3105,41425,2281690
2025-02-10,3122,3116.8,3188.4,3143.8,100950,5373376
2025-02-11,3155,3145,3179.4,3176,54413,3027856
2025-02-12,3180,3121.2,3400,3373.2,238510,11440493
2025-02-13,3399,3281,3454.6,3328,191726,8467324
2025-02-14,3550,3300.2,3550,3364.4,193940,9009016
