TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-07-08,,,,,0,0
2013-07-09,,,,,0,0
2013-07-10,199.18,199.18,199.18,199.18,1,10
2013-07-11,198.18,198.18,199.17,199.17,2,190
2013-07-12,201.29,201.29,201.29,201.29,1,100
2013-07-15,,,,,0,0
2013-07-16,,,,,0,0
2013-07-17,207.3,206,210,210,5,800
2013-07-18,208,208,209.99,209.99,4,400
2013-07-19,210.59,210,214.7,211,18,2180
2013-07-22,215,213,215,213,3,400
2013-07-23,211.2,210,211.2,210,4,400
2013-07-24,207,207,207,207,3,400
2013-07-25,206,206,206,206,2,200
2013-07-26,209,203,209,204,7,800
2013-07-29,,,,,0,0
2013-07-30,205,205,205.5,205.5,2,400
2013-07-31,,,,,0,0
2013-08-01,206,206,206,206,1,200
2013-08-02,,,,,0,0
2013-08-05,209,209,209,209,2,200
2013-08-06,205.7,201,209,201.13,10,1240
2013-08-07,189.09,189.09,203,203,3,320
2013-08-08,201.5,201.5,201.5,201.5,2,200
2013-08-09,205,203.5,205,205,4,600
2013-08-12,,,,,0,0
2013-08-13,208,208,209.8,209,7,900
2013-08-14,210,210,212.6,212.6,3,450
2013-08-15,207.6,204,207.6,204,6,700
2013-08-16,,,,,0,0
2013-08-19,204.4,204.4,208,208,5,850
2013-08-20,204.5,204.5,207.8,207.8,3,420
2013-08-21,204.21,204.21,209,208,7,420
2013-08-22,210,210,210,210,3,590
2013-08-23,,,,,0,0
2013-08-26,210.31,210.31,210.5,210.48,4,40
2013-08-27,207.09,204,207.09,204,50,20550
2013-08-28,202.1,201.1,205.79,203.53,8,230
2013-08-29,203,201.11,208.76,206.5,67,22370
2013-08-30,204.01,201.4,214.69,201.4,43,2000
2013-09-02,209.12,207.19,210.6,207.5,3276,797410
2013-09-03,207.6,205.06,208.88,207.32,3516,821150
2013-09-04,206.82,205.37,208,207.99,2229,361040
2013-09-05,206.92,206.92,213.65,213.65,5588,1909150
2013-09-06,212.84,212.6,219.81,216.92,12083,2236390
2013-09-09,218.93,218.24,221,220,4997,1277620
2013-09-10,220,219.13,222.89,221.85,7711,2630450
2013-09-11,222.22,218.1,222.22,221.64,6025,1399030
2013-09-12,221.39,216.75,221.39,219,4985,1488390
2013-09-13,218.98,217.51,220.88,219.38,4253,889970
2013-09-16,221,219.93,222.37,221.65,7645,2000230
2013-09-17,221.09,219.84,224.99,223,4450,1780690
2013-09-18,222.93,219.57,223.98,220.45,4544,1605950
2013-09-19,223.95,221.36,225,223.3,8764,3159990
2013-09-20,223.12,222.01,225.99,225.62,6832,2299530
2013-09-23,225.04,219.08,225.04,220.83,7421,2170870
2013-09-24,219.53,218.35,220.97,219,7776,1883610
2013-09-25,219.3,216.74,220.5,217.34,6171,2126240
2013-09-26,218,214.1,220,215.68,8728,2641440
