TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-07-08,,,,,0,0
2013-07-09,,,,,0,0
2013-07-10,,,,,0,0
2013-07-11,,,,,0,0
2013-07-12,,,,,0,0
2013-07-15,,,,,0,0
2013-07-16,,,,,0,0
2013-07-17,,,,,0,0
2013-07-18,,,,,0,0
2013-07-19,98.95,98.95,98.95,98.95,1,10
2013-07-22,,,,,0,0
2013-07-23,,,,,0,0
2013-07-24,,,,,0,0
2013-07-25,,,,,0,0
2013-07-26,,,,,0,0
2013-07-29,,,,,0,0
2013-07-30,,,,,0,0
2013-07-31,,,,,0,0
2013-08-01,,,,,0,0
2013-08-02,,,,,0,0
2013-08-05,,,,,0,0
2013-08-06,,,,,0,0
2013-08-07,,,,,0,0
2013-08-08,,,,,0,0
2013-08-09,,,,,0,0
2013-08-12,,,,,0,0
2013-08-13,,,,,0,0
2013-08-14,,,,,0,0
2013-08-15,,,,,0,0
2013-08-16,,,,,0,0
2013-08-19,,,,,0,0
2013-08-20,,,,,0,0
2013-08-21,,,,,0,0
2013-08-22,,,,,0,0
2013-08-23,,,,,0,0
2013-08-26,,,,,0,0
2013-08-27,,,,,0,0
2013-08-28,,,,,0,0
2013-08-29,,,,,0,0
2013-08-30,,,,,0,0
2013-09-02,104.25,103.1,105.48,104.24,348,259010
2013-09-03,104.87,103.5,105.49,105.3,547,327960
2013-09-04,105.3,103.58,105.75,105.51,237,62670
2013-09-05,105.73,104.02,108.23,107.99,506,364890
2013-09-06,107,106.51,109.5,107.8,682,162810
2013-09-09,108.5,107.11,109.99,109.5,783,104040
2013-09-10,109.74,107.92,109.74,109,759,297680
2013-09-11,109,107.8,109,108.89,517,139240
2013-09-12,108.35,105.02,109.15,109.14,575,335020
2013-09-13,109.13,108.55,109.49,109,567,278970
2013-09-16,109,108.11,109.87,109.09,2567,745250
2013-09-17,108.8,108.38,109.05,109,297,1203930
2013-09-18,109.79,107.22,109.79,108.51,635,587200
2013-09-19,125.95,108.52,125.95,111.01,1768,786340
2013-09-20,112.58,110.7,112.58,111.4,582,119840
2013-09-23,112.84,109.51,112.84,110.4,287,262580
2013-09-24,109.78,109.22,110.98,110.1,303,123850
2013-09-25,109.67,109.67,110.7,110.5,332,347390
2013-09-26,110.93,110.19,111.97,111.47,517,153070
2013-09-27,111.08,110.51,111.49,111.25,369,36250
2013-09-30,110.99,110.4,112,110.64,281,200690
2013-10-01,110.83,110.7,111.96,110.79,184,63830
2013-10-02,111.88,109.99,111.9,110.27,614,271260
2013-10-03,110.01,110,114,112.51,631,657190
2013-10-04,112.01,111.78,113.2,113,282,152080
2013-10-07,112.9,112.71,113.75,113.26,255,145440
2013-10-08,113.79,79.5,114,114,982,178240
2013-10-09,114.57,112.97,114.57,114.3,431,71760
2013-10-10,114.23,113.59,114.67,114.5,328,91610
