TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2013-12-16,85444,85340,86334,85985,1613,2859
2013-12-17,84642,84642,86900,85800,1365,2844
2013-12-18,85800,85252,85800,85500,812,1552
2013-12-19,85510,85449,86555,85875,1562,2848
2013-12-20,85820,84502,86065,85300,2716,6067
2013-12-23,85295,84374,85799,85725,1334,2610
2013-12-24,85558,85229,86380,86151,861,1786
2013-12-25,86251,86201,86980,86721,661,2136
2013-12-26,86802,86608,87789,87386,886,2699
2013-12-27,87389,85500,87432,85888,1748,3637
2013-12-30,85449,84990,86539,85900,987,2662
2014-01-06,85102,83214,86758,83817,1772,3074
2014-01-08,83909,82251,84101,82800,1998,5103
2014-01-09,83000,83000,83610,83251,1337,2724
2014-01-10,83101,82766,83850,83635,2249,5957
2014-01-13,83430,83011,84024,83620,1574,3424
2014-01-14,83000,82366,84456,83920,2850,5838
2014-01-15,84293,83420,84379,83902,1558,2341
2014-01-16,84186,83217,84329,83557,1717,4275
2014-01-17,83499,83418,84134,83731,1190,2988
2014-01-20,83505,83403,83999,83645,500,980
2014-01-21,83711,83665,84352,84172,983,4030
2014-01-22,84452,83806,85688,84400,1878,3845
2014-01-23,84238,84003,85350,85000,2057,6195
2014-01-24,84222,84197,85920,85446,2218,5252
2014-01-27,85030,83662,86056,84850,3172,7358
2014-01-28,84523,81321,84828,83765,5514,10797
2014-01-29,83511,80858,83775,81480,5645,12777
2014-01-30,81187,79908,82379,80450,4371,8690
2014-01-31,80369,79450,81159,80182,5751,13250
2014-02-03,79896,79053,81098,79447,2769,4885
2014-02-04,79250,78200,80599,79986,4404,10022
2014-02-05,80000,79378,80406,79642,1813,3196
2014-02-06,79921,78525,79996,79246,1668,4875
2014-02-07,79709,78660,79798,78680,1785,4143
2014-02-10,79077,78807,79980,79570,2023,3485
2014-02-11,79775,78125,79856,78395,2821,7754
2014-02-12,78675,78123,80430,80290,2713,7202
2014-02-13,80145,80000,82216,81499,2867,8553
2014-02-14,81647,80861,82284,81703,1303,2332
2014-02-17,82099,80504,82293,81300,1730,2996
2014-02-18,80801,80101,82144,80262,2017,4087
2014-02-19,80268,79670,80931,80350,2307,6213
2014-02-20,80251,79702,81614,81200,2483,6308
2014-02-21,81425,79960,81445,80229,1567,2704
2014-02-24,80228,79702,80279,79859,782,1297
2014-02-25,79793,79525,80145,79901,848,1757
2014-02-26,79949,79817,81184,80492,1998,14096
2014-02-27,81299,79901,81299,80951,2187,4950
2014-02-28,80674,79651,81190,81190,1573,3878
2014-03-03,80000,75100,80000,78350,6316,21906
2014-03-04,78999,76392,80595,77250,5502,14131
2014-03-05,77003,75288,77910,77900,2924,5632
2014-03-06,77875,76202,78198,77901,3221,7442
2014-03-07,77360,76258,78698,77895,4922,14119
2014-03-11,77503,75919,78594,77000,3410,8463
2014-03-12,76850,75602,76900,76060,3102,11431
2014-03-13,76499,75701,78500,75710,3768,13242
2014-03-14,75550,72602,75571,74100,4627,9131
2014-03-17,75995,72625,75995,73951,5207,12156
2014-03-18,73500,71700,74270,73500,4518,8391
2014-03-19,73543,70879,73790,72600,7193,16823
2014-03-20,72297,72000,73500,73000,3456,6925
2014-03-21,71735,70555,73200,72299,4592,10709
2014-03-24,72539,72539,75000,74000,3201,6651
2014-03-25,73885,73331,75447,74803,2701,6039
2014-03-26,74720,74720,76476,75300,2432,5064
2014-03-27,75405,73500,75410,74199,3010,6775
2014-03-28,74649,74347,76285,75650,3295,10015
2014-03-31,75625,75462,76683,76299,4622,13625
2014-04-01,76568,75762,77345,77034,3675,7669
2014-04-02,77060,76400,77586,77189,2682,9135
2014-04-03,77299,76990,77777,77200,2672,8313
2014-04-04,77315,76950,77876,77000,3237,8240
2014-04-07,76908,76105,77750,77500,3240,7704
2014-04-08,77625,77625,79999,79999,4074,10809
2014-04-09,80000,79200,80803,79200,2134,4534
2014-04-10,79103,78848,81245,81245,1734,5563
2014-04-11,80634,78857,81150,79540,2152,4838
2014-04-14,79520,79217,80872,80600,1603,3869
2014-04-15,80381,79812,80591,80551,3301,8508
2014-04-16,80473,79751,81489,80900,2384,6194
2014-04-17,80953,80380,81315,80400,1078,3021
2014-04-18,81200,81010,82050,81075,1072,1626
2014-04-21,81162,79800,81396,79805,1015,1453
2014-04-22,79825,79301,80500,80325,2029,4099
2014-04-23,80419,80002,80928,80387,1523,2349
2014-04-24,80511,80030,80850,80800,2373,5510
2014-04-25,80400,76582,80525,76582,2897,6351
2014-04-28,76599,76599,78437,78303,2183,6166
2014-04-29,78499,77703,78910,78425,2427,4170
2014-04-30,78264,78193,79498,78880,1812,5777
2014-05-02,78682,77557,80234,79502,2435,6365
2014-05-05,79458,78525,79718,79000,1114,2744
2014-05-06,79393,78998,79900,79497,1320,5131
2014-05-07,79478,79122,81700,80350,1992,4708
2014-05-08,80530,79530,80956,79865,1374,2640
2014-05-12,78898,78898,81183,80369,2102,3295
2014-05-13,80553,80391,81511,80800,1551,2580
2014-05-14,80912,80501,83194,83000,1647,2949
2014-05-15,83098,82323,84388,83830,2353,4354
2014-05-16,83999,82625,84351,83594,1391,2054
2014-05-19,83738,83714,84848,84688,1829,2879
2014-05-20,84841,84055,85439,85165,2614,3977
2014-05-21,83025,82625,86519,86448,2277,3374
2014-05-22,86550,85615,87444,86007,1881,2873
2014-05-23,86228,85335,87000,86960,1908,3336
2014-05-26,86999,86304,87194,86770,693,1233
2014-05-27,86771,80577,86771,81600,4709,9380
2014-05-28,81622,77501,81826,77759,4495,14261
2014-05-29,77575,76766,80000,80000,4378,14502
2014-05-30,80006,78242,80589,79894,3274,9619
2014-06-02,79895,79622,80719,79989,2517,4224
2014-06-03,79600,77777,79874,78488,2081,4413
2014-06-04,78338,77123,78400,77663,1553,3194
2014-06-05,77794,76056,77800,76500,2159,4244
2014-06-06,76798,76064,78301,77870,2046,3532
2014-06-09,78100,77050,78887,77050,1371,2737
2014-06-10,77321,76601,77758,77055,1664,2766
2014-06-11,77392,76372,78319,76510,1912,3207
2014-06-16,76549,75003,76980,75637,6122,11594
2014-06-17,75500,75500,76289,76065,2234,5014
2014-06-18,75884,75884,78600,78160,2645,4847
2014-06-19,78205,76611,78990,76627,2343,5020
2014-06-20,76714,75124,77061,75124,1918,3925
2014-06-23,75491,74618,76002,74623,1480,3404
2014-06-24,74651,74650,77975,77600,2343,5289
2014-06-25,77100,74223,77521,74504,2067,3922
2014-06-26,74750,73400,75098,73855,1759,3918
2014-06-27,74001,73505,74500,74000,1748,3097
2014-06-30,73776,73776,74460,74460,1046,2580
2014-07-01,74405,74405,75736,75425,2110,5153
2014-07-02,75598,74737,76855,76855,2698,5554
2014-07-03,76708,75816,77100,75850,1281,2570
2014-07-04,75699,74800,76551,76525,2361,5817
2014-07-07,76675,76102,77251,77163,1369,2232
2014-07-08,74156,74156,77483,76250,1577,2556
2014-07-09,76200,74350,76292,74800,1894,2964
2014-07-10,74855,74062,75404,74062,3070,6180
2014-07-11,73190,73190,75950,74505,1962,3326
2014-07-14,74903,74715,75400,74810,1902,3235
2014-07-15,74999,74801,75300,74997,1397,2352
2014-07-16,74801,74801,75550,75450,1735,2811
2014-07-17,74813,74052,75888,75000,2134,4715
2014-07-18,73750,71500,74599,72990,4057,8047
2014-07-21,73001,71821,73300,73140,3004,8981
2014-07-22,73499,73276,75625,74210,2375,5131
2014-07-23,74479,73751,75035,74200,1717,2827
2014-07-24,74000,73308,74600,73790,1870,3251
2014-07-25,75856,72840,75856,73036,2428,4279
2014-07-28,73000,72311,73769,73470,1772,3651
2014-07-29,73501,73109,74744,74096,1869,3255
2014-07-30,73988,73125,75000,73728,2957,6708
2014-07-31,73891,73160,74335,73800,1972,4245
2014-08-01,73612,73250,74500,73580,1473,2465
2014-08-04,73602,71625,73960,72900,2933,8156
2014-08-05,73004,72402,73611,73557,1515,3651
2014-08-06,73464,73391,74498,74060,1687,4586
2014-08-07,73618,73601,74899,74486,1567,3710
2014-08-08,74391,74170,76950,76300,2028,5044
2014-08-11,76892,76823,78194,77055,1689,4093
2014-08-12,76865,76659,78000,77455,1429,2764
2014-08-13,78343,77153,78849,78849,1566,3530
2014-08-14,79780,78409,81432,80989,3561,10537
2014-08-15,81324,80316,82466,81780,3063,9113
2014-08-18,81523,81344,82394,82049,1502,3355
2014-08-19,82097,80924,82695,81300,1704,3681
2014-08-20,81316,81048,82240,81280,1584,3302
2014-08-21,81524,81410,83798,83697,2481,5671
2014-08-22,83463,82200,83989,82400,1388,3270
2014-08-25,82499,82336,82975,82764,595,1319
2014-08-26,82799,81904,83200,82243,1161,2182
2014-08-27,82763,81061,83112,81200,1253,3110
2014-08-28,81162,79125,81793,80800,2730,4869
2014-08-29,80801,80515,81600,81499,1459,3197
2014-09-01,81302,80892,83798,81717,2228,3646
2014-09-02,82000,81210,82737,82219,1079,2061
2014-09-03,82691,81829,84199,83743,2323,3702
2014-09-04,83749,83561,85650,85400,1760,2942
2014-09-05,85065,84800,87599,86492,3198,7725
2014-09-08,86000,84401,86895,84500,1705,3794
2014-09-09,84661,83582,85470,84398,1357,2616
2014-09-10,84223,83500,84800,84800,1041,1605
2014-09-11,84799,82655,85392,82850,1908,3758
2014-09-12,82848,82300,84849,84369,1632,2570
2014-09-15,84198,83400,84950,84598,3519,5931
2014-09-16,84500,84357,86350,85509,2727,4456
2014-09-17,85499,84660,86837,84900,1468,2353
2014-09-18,84902,84502,85877,84881,1281,1889
2014-09-19,84659,83500,86900,86900,2473,6104
2014-09-22,85972,84446,86271,84446,904,1654
2014-09-23,84531,84001,86295,86063,1177,1999
2014-09-24,86013,86013,89151,88600,2311,4500
2014-09-25,89076,88409,91000,90150,2137,4290
2014-09-26,90052,88500,91500,89000,1755,3924
2014-09-29,88995,86800,89999,87080,1723,2879
2014-09-30,87100,86100,87822,87399,1844,6089
2014-10-01,87010,85370,87180,85930,1451,5488
2014-10-02,85700,84250,86090,84880,2788,5975
2014-10-03,85050,84360,85630,85310,1845,4507
2014-10-06,85560,85560,87950,87400,2222,3946
2014-10-07,87420,86150,87440,86600,1780,3863
2014-10-08,86350,85570,87460,86210,1879,3162
2014-10-09,87100,86700,88700,88000,1707,3083
2014-10-10,87440,86800,88180,87200,1374,2186
2014-10-13,86710,86710,88890,87900,2173,3674
2014-10-14,87710,87170,88930,88080,2695,4723
2014-10-15,88250,87000,88450,87000,1229,1877
2014-10-16,87180,86790,88600,87350,2478,3709
2014-10-17,87990,87530,88550,88130,1554,2242
2014-10-20,88300,87050,88800,87920,1438,2186
2014-10-21,88280,87300,88850,88330,1518,2517
2014-10-22,88410,87340,88650,87900,1779,3065
2014-10-23,87610,86700,88160,87880,2426,3511
2014-10-24,88070,87120,89490,89480,1646,2884
2014-10-27,86650,86650,90730,90500,2416,4785
2014-10-28,90660,90300,93390,93390,2798,4838
2014-10-29,93390,91760,94500,92250,2188,4203
2014-10-30,91950,91900,94390,94390,2634,3936
2014-10-31,94810,93360,95330,93990,2664,4092
2014-11-03,93510,91610,93900,93530,1502,2701
2014-11-05,93380,92120,97800,97800,2909,6556
2014-11-06,96960,96810,100240,98690,3324,6739
2014-11-07,98800,97100,102590,98100,4962,9065
2014-11-10,98980,96280,99480,97050,1822,3046
2014-11-11,96550,96510,99350,99170,1469,2874
2014-11-12,98900,98000,99820,98000,1620,2865
2014-11-13,98150,98150,99440,98980,1535,2461
2014-11-14,98530,98320,102900,102030,2766,7594
2014-11-17,101820,101810,108600,108600,3252,5194
2014-11-18,108150,106740,109800,108500,3804,9958
2014-11-19,108790,103620,108890,105440,2262,4029
2014-11-20,105370,105230,108500,108500,2361,4635
2014-11-21,108990,105760,109000,108500,2148,3441
2014-11-24,108290,103150,108290,105600,2464,4561
2014-11-25,105570,104040,106800,105000,1545,5285
2014-11-26,104980,103500,108360,108360,3095,6490
2014-11-27,108050,107490,112420,112000,5319,13534
2014-11-28,111400,111260,120740,119200,6824,14066
2014-12-01,119900,118000,126050,124200,4621,7362
2014-12-02,124200,120040,125900,121710,3905,5711
2014-12-03,122470,121520,128400,127000,3712,5808
2014-12-04,127950,125620,131040,126100,4629,7465
2014-12-05,127000,119200,127350,119200,2738,3964
2014-12-08,119200,115300,122500,115830,3460,5271
2014-12-09,115350,110490,115900,111020,2931,4191
2014-12-10,111350,107720,113350,109790,3822,6391
2014-12-11,109800,103630,110420,105750,3571,6294
2014-12-12,105750,100200,109050,106700,2850,4923
2014-12-15,107240,104190,115790,114110,5899,10885
2014-12-16,114150,110500,149140,133750,7289,16868
2014-12-17,135000,111500,149770,117500,5307,8454
2014-12-18,117500,106750,119120,117850,4708,6925
2014-12-19,119690,108230,120490,111000,2841,5766
2014-12-22,111010,106110,112180,109500,3384,4388
2014-12-23,110000,107510,131150,123110,4205,8240
2014-12-24,122720,113000,124850,118100,3472,5678
2014-12-25,117130,111000,119050,116120,1585,1965
2014-12-26,116980,116100,119900,118960,1305,1861
2014-12-29,118550,117510,130000,122500,2258,3091
2014-12-30,123450,117050,128660,126000,2362,3223
2015-01-05,127990,120540,130100,130100,2201,2587
2015-01-06,128950,128460,143000,142990,2385,3571
2015-01-08,144540,130000,148000,130000,2930,3924
2015-01-09,131440,118810,133450,120820,3213,4509
2015-01-12,119770,118800,128000,128000,2769,3752
2015-01-13,128440,125010,132080,130990,4541,5978
2015-01-14,130000,126990,132500,131910,3624,4700
2015-01-15,131910,129010,134880,130000,3180,4211
2015-01-16,129520,126940,131530,130980,2297,3126
2015-01-19,137460,128300,137460,129790,2367,2965
2015-01-20,129050,127020,131400,130900,3555,4999
2015-01-21,130100,128210,131570,130900,2689,3955
2015-01-22,131350,129270,134780,132500,2723,3702
2015-01-23,133470,130330,135650,131970,2146,3100
2015-01-26,133200,122510,133200,126630,2814,5521
2015-01-27,124940,123300,133700,133500,3194,6002
2015-01-28,133990,131060,138370,135300,3424,8125
2015-01-29,134750,132450,139000,132740,1985,3152
2015-01-30,133000,131100,141900,141900,3166,5590
2015-02-02,141900,137110,145000,137650,4937,7220
2015-02-03,137800,136500,141900,139400,3149,4612
2015-02-04,140000,133510,140570,133810,2823,3601
2015-02-05,133830,132540,139390,136110,3576,4704
2015-02-06,136650,136500,142000,141950,3848,5463
2015-02-09,141500,138500,156530,139000,5097,8099
2015-02-10,138900,133600,143780,136000,2789,4067
2015-02-11,137010,136980,143590,140020,3577,5007
2015-02-12,141140,136500,143390,138500,4580,6240
2015-02-13,139630,138690,143090,139990,2819,4435
2015-02-16,140000,137010,146790,143010,3862,6254
2015-02-17,143340,143070,146500,145400,3288,4338
2015-02-18,146030,145120,148600,145820,2845,3960
2015-02-19,146280,141550,147460,144850,2557,3538
2015-02-20,144840,143000,146400,146400,1517,1850
2015-02-24,144900,140300,146290,143300,2834,4255
2015-02-25,142990,136800,143290,138290,2121,2587
2015-02-26,138600,135760,138990,137000,2151,3281
2015-02-27,137200,133840,138500,138000,2851,4701
2015-03-02,137510,136610,140900,136630,1514,2377
2015-03-03,137000,136640,140640,140240,2641,3558
2015-03-04,140370,136850,141750,136970,1833,2488
2015-03-05,137980,135000,139150,135000,2423,3188
2015-03-06,135500,134100,136360,135900,1752,2476
2015-03-10,135330,133000,137110,136400,1972,3259
2015-03-11,136870,136780,138270,136800,1376,1939
2015-03-12,129660,129660,136810,131500,2998,4776
2015-03-13,131010,129700,133500,132620,1577,2244
2015-03-16,133000,130330,134550,133910,2079,3145
2015-03-17,134240,130600,135240,132150,1689,2555
2015-03-18,132300,131500,132960,132770,1234,1610
2015-03-19,133050,128650,133700,128650,1318,1885
2015-03-20,129400,121640,131000,124000,2846,4494
2015-03-23,125000,122000,126980,126430,1429,3128
2015-03-24,127090,123130,127090,124650,1198,1658
2015-03-25,124660,121780,125000,124900,1247,2216
2015-03-26,129460,121930,129460,123800,2067,2978
2015-03-27,124000,122220,125060,124180,931,1942
2015-03-30,124500,122820,124970,123990,861,1094
2015-03-31,123500,121690,126510,124500,1492,2212
2015-04-01,124120,123730,127770,126210,1381,2115
2015-04-02,126000,124780,133000,133000,1687,2494
2015-04-03,133000,129020,134330,129070,1064,1518
2015-04-06,136330,127540,136330,127600,1091,1489
2015-04-07,128020,126220,130000,128570,1026,1397
2015-04-08,127950,125100,128470,126300,1127,2122
2015-04-09,126150,117410,126150,119560,3101,5894
2015-04-10,119560,117020,121850,120490,2720,3786
2015-04-13,120530,119410,125000,124400,2304,3044
2015-04-14,124400,121110,124400,121940,1150,1662
2015-04-15,121870,120100,123000,122490,1346,2375
2015-04-16,122020,119850,124900,122640,2609,4253
2015-04-17,122750,118150,124730,118150,2037,3075
2015-04-20,118750,118750,123900,123250,1690,2335
2015-04-21,123230,121700,124910,124470,1231,1580
