TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2023-11-22,0.638,0.5576,0.64,0.571,97961,4825767000
2023-11-23,0.5724,0.5501,0.5858,0.5795,40503,1416906000
2023-11-24,0.5799,0.57,0.58,0.5739,19012,590949000
2023-11-27,0.5748,0.555,0.576,0.557,18775,528888000
2023-11-28,0.5572,0.5509,0.5676,0.559,11622,349671000
2023-11-29,0.5647,0.5613,0.575,0.5649,12261,611809000
2023-11-30,0.565,0.557,0.57,0.56,7675,252969000
2023-12-01,0.563,0.551,0.5653,0.5554,9566,371598000
2023-12-04,0.5624,0.5563,0.5794,0.5615,18408,813431000
2023-12-05,0.562,0.5552,0.5649,0.562,9344,286356000
2023-12-06,0.5639,0.553,0.5665,0.5556,8923,227506000
2023-12-07,0.5556,0.5535,0.56,0.5549,5999,158283000
2023-12-08,0.555,0.554,0.56,0.5542,5224,143709000
2023-12-11,0.5535,0.5277,0.5542,0.532,16689,397171000
2023-12-12,0.532,0.513,0.5384,0.5272,12007,244695000
2023-12-13,0.5272,0.5224,0.5368,0.5234,6305,123520000
2023-12-14,0.5344,0.52,0.5344,0.5265,6420,198033000
2023-12-15,0.528,0.52,0.552,0.548,15254,322311000
2023-12-18,0.548,0.54,0.5699,0.5638,10436,321395000
2023-12-19,0.5687,0.5568,0.57,0.562,8113,199889000
2023-12-20,0.5638,0.5604,0.599,0.595,18073,858522000
2023-12-21,0.595,0.584,0.6594,0.6299,38648,1680385000
2023-12-22,0.6355,0.617,0.6608,0.63,30568,894299000
2023-12-25,0.6346,0.6135,0.6475,0.6255,16590,450208000
2023-12-26,0.6267,0.617,0.6396,0.636,9801,254207000
2023-12-27,0.636,0.6239,0.653,0.6292,8846,287288000
2023-12-28,0.635,0.621,0.6378,0.625,8158,357413000
2023-12-29,0.6289,0.6248,0.6399,0.639,6116,145918000
2024-01-03,0.6482,0.6404,0.66,0.6532,10826,265418000
2024-01-04,0.6595,0.6505,0.6595,0.6525,5744,107667000
2024-01-05,0.6558,0.6501,0.66,0.6521,5216,128497000
2024-01-08,0.6575,0.64,0.6715,0.6594,8766,218807000
2024-01-09,0.661,0.6516,0.6656,0.6555,6710,166235000
2024-01-10,0.6594,0.654,0.669,0.6689,16152,612995000
2024-01-11,0.67,0.6448,0.6739,0.6547,13864,372839000
2024-01-12,0.659,0.6522,0.662,0.6599,10087,284900000
2024-01-15,0.663,0.655,0.663,0.6556,8442,192495000
2024-01-16,0.6589,0.645,0.6589,0.6513,11231,213262000
2024-01-17,0.6545,0.648,0.6565,0.6524,5580,102017000
2024-01-18,0.6549,0.648,0.6581,0.6498,9019,223662000
2024-01-19,0.6555,0.64,0.6555,0.6447,11073,142874000
2024-01-22,0.647,0.645,0.65,0.648,7121,166511000
2024-01-23,0.6505,0.6455,0.6547,0.6476,7619,150804000
2024-01-24,0.6497,0.64,0.6504,0.6431,8772,141194000
2024-01-25,0.6431,0.625,0.6443,0.63,13828,242688000
2024-01-26,0.6323,0.6201,0.635,0.621,14050,296611000
2024-01-29,0.6238,0.6215,0.67,0.6459,31121,1093927000
2024-01-30,0.651,0.6459,0.665,0.655,18471,517093000
2024-01-31,0.656,0.65,0.6686,0.663,13602,456007000
2024-02-01,0.664,0.663,0.695,0.679,34550,1075787000
2024-02-02,0.6804,0.6724,0.6928,0.6844,17403,424790000
2024-02-05,0.6848,0.6672,0.6872,0.6725,16084,424162000
2024-02-06,0.6725,0.655,0.6739,0.6713,17683,516671000
2024-02-07,0.6714,0.6624,0.6939,0.692,19982,620533000
2024-02-08,0.692,0.692,0.728,0.728,33032,1025219000
2024-02-09,0.728,0.712,0.738,0.7152,23570,628436000
2024-02-12,0.7162,0.6954,0.73,0.7085,16519,335803000
