TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2021-12-14,914.4,842.8,950,897.4,37009,1784849
2021-12-15,900,883.6,973.8,961,49945,2234113
2021-12-16,966,951.4,1019,982.8,71756,2446405
2021-12-17,983,940,1002.2,962,28390,1109841
2021-12-20,957.2,891,957.8,912,32175,1132410
2021-12-21,915,915,948,924.6,22664,766547
2021-12-22,924.6,895,929.6,912.2,23516,917662
2021-12-23,912.2,872.6,918,880.2,36992,1592365
2021-12-24,878.4,850,884.2,877,35581,1703966
2021-12-27,878,877,899,884.8,24912,1136117
2021-12-28,885,870,894.2,876.6,26413,1012598
2021-12-29,876,860,883,865.4,16969,674707
2021-12-30,865.4,859.4,874,872.4,13624,390665
2022-01-03,873,869,889.8,885.8,12672,467181
2022-01-04,888.8,865.2,888.8,874,14998,580670
2022-01-05,874,813.2,878.8,816.2,33648,1320094
2022-01-06,811.6,774,836.2,793,48429,2259097
2022-01-07,,,,,0,0
2022-01-10,796,752.6,805,766.8,35329,1338276
2022-01-11,770,756,780.2,770.8,34301,1341606
2022-01-12,770,763,791.6,770.4,35990,1678976
2022-01-13,768.4,739.4,783,754.6,33748,1513137
2022-01-14,754.6,660,765,686.4,87033,4356562
2022-01-17,686.4,652,722.2,710.6,45764,2462747
2022-01-18,710.6,640,718.8,662.8,57519,4020352
2022-01-19,664.8,612.2,696.8,675.6,62648,4364350
2022-01-20,670.4,670.4,741,683,50521,2822694
2022-01-21,684,640.2,688.4,645.8,42643,2457243
2022-01-24,651,556.8,662.4,596.2,78406,5361048
2022-01-25,595,562.2,613.4,594.2,47761,3144321
2022-01-26,596,567.8,604,583,42673,2974043
2022-01-27,576,571,609.4,591.2,47737,3584338
2022-01-28,594.4,585,607.8,597,35249,2296423
2022-01-31,597.2,597.2,635,630,45269,2904546
2022-02-01,630.2,630.2,666.6,655.6,47451,2948558
2022-02-02,659.8,615.6,685,633,55613,3000361
2022-02-03,621,588.8,624.8,602,46269,2683731
2022-02-04,611,555,623,580.8,52768,3017470
2022-02-07,583.6,564.8,592.8,581.8,27517,1389919
2022-02-08,580,578.2,614,609.8,25536,1416064
2022-02-09,610,609,639.6,635,31089,1495182
2022-02-10,647,598.4,656.4,607.4,46672,2669195
2022-02-11,607.4,575,612,584.8,35525,1773598
2022-02-14,580.2,559.8,596,596,36311,2041158
2022-02-15,595,594.2,628.6,617.4,36331,2076266
2022-02-16,619.4,596,640,614.6,46618,2152867
2022-02-17,614.4,580,614.4,588,34349,1613568
2022-02-18,589,549.4,601.6,559.2,41351,2196328
2022-02-21,555,399.8,580.6,420,151714,10782171
2022-02-22,419.8,348.2,485.8,479.8,143976,9240590
2022-02-23,,,,,0,0
2022-02-24,429.2,235,429.2,309,78808,5108895
2022-02-25,277.2,277.2,366.4,296,80664,3471329
2022-02-28,,,,,0,0
2022-03-01,,,,,0,0
2022-03-02,,,,,0,0
2022-03-03,,,,,0,0
2022-03-04,,,,,0,0
2022-03-09,,,,,0,0
2022-03-10,,,,,0,0
2022-03-11,,,,,0,0
2022-03-14,,,,,0,0
2022-03-15,,,,,0,0
2022-03-16,,,,,0,0
2022-03-17,,,,,0,0
2022-03-18,,,,,0,0
2022-03-21,,,,,0,0
2022-03-22,,,,,0,0
2022-03-23,,,,,0,0
2022-03-24,,,,,0,0
2022-03-25,,,,,0,0
2022-03-28,,,,,0,0
2022-03-29,299,299,534.4,510,68071,3667479
2022-03-30,561,530.4,699.8,559.4,130516,5857240
2022-03-31,563.2,510.6,596,567,79479,2594786
2022-04-01,578.8,530,578.8,556.2,43884,1244081
2022-04-04,565,515,565,536,38414,1126935
2022-04-05,543.2,476.8,543.2,502.2,45720,1307850
2022-04-06,502.2,483,550,502,41784,1799640
2022-04-07,502,490,524.6,492,24973,759243
2022-04-08,507,486,523,497.8,24301,858581
2022-04-11,520.4,486,520.4,488,17658,530222
2022-04-12,489.8,454.8,490.8,468.8,19230,530294
2022-04-13,466,457.6,481.8,466.8,13405,395456
2022-04-14,468,426,473.6,430.2,22562,563026
2022-04-15,425.2,407.8,440.2,422.6,17664,477269
2022-04-18,424.4,423,467.4,426,27458,927601
2022-04-19,429.8,400.2,442.8,422,20027,682818
2022-04-20,439,413,459.6,437.8,26420,1009035
2022-04-21,442.6,421.6,444.4,425.4,10537,326617
2022-04-22,426,411.2,441,416.8,11073,378598
2022-04-25,410,360.2,425,370.6,24049,847148
2022-04-26,370,358.4,390,378.2,24440,1101657
2022-04-27,383,378.2,432,432,33827,1701730
2022-04-28,441,401,457,404,53807,2922243
2022-04-29,403,390.2,416.6,399,20358,814792
2022-05-04,404,386,417.8,386.8,18215,637615
2022-05-05,395.2,380,396,386,11039,384612
2022-05-06,388.6,370,388.8,374.6,10987,325512
2022-05-11,376.4,362.2,383.6,370,8704,305207
2022-05-12,371.4,326.4,371.4,338.4,11839,513595
2022-05-13,350,333.2,350,339,4733,207796
2022-05-16,347.6,341.2,355,349,6386,286444
2022-05-17,358,350.2,365,357.2,5669,277619
2022-05-18,362.8,355.4,384.4,375.2,10295,564084
2022-05-19,379.4,360,379.8,361.6,4981,219965
2022-05-20,363,349,370,350.2,6500,331612
2022-05-23,359,341,368.8,345,5654,288453
2022-05-24,349.2,324,349.2,335.6,6274,265400
2022-05-25,340.4,335.6,344.8,344.8,3643,173362
2022-05-26,346.8,345,364.4,351.4,7398,425051
2022-05-27,352,342.2,357,347,5246,245372
2022-05-30,348.8,340,357.8,340.2,4734,254843
