TRADEDATE,SECID,CLOSE
2013-03-25,VTBR,0.05043
2013-03-26,VTBR,0.0494
2013-03-27,VTBR,0.04821
2013-03-28,VTBR,0.04979
2013-03-29,VTBR,0.04987
2013-04-01,VTBR,0.04924
2013-04-02,VTBR,0.04915
2013-04-03,VTBR,0.04825
2013-04-04,VTBR,0.04726
2013-04-05,VTBR,0.04693
2013-04-08,VTBR,0.04755
2013-04-09,VTBR,0.04921
2013-04-10,VTBR,0.04813
2013-04-11,VTBR,0.04792
2013-04-12,VTBR,0.04696
2013-04-15,VTBR,0.04565
2013-04-16,VTBR,0.04536
2013-04-17,VTBR,0.04389
2013-04-18,VTBR,0.04352
2013-04-19,VTBR,0.0438
2013-04-22,VTBR,0.04431
2013-04-23,VTBR,0.04588
2013-04-24,VTBR,0.0456
2013-04-25,VTBR,0.0451
2013-04-26,VTBR,0.04546
2013-04-29,VTBR,0.04728
2013-04-30,VTBR,0.04974
2013-05-02,VTBR,0.04886
2013-05-03,VTBR,0.0491
2013-05-06,VTBR,0.04931
2013-05-07,VTBR,0.05065
2013-05-08,VTBR,0.05085
2013-05-10,VTBR,0.04989
2013-05-13,VTBR,0.04722
2013-05-14,VTBR,0.0459
2013-05-15,VTBR,0.0454
2013-05-16,VTBR,0.04434
2013-05-17,VTBR,0.04492
2013-05-20,VTBR,0.04652
2013-05-21,VTBR,0.04805
2013-05-22,VTBR,0.04951
2013-05-23,VTBR,0.04784
2013-05-24,VTBR,0.04661
2013-05-27,VTBR,0.04655
2013-05-28,VTBR,0.04761
2013-05-29,VTBR,0.04594
2013-05-30,VTBR,0.04583
2013-05-31,VTBR,0.04633
2013-06-03,VTBR,0.04674
2013-06-04,VTBR,0.04802
2013-06-05,VTBR,0.0472
2013-06-06,VTBR,0.04665
2013-06-07,VTBR,0.04763
2013-06-10,VTBR,0.0477
2013-06-11,VTBR,0.04749
2013-06-13,VTBR,0.04649
2013-06-14,VTBR,0.0475
2013-06-17,VTBR,0.04817
2013-06-18,VTBR,0.04895
2013-06-19,VTBR,0.04869
2013-06-20,VTBR,0.04692
2013-06-21,VTBR,0.0478
2013-06-24,VTBR,0.04704
2013-06-25,VTBR,0.04803
2013-06-26,VTBR,0.04911
2013-06-27,VTBR,0.04752
2013-06-28,VTBR,0.04696
2013-07-01,VTBR,0.04725
2013-07-02,VTBR,0.0474
2013-07-03,VTBR,0.04695
2013-07-04,VTBR,0.04735
2013-07-05,VTBR,0.04761
2013-07-08,VTBR,0.04719
