TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2025-01-09,2690,2670,3000,2803,210295,6661057
2025-01-10,2800,2783,2975,2945,110337,3454995
2025-01-13,2962,2882,2999.5,2905,68495,2120539
2025-01-14,2920,2884,2933,2929,29321,911219
2025-01-15,2936.5,2891,2949.5,2904.5,50353,694614
2025-01-16,2905,2883,2948,2910,86134,1282730
2025-01-17,2905,2858.5,2911.5,2898,44253,1161953
2025-01-20,2900.5,2866,2914.5,2866,48141,885908
2025-01-21,2885,2837,2935,2930,83762,1407145
2025-01-22,2933,2908,2947,2914,37359,860496
2025-01-23,2913.5,2886,2914,2900,20417,626933
2025-01-24,2912,2897,2919,2909.5,28438,786697
2025-01-27,2911,2892.5,2950,2919.5,39646,1017938
2025-01-28,2921,2911,3145,3130.5,107687,3609641
2025-01-29,3132,3085,3190,3169,76662,2062314
2025-01-30,3169,3166,3298,3259,79306,2894288
2025-01-31,3261,3192.5,3294,3232,60663,1560315
2025-02-03,3232.5,3172.5,3274,3240,45119,1014890
2025-02-04,3241,3226.5,3291.5,3268.5,39514,1275542
2025-02-05,3267,3241.5,3305,3276.5,42797,1275707
2025-02-06,3283,3234.5,3295,3264.5,45666,1121689
2025-02-07,3268,3245,3276.5,3266,35945,613710
2025-02-10,3266.5,3266.5,3357,3267.5,58275,1723277
2025-02-11,3285,3275,3353,3318.5,50874,1076594
2025-02-12,3323,3318.5,3450,3440,64160,2008114
2025-02-13,3440,3364,3675.5,3419,93865,2621433
2025-02-14,3419.5,3350,3493.5,3406.5,70511,1877552
2025-02-17,3425,3415,3480,3470,39970,1201150
2025-02-18,3470,3406.5,3470,3430,31203,811061
2025-02-19,3438,3380.5,3466,3445,26700,648394
2025-02-20,3450,3350.5,3489.5,3449.5,33394,647881
2025-02-21,3448,3432,3470,3448.5,16942,334231
2025-02-24,3448.5,3414.5,3468.5,3438.5,62480,772397
2025-02-25,3440,3385,3460,3414.5,50729,939476
2025-02-26,3414.5,3276,3437.5,3299,64327,1419337
2025-02-27,3295.5,3202,3362.5,3222.5,60297,1495848
2025-02-28,3220,3175,3349.5,3334,59804,1370411
2025-03-03,3340,3191,3352,3257,61226,1093921
2025-03-04,3260,3260,3389,3348.5,49260,1112001
2025-03-05,3351,3300,3380,3322.5,39179,912139
2025-03-06,3304.5,3277.5,3343.5,3337.5,28216,513723
2025-03-07,3337,3322.5,3433.5,3393,53585,1348015
2025-03-10,3393.5,3393,3495,3464.5,59440,1244368
2025-03-11,3465,3457,3565,3547.5,69494,1651586
2025-03-12,3550,3440,3565,3518,46326,1093014
2025-03-13,3518.5,3425,3547.5,3513,57022,1465422
2025-03-14,3511,3487.5,3615.5,3610,56264,1182982
2025-03-17,3616,3592,3666,3648,62369,1868562
2025-03-18,3648.5,3580,3663,3608,35171,977770
2025-03-19,3618,3601,3744,3736,46356,1268630
2025-03-20,3745,3654,3764,3694,54790,1154985
2025-03-21,3695,3610,3719,3648,113174,3192225
2025-03-24,3653,3570,3663,3589.5,73948,1438070
2025-03-25,3590,3541,3609,3587.5,61623,1019240
2025-03-26,3598,3472,3615,3487.5,104126,1383765
2025-03-27,3488,3454,3546,3503,92822,1695045
2025-03-28,3501,3475.5,3549.5,3508,83428,1340007
2025-03-31,3520,3415,3524.5,3507.5,97479,1297466
2025-04-01,3507.5,3424,3535,3443,73278,1302258
2025-04-02,3440,3390.5,3462,3418,51661,903705
2025-04-03,3415,3300,3447,3350,97273,1386844
2025-04-04,3364,3218,3375,3246.5,102382,1540020
2025-04-07,3246.5,3181,3356.5,3227,156730,2402015
2025-04-08,3231.5,3200,3285.5,3209.5,68746,1061580
2025-04-09,3212,3090,3298,3294.5,101745,1807907
2025-04-10,3299.5,3202,3303,3238.5,52617,799169
2025-04-11,3242,3235,3331.5,3325.5,49518,755328
2025-04-14,3335,3310,3389,3351,63908,986189
2025-04-15,3351,3323.5,3377,3347,25783,323642
2025-04-16,3351,3301.5,3414.5,3388,35719,733990
2025-04-17,3390.5,3372,3414.5,3404,34180,575909
2025-04-18,3397,3310.5,3400,3350,49113,581168
2025-04-21,3373,3360,3408,3398,31941,466104
2025-04-22,3398,3376,3420,3400,35220,676572
2025-04-23,3400.5,3354.5,3418,3383,25579,490973
2025-04-24,3384.5,3378,3439.5,3390,38780,756717
2025-04-25,3399,3389,3424.5,3416.5,33296,603494
2025-04-28,3424,3392.5,3462,3407,52522,959717
2025-04-29,3407,3317,3419,3357,42025,576775
2025-04-30,3357,3309,3358,3341,41531,682500
2025-05-02,3341,3265.5,3348.5,3283.5,26316,309149
2025-05-05,3283.5,3200,3368,3237,64949,971200
2025-05-06,3239.5,3201.5,3266.5,3238.5,44917,575476
2025-05-07,3239,3205,3260,3219.5,44695,511993
2025-05-08,3219,3213.5,3232.5,3223.5,19372,251330
2025-05-12,3231,3216,3304.5,3290.5,46191,604155
2025-05-13,3290.5,3262,3300,3282,26991,304151
2025-05-14,3283,3266,3324,3286,29759,447407
2025-05-15,3280,3245,3308.5,3286.5,25345,379784
2025-05-16,3287,3230,3303,3278,25048,456043
2025-05-19,3280,3278.5,3338,3307,29993,415091
2025-05-20,3323.5,3272,3325,3285.5,23874,397130
2025-05-21,3289,3243.5,3292.5,3249.5,26745,359889
2025-05-22,3250,3200,3258.5,3210,32669,496338
2025-05-23,3210,3196.5,3270,3233.5,24732,314986
2025-05-26,3233.5,3160,3234,3168,42158,545384
2025-05-27,3168,3102.5,3239.5,3236.5,37770,590556
2025-05-28,3228.5,3228.5,3277.5,3274,26330,414561
2025-05-29,3275,3212.5,3280,3213.5,21168,360189
2025-05-30,3219.5,3206.5,3265,3251.5,22600,298853
2025-06-02,3257,3200,3279,3266.5,43098,535809
2025-06-03,3266,3266,3340,3325,32646,540210
2025-06-04,3336,3311,3408,3369,39782,901006
2025-06-05,3369,3369,3412,3384.5,19634,421032
2025-06-06,3390,3327.5,3410,3362,30904,719535
2025-06-09,3370,3272.5,3389.5,3317.5,57098,746996
2025-06-10,3331.5,3286,3331.5,3299.5,23176,326438
2025-06-11,3312.5,3245.5,3316,3278,32687,455800
2025-06-13,3278.5,3275,3298.5,3287,11660,139678
2025-06-16,3288,3271.5,3308.5,3287.5,25550,360435
2025-06-17,3287,3272,3303,3292,18795,321863
2025-06-18,3294,3292,3369,3335,35874,526035
2025-06-19,3335.5,3335.5,3386,3373.5,33900,452607
2025-06-20,3376,3355,3399,3381,23035,483473
2025-06-23,3385,3385,3469.5,3463.5,51037,1014902
2025-06-24,3464,3439,3517,3494.5,40123,800772
2025-06-25,3495,3462,3510,3484.5,40639,659070
2025-06-26,3490,3454,3495,3476,29327,426521
2025-06-27,3481,3468.5,3497.5,3494,35503,506244
2025-06-30,3497,3472.5,3524.5,3520,52825,1001175
2025-07-01,3528,3490,3530,3502,53052,924811
2025-07-02,3502,3414,3514.5,3460,71778,726782
2025-07-03,3460,3417,3478,3431,49596,795965
2025-07-04,3430,3357.5,3430,3369,43550,693331
2025-07-07,3375,3366.5,3419,3377.5,72075,1082686
2025-07-08,3364,3325,3450,3446.5,86301,2057517
2025-07-09,3084.5,2804,3084.5,2870.5,189526,3561015
2025-07-10,2871,2850,2967,2885.5,75522,1331231
2025-07-11,2896.5,2805.5,2906.5,2816,50788,700503
2025-07-14,2819,2755,2867,2860,69176,1060469
2025-07-15,2865,2847.5,2922,2909.5,60200,848244
2025-07-16,2910.5,2905.5,2940,2922,42243,709803
2025-07-17,2931,2925.5,2984.5,2932,37171,767271
2025-07-18,2934,2934,3000,2994,43763,787950
2025-07-21,3029,3025.5,3130,3075,63937,1267304
2025-07-22,3074.5,3032,3077.5,3053.5,29235,487512
2025-07-23,3053.5,3021,3074,3049.5,35472,613700
2025-07-24,3049,3020,3060,3029,25155,337280
2025-07-25,3025,2965.5,3065,3008,45449,827555
2025-07-28,3021,2905.5,3050,2925,59749,801725
2025-07-29,2925,2920,2980,2935,37882,497613
2025-07-30,2935.5,2900.5,2965,2909,36229,411560
2025-07-31,2914.5,2873,2932,2883.5,41737,574467
2025-08-01,2885,2856,2909,2876,48789,467385
2025-08-04,2880,2875,2965,2961,70344,781293
2025-08-05,2964.5,2938.5,2978.5,2969,48579,573320
2025-08-06,2970,2940,3041.5,3016,49099,830395
2025-08-07,3016,2982.5,3056,3008.5,61944,1282458
2025-08-08,3015.5,2990,3040,3013,28639,685345
2025-08-11,3027.5,3022.5,3077,3066.5,41732,997894
2025-08-12,3070,3037,3076.5,3052.5,29284,624228
2025-08-13,3055,3002,3075,3015,56829,1396445
2025-08-14,3023,2967,3047,3022.5,49724,1064542
2025-08-15,3026,3001,3035,3019,27486,539446
2025-08-18,3006,2925.5,3033,3022.5,46002,722800
2025-08-19,3022,3003,3037,3014.5,29047,433077
2025-08-20,3014.5,2976.5,3021.5,2996.5,27765,326072
2025-08-21,2996.5,2941,3003,2950,27558,453109
2025-08-22,2955,2912.5,2965,2940.5,45366,462386
2025-08-25,2940.5,2918.5,2955.5,2946.5,41101,529795
2025-08-26,2940,2936,2973,2956,20592,407842
2025-08-27,2956,2932,2963,2942,18363,363574
2025-08-28,2945,2916,2951.5,2924.5,17099,350248
2025-08-29,2934.5,2889,2966,2909,37344,897715
2025-09-01,2910,2901,2947,2926.5,26289,383134
2025-09-02,2927,2870,2937,2911.5,27216,496356
2025-09-03,2914,2877.5,2919.5,2915.5,14788,244761
2025-09-04,2915.5,2885.5,2916,2895,17336,294527
2025-09-05,2900,2888.5,2920,2911.5,22406,530237
2025-09-08,2912,2902,2969,2957,34570,619144
2025-09-09,2958,2940.5,2978,2950.5,20099,360401
2025-09-10,2947.5,2912,2954,2927.5,19251,348902
2025-09-11,2927.5,2901.5,2938.5,2922.5,20521,346757
2025-09-12,2922.5,2890.5,2927,2898.5,27178,423822
2025-09-15,2898,2880,2944.5,2894,52865,722395
2025-09-16,2894,2862.5,2909,2886.5,32034,637444
2025-09-17,2889.5,2866.5,2924,2924,31050,568092
2025-09-18,2925,2901,2965.5,2930,53924,1718304
2025-09-19,2931,2897,2953,2906.5,34369,875592
2025-09-22,2908,2865,2920,2911,27736,638318
2025-09-23,2911,2865,2920,2878.5,24775,566683
2025-09-24,2886,2845.5,2888.5,2867,36535,743253
2025-09-25,2867,2781,2874.5,2806,44950,678936
2025-09-26,2806,2760,2833,2824,33064,677322
2025-09-29,2824,2741.5,2833,2772,56403,797645
2025-09-30,2772,2743,2897,2849.5,62905,1358370
2025-10-01,2850,2775,2879,2815,55829,1434471
2025-10-02,2816,2743,2826.5,2765,42654,1347745
2025-10-03,2769.5,2637,2783,2645,95668,1812075
2025-10-06,2653,2570,2654,2596,98374,1981779
2025-10-07,2590.5,2557.5,2616,2584,56218,1163234
2025-10-08,2585.5,2455,2597,2479,105656,2379728
2025-10-09,2487.5,2401.5,2521,2521,65776,1576565
2025-10-10,2521,2407,2521,2417,69269,1189673
2025-10-13,2417,2371,2467.5,2418.5,78430,1586765
2025-10-14,2418,2360,2421,2376.5,43288,882262
