TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2024-07-08,,,,,0,0
2024-07-09,,,,,0,0
2024-07-10,,,,,0,0
2024-07-11,,,,,0,0
2024-07-12,,,,,0,0
2024-07-15,,,,,0,0
2024-07-16,,,,,0,0
2024-07-17,,,,,0,0
2024-07-18,,,,,0,0
2024-07-19,,,,,0,0
2024-07-22,,,,,0,0
2024-07-23,,,,,0,0
2024-07-24,4542,4100,4542,4148.5,231097,5300782
2024-07-25,4153.5,4070,4186,4137.5,103368,1905603
2024-07-26,4137.5,3931,4176.5,3962.5,190615,4187989
2024-07-29,3935,3783,3935,3867,237790,4730950
2024-07-30,3917,3809,3949,3910,173754,4070128
2024-07-31,3915.5,3865.5,3954.5,3892,86012,2007544
2024-08-01,3895,3861,3921,3871.5,55404,1226606
2024-08-02,3871.5,3726,3874,3728.5,143636,2611364
2024-08-05,3605.5,3551,3657,3585,178639,3840829
2024-08-06,3643,3564,3700,3644,112911,2341885
2024-08-07,3661.5,3605,3876,3854,169058,4359542
2024-08-08,3860,3790.5,3929.5,3828,132682,3522485
2024-08-09,3826,3792.5,3870.5,3854.5,50478,1123907
2024-08-12,3829,3805.5,3923,3923,97915,1658809
2024-08-13,3938,3903.5,3964,3911,70352,1118537
2024-08-14,3915,3825,3929,3831.5,47464,996717
2024-08-15,3832,3783,3860,3828,55230,1129756
2024-08-16,3828.5,3756,3856,3776.5,47931,1084178
2024-08-19,3799,3680.5,3825,3725.5,116745,1905573
2024-08-20,3742,3683.5,3787.5,3753,63419,1234119
2024-08-21,3755,3712.5,3853,3836.5,55074,1344017
2024-08-22,3836.5,3760.5,3884,3794,61841,1505016
2024-08-23,3794,3730,3836.5,3807,72524,1390128
2024-08-26,3880,3851,3945,3913.5,76203,1751792
2024-08-27,3910.5,3828.5,3942.5,3844,41664,910370
2024-08-28,3844,3819,3920,3892.5,67325,1268153
2024-08-29,3902,3840,3944.5,3926,49980,1113382
2024-08-30,3954,3731,3972.5,3765.5,90332,1671578
2024-09-02,3730.5,3583.5,3762,3620.5,106585,2474527
2024-09-03,3635,3568,3707,3652,80421,1935125
2024-09-04,3655,3628,3744,3737,42135,1025998
2024-09-05,3761,3669,3769.5,3679.5,50501,962185
2024-09-06,3681.5,3641,3745.5,3715,28963,677793
2024-09-09,3740,3738.5,3888,3883.5,79628,1424505
2024-09-10,3905,3771,3905.5,3825,50177,1116225
2024-09-11,3822,3777,3878,3782,58551,1316846
2024-09-12,3792,3736,3829.5,3828.5,52472,1164435
2024-09-13,3820,3762.5,3920,3914.5,68252,1698703
2024-09-16,3933,3921,4135,4119,111997,3001023
2024-09-17,4128.5,4052.5,4175.5,4106,74488,1989210
2024-09-18,4115,4020,4130,4031,41042,1030090
2024-09-19,4050,4026,4150,4137.5,52694,1409406
2024-09-20,4075,4065,4135,4100,45547,1216895
2024-09-23,4100,4070,4249,4202.5,81021,1880461
2024-09-24,4209.5,4128,4240,4160,45469,910741
2024-09-25,4170,4002,4170,4035.5,74619,1367988
2024-09-26,4015,3963.5,4059,4001.5,52615,1118056
2024-09-27,4025,4002.5,4068,4024,32791,604750
2024-09-30,4045,3985.5,4089,4007.5,39456,712975
2024-10-01,4005,3931,4023.5,3963,43114,747533
2024-10-02,3966,3901,4009,3907.5,34324,692597
2024-10-03,3915,3862.5,3974,3969,54303,926244
2024-10-04,3978,3931,4003,3945.5,35623,594341
2024-10-07,3950,3910,3961,3928.5,25214,386502
