TRADEDATE,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLUME
2010-01-11,1370.3,1370.3,1456.78,1444.78,,
2010-01-12,1444.78,1424.73,1445.7,1427.67,,
2010-01-13,1427.62,1412.87,1444.86,1435.01,,
2010-01-14,1435.01,1435.01,1456.34,1455.65,,
2010-01-15,1455.47,1448.68,1469.55,1452.67,,
2010-01-18,1452.67,1444.9,1479.76,1479.53,,
2010-01-19,1479.52,1454.91,1485.76,1484.03,,
2010-01-20,1484.03,1458.21,1491.36,1461.23,,
2010-01-21,1461.23,1435.45,1470.57,1435.9,,
2010-01-22,1435.9,1394.91,1435.9,1410.38,,
2010-01-25,1410.37,1396.39,1423.25,1415.86,,
2010-01-26,1415.81,1370.44,1416.03,1384.79,,
2010-01-27,1384.79,1363.03,1405.28,1391.25,,
2010-01-28,1391.25,1391.25,1425.6,1406.55,,
2010-01-29,1406.46,1390.32,1419.55,1419.42,,
2010-02-01,1419.42,1395.92,1419.57,1417,,
2010-02-02,1417,1417,1436.9,1436.63,,
2010-02-03,1436.63,1430,1455.51,1431.08,,
2010-02-04,1431.08,1390.54,1437.04,1395.87,,
2010-02-05,1395.86,1344.74,1395.86,1355.64,,
2010-02-08,1355.64,1319.06,1370.52,1322.15,,
2010-02-09,1322.24,1320.93,1343.71,1338.16,,
2010-02-10,1338.16,1319.68,1359.12,1327.24,,
2010-02-11,1327.24,1320.55,1348.2,1329.35,,
2010-02-12,1329.37,1294.21,1346.22,1304.86,,
2010-02-15,1304.88,1301.8,1319.37,1319.22,,
2010-02-16,1319.22,1319.22,1361.87,1361.49,,
2010-02-17,1361.49,1350.12,1373.22,1354.09,,
2010-02-18,1354.07,1324.9,1354.07,1338.77,,
2010-02-19,1338.77,1310.65,1354.05,1353.75,,
2010-02-24,1353.75,1324.49,1353.75,1334.53,,
2010-02-25,1334.33,1297.14,1334.42,1306.46,,
2010-02-26,1306.5,1306.5,1324.57,1323.72,,
2010-02-27,1323.72,1322.34,1333.55,1332.64,,
2010-03-01,1332.97,1332.97,1358.04,1356.27,,
2010-03-02,1356.27,1351.06,1371.83,1368.09,,
2010-03-03,1368.09,1355.47,1382.22,1379.32,,
2010-03-04,1379.32,1366.55,1395.98,1384.44,,
2010-03-05,1384.44,1384.44,1414.48,1414.37,,
2010-03-09,1414.34,1396.57,1421.14,1412.55,,
2010-03-10,1412.1,1397.5,1423.06,1402.35,,
2010-03-11,1402.35,1389.68,1411.45,1395.91,,
2010-03-12,1395.91,1395.91,1424.52,1415.75,,
2010-03-15,1415.68,1398.97,1416.85,1400.19,,
2010-03-16,1400.25,1400.25,1421.06,1420.76,,
2010-03-17,1420.76,1420.76,1442.14,1435.31,,
2010-03-18,1435.23,1425.46,1449.78,1433.45,,
2010-03-19,1433.45,1415.92,1441.32,1421.09,,
2010-03-22,1421,1398.02,1421,1417.55,,
2010-03-23,1417.85,1404.15,1427.61,1410.61,,
2010-03-24,1410.61,1398.44,1417.26,1404.77,,
2010-03-25,1404.76,1395.13,1412.14,1406.66,,
2010-03-26,1406.71,1403.51,1419.82,1415.54,,
2010-03-29,1415.54,1411.79,1440.85,1440.2,,
2010-03-30,1440.2,1433.19,1450.04,1443.81,,
2010-03-31,1443.82,1438.35,1461.89,1450.15,,
2010-04-01,1450.16,1450.16,1482.4,1479.66,,
2010-04-02,1479.73,1472.58,1488.22,1480.17,,
2010-04-05,1480.46,1473.66,1488.56,1487.55,,
2010-04-06,1487.51,1479.19,1506.03,1498.64,,
2010-04-07,1498.64,1476.6,1501.45,1478.44,,
2010-04-08,1478.41,1460.37,1479.56,1476.59,,
2010-04-09,1476.59,1476.59,1502.66,1496.88,,
2010-04-12,1496.88,1493.23,1512.07,1502.66,,
2010-04-13,1502.64,1488.9,1508.33,1499.34,,
2010-04-14,1499.36,1499.36,1527.87,1526.61,,
2010-04-15,1526.61,1519.99,1539.65,1530.93,,
2010-04-16,1530.92,1494.53,1530.92,1495.08,,
2010-04-19,1494.98,1438.51,1494.98,1459.17,,
2010-04-20,1459.18,1459.18,1482.37,1473.92,,
2010-04-21,1473.92,1462.2,1488.9,1465.87,,
2010-04-22,1465.87,1436.48,1475.41,1443.36,,
2010-04-23,1443.36,1443.36,1467.62,1467.62,,
2010-04-26,1467.64,1467.64,1489.41,1484.26,,
2010-04-27,1484.19,1454.69,1484.19,1464.17,,
2010-04-28,1462.7,1424.25,1462.7,1430.28,,
2010-04-29,1430.81,1430.81,1455.21,1455.14,,
2010-04-30,1455.12,1430.91,1455.98,1436.04,,
2010-05-04,1436.04,1392.33,1448.67,1393.07,,
2010-05-05,1393.07,1357.69,1403.85,1378.43,,
2010-05-06,1378.43,1362.97,1391.51,1365.13,,
2010-05-07,1365.09,1282.86,1365.09,1288.61,,
2010-05-11,1289.28,1289.28,1342.64,1334.15,,
2010-05-12,1334.03,1323.66,1395.5,1391.87,,
2010-05-13,1391.94,1363.54,1418.09,1378.7,,
2010-05-14,1378.69,1347.06,1378.69,1352.01,,
2010-05-17,1351.92,1316.37,1362.4,1357.26,,
2010-05-18,1357.51,1345.95,1369.36,1362.32,,
2010-05-19,1362.25,1311.84,1362.25,1320.9,,
2010-05-20,1320.9,1261.16,1340.4,1263.99,,
2010-05-21,1264.06,1237.26,1279.92,1264.91,,
2010-05-24,1264.83,1248.36,1287.11,1269.37,,
