Ticker,DividendDate,AdjustedDate,Dividend,Close
AFKS,2017-07-13,2017-07-13,0.81,12.0
AFKS,2017-12-08,2017-12-08,0.68,10.01
AFKS,2018-07-19,2018-07-19,0.11,8.785
AFKS,2019-07-18,2019-07-18,0.11,11.66
AFKS,2020-07-16,2020-07-16,0.13,18.087
AFKS,2021-07-15,2021-07-15,0.31,30.07
AFKS,2023-07-19,2023-07-19,0.41,17.648
AFLT,2017-07-14,2017-07-14,17.4795,212.8
AFLT,2018-07-06,2018-07-06,12.8053,129.55
AFLT,2019-07-05,2019-07-05,2.6877,110.0
AFLT,2025-07-18,2025-07-18,5.27,60.13
ALRS,2017-07-20,2017-07-20,8.93,87.6
ALRS,2018-07-14,2018-07-13,5.24,101.49
ALRS,2018-10-15,2018-10-15,5.93,97.51
ALRS,2019-07-15,2019-07-15,4.11,80.12
ALRS,2019-10-14,2019-10-14,3.84,68.88
ALRS,2020-07-13,2020-07-13,2.63,63.55
ALRS,2021-07-04,2021-07-02,9.54,126.14
ALRS,2021-10-19,2021-10-19,8.79,132.76
ALRS,2023-10-18,2023-10-18,3.77,72.82
ALRS,2024-05-31,2024-05-31,2.02,74.98
ALRS,2024-10-19,2024-10-18,2.49,52.2
BSPB,2017-05-31,2017-05-31,1.05,61.2
BSPB,2018-06-04,2018-06-04,1.62,51.25
BSPB,2019-06-10,2019-06-10,3.71,51.01
BSPB,2020-12-11,2020-12-11,3.33,54.04
BSPB,2021-06-07,2021-06-07,4.56,71.55
BSPB,2022-08-29,2022-08-29,11.81,92.4
BSPB,2023-05-10,2023-05-10,21.16,146.05
BSPB,2023-10-09,2023-10-09,19.08,262.38
BSPB,2024-05-06,2024-05-06,23.37,313.77
BSPB,2024-09-30,2024-09-30,27.26,379.47
BSPB,2025-05-05,2025-05-05,29.72,378.42
BSPB,2025-10-06,2025-10-06,16.61,326.96
CBOM,2019-06-07,2019-06-07,0.11,5.98
CHMF,2017-06-20,2017-06-20,24.44,704.0
CHMF,2017-06-20,2017-06-20,27.73,704.0
CHMF,2017-09-26,2017-09-26,22.28,875.0
CHMF,2017-12-05,2017-12-05,35.61,868.0
CHMF,2018-06-19,2018-06-19,27.72,958.8
CHMF,2018-06-19,2018-06-19,38.32,958.8
CHMF,2018-09-25,2018-09-25,45.94,1073.2
CHMF,2018-12-04,2018-12-04,44.39,964.3
CHMF,2019-05-07,2019-05-07,32.08,1034.0
CHMF,2019-06-18,2019-06-18,35.43,1081.4
CHMF,2019-09-17,2019-09-17,26.72,998.8
CHMF,2019-12-03,2019-12-03,27.47,874.6
CHMF,2020-06-16,2020-06-16,26.26,880.0
CHMF,2020-06-16,2020-06-16,27.35,880.0
CHMF,2020-09-08,2020-09-08,15.44,928.6
CHMF,2020-12-08,2020-12-08,37.34,1165.8
CHMF,2021-06-01,2021-06-01,36.27,1695.2
CHMF,2021-06-01,2021-06-01,46.77,1695.2
CHMF,2021-09-02,2021-09-02,84.45,1671.8
CHMF,2021-12-14,2021-12-14,85.93,1466.2
CHMF,2024-06-18,2024-06-18,38.3,1555.6
CHMF,2024-06-18,2024-06-18,191.51,1555.6
CHMF,2024-09-10,2024-09-10,31.06,1254.2
CHMF,2024-12-17,2024-12-17,49.06,1016.4
FLOT,2021-07-05,2021-07-05,6.67,89.42
FLOT,2023-07-05,2023-07-05,4.29,89.2
FLOT,2024-01-07,2024-01-05,6.32,142.5
GAZP,2017-07-20,2017-07-20,8.0397,120.6
GAZP,2018-07-19,2018-07-19,8.04,137.58
GAZP,2019-07-18,2019-07-18,16.61,218.3
GAZP,2020-07-16,2020-07-16,15.24,183.32
GAZP,2021-07-15,2021-07-15,12.55,280.01
GAZP,2022-10-11,2022-10-11,51.03,162.89
GMKN,2017-06-23,2017-06-23,4.461,8015.0
GMKN,2017-10-19,2017-10-19,2.242,10527.0
GMKN,2018-07-17,2018-07-17,6.0798,10610.0
GMKN,2018-10-01,2018-10-01,7.7602,11307.0
GMKN,2019-06-21,2019-06-21,7.9252,14180.0
GMKN,2019-10-07,2019-10-07,8.8393,16048.0
GMKN,2019-12-27,2019-12-27,6.0409,19292.0
GMKN,2020-05-25,2020-05-25,5.572,22394.0
GMKN,2020-12-24,2020-12-24,6.2335,23220.0
GMKN,2021-06-01,2021-06-01,10.2122,26750.0
GMKN,2022-01-14,2022-01-14,15.2317,22648.0
GMKN,2022-06-14,2022-06-14,11.6622,19102.0
GMKN,2023-12-26,2023-12-26,9.1533,16360.0
IRAO,2017-06-20,2017-06-20,0.146819923371648,3.677
IRAO,2018-06-01,2018-06-01,0.130383141762452,4.048
IRAO,2019-05-31,2019-05-31,0.171635536398468,4.014
IRAO,2020-06-01,2020-06-01,0.196192528735633,4.9485
IRAO,2021-06-07,2021-06-07,0.180711206896552,5.0125
IRAO,2022-06-10,2022-06-10,0.23658380041773,3.14
IRAO,2023-05-30,2023-05-30,0.28365531801897,4.1225
IRAO,2024-06-03,2024-06-03,0.325999263608046,3.794
IRAO,2025-06-09,2025-06-09,0.353756516888506,3.276
LKOH,2017-07-10,2017-07-10,120.0,2859.0
LKOH,2017-12-22,2017-12-22,85.0,3347.0
LKOH,2018-07-11,2018-07-11,130.0,4280.0
LKOH,2018-12-21,2018-12-21,95.0,4930.0
LKOH,2019-07-09,2019-07-09,155.0,5374.0
LKOH,2019-12-20,2019-12-20,192.0,6079.5
LKOH,2020-07-10,2020-07-10,350.0,5098.0
LKOH,2020-12-18,2020-12-18,46.0,5140.0
LKOH,2021-07-05,2021-07-05,213.0,6845.0
LKOH,2021-12-21,2021-12-21,340.0,6348.5
LKOH,2022-12-21,2022-12-21,256.0,4040.5
LKOH,2022-12-21,2022-12-21,537.0,4040.5
LKOH,2023-06-05,2023-06-05,438.0,5166.5
LKOH,2023-12-17,2023-12-15,447.0,6560.0
LKOH,2024-05-07,2024-05-07,498.0,7722.5
LKOH,2024-12-17,2024-12-17,514.0,6290.5
LKOH,2025-06-03,2025-06-03,541.0,6473.0
LKOH,2026-01-12,2025-12-26,397.0,5790.0
MAGN,2017-06-06,2017-06-06,1.242,29.475
MAGN,2017-10-10,2017-10-10,0.869,44.625
MAGN,2017-12-19,2017-12-19,1.111,43.35
MAGN,2018-06-13,2018-06-13,0.806,48.23
MAGN,2018-06-25,2018-06-25,0.801,43.945
MAGN,2018-10-09,2018-10-09,1.589,49.7
MAGN,2018-12-18,2018-12-18,2.114,42.75
MAGN,2019-06-11,2019-06-11,1.398,46.05
MAGN,2019-06-20,2019-06-20,1.488,45.08
MAGN,2019-10-15,2019-10-15,0.69,36.195
MAGN,2020-01-15,2020-01-15,1.65,44.4
MAGN,2020-06-17,2020-06-17,1.507,39.315
MAGN,2020-09-23,2020-09-23,0.607,39.265
MAGN,2021-01-14,2021-01-14,2.391,56.945
MAGN,2021-06-17,2021-06-17,0.945,63.535
MAGN,2021-06-17,2021-06-17,1.795,63.535
MAGN,2021-09-27,2021-09-27,3.53,72.59
MAGN,2022-01-13,2022-01-13,2.663,67.38
MAGN,2024-06-10,2024-06-10,2.752,55.06
MAGN,2024-10-17,2024-10-17,2.494,40.655
MDMG,2021-05-05,2021-05-05,19.0,596.6
MDMG,2021-09-24,2021-09-24,18.0,862.2
MDMG,2022-11-07,2022-11-07,8.55,484.5
MDMG,2024-06-20,2024-06-20,141.0,843.6
MDMG,2024-09-09,2024-09-09,22.0,840.2
MDMG,2024-11-29,2024-11-29,20.0,853.9
MDMG,2025-05-19,2025-05-19,22.0,974.8
MDMG,2025-10-20,2025-10-20,42.0,1242.8
MOEX,2017-05-16,2017-05-16,7.68,105.34
MOEX,2017-09-29,2017-09-29,2.49,115.5
MOEX,2018-05-15,2018-05-15,5.47,115.4
MOEX,2019-05-14,2019-05-14,7.7,85.51
MOEX,2020-05-15,2020-05-15,7.93,113.57
MOEX,2021-05-14,2021-05-14,9.45,175.35
MOEX,2023-06-16,2023-06-16,4.84,124.06
